NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	4.29155e-17	1.15245e-15	3.25687e-14	4.07024e-13	4.75169e-12	1.62649e-11	1.13196e-10	5.35163e-10	4.34554e-10	6.98503e-10	4.15098e-09	1.42144e-08	1.00532e-08	2.94225e-09	6.87131e-10	0.728842	0.224301	0.046857	1.82709e-12	1.58044e-13	9.85226e-15	4.7385e-16	1.83936e-17	5.8941e-19	1.57203e-20	3.50129e-22	6.53722e-24	1.02928e-25	1.377e-27	1.57841e-29	1.56341e-31	1.3491e-33	1.02204e-35	6.8458e-38	4.08082e-40	2.17782e-42	1.04618e-44	4.54642e-47	1.79577e-49	6.4881e-52	2.37538e-54	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	5.34515e-29	2.30028e-25	1.16857e-21	4.23839e-19	3.97589e-15	3.63784e-14	1.2405e-10	1.15297e-07	4.03031e-08	1.85e-06	0.00320269	0.772422	0.213281	0.00783157	0.0010274	0.00143641	0.000713699	8.28535e-05	3.44445e-07	3.11977e-10	1.66992e-13	1.92866e-16	2.75819e-19	3.69641e-22	1.55419e-25	5.6042e-29	1.70725e-32	1.19494e-36	9.38733e-41	5.00207e-45	7.19072e-49	5.38192e-51	1.52144e-52	5.29376e-54	3.78759e-55	2.01764e-56	1.55858e-58	1.57867e-60	2.25944e-62	1.68891e-64	2.03297e-66	
N3	1.22134e-28	6.9292e-25	3.2075e-21	2.57706e-18	4.49556e-15	2.11538e-13	1.33484e-10	4.15699e-08	1.74458e-07	7.85414e-06	0.00410249	0.339599	0.0723714	0.0017887	0.000235521	0.001017	0.00803874	0.478744	0.0847718	0.00898547	0.000335705	1.32393e-06	1.834e-08	6.18468e-11	7.39901e-14	6.85162e-16	4.2753e-17	5.38372e-20	2.00086e-22	1.159e-24	1.21558e-27	2.67445e-30	1.39754e-33	9.64532e-37	1.44258e-39	9.4298e-43	7.93734e-47	6.26758e-50	1.63455e-52	8.751e-55	2.68472e-57	
N4	5.92402e-34	3.07222e-29	1.11022e-24	8.47576e-22	1.94582e-17	1.18877e-16	7.35238e-13	1.66853e-09	3.86478e-10	7.63069e-09	2.41221e-05	0.00644322	0.000219275	3.49097e-07	6.00213e-08	1.58295e-05	0.00695913	0.934069	0.0517621	0.00050585	1.24309e-06	6.3627e-10	4.20681e-13	3.48838e-16	2.58587e-19	2.46791e-22	3.73888e-25	4.35641e-29	8.99907e-33	1.81304e-36	8.24167e-41	2.13462e-44	2.59253e-45	9.95587e-48	1.47115e-49	6.16651e-50	8.507e-51	1.41107e-52	5.37873e-54	1.48822e-55	4.85609e-57	
N5	1.62773e-34	5.07578e-30	1.13521e-25	1.85786e-22	1.57192e-18	8.14749e-17	1.62697e-13	8.43453e-11	9.30672e-11	6.35586e-09	1.08566e-05	0.00179984	6.14378e-05	1.22581e-07	1.71282e-08	1.67742e-05	0.011028	0.931434	0.0552733	0.000374842	5.74543e-07	2.82707e-10	3.42313e-13	2.22469e-14	5.10928e-16	2.18818e-18	4.6529e-20	7.69985e-24	6.88186e-27	1.32824e-30	4.73183e-35	2.04188e-38	2.82184e-40	1.07752e-42	8.58958e-44	7.74958e-43	1.20057e-42	6.2427e-44	8.44094e-45	1.97688e-45	1.22957e-46	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.70906e-32	4.21275e-28	2.08686e-24	2.17523e-21	3.77908e-18	2.74316e-16	1.96795e-13	7.00391e-11	4.19989e-10	2.33318e-08	1.24164e-05	0.000916872	3.9186e-05	1.73663e-07	1.11756e-07	6.94685e-05	0.0209082	0.913402	0.064096	0.000554386	1.29632e-06	1.27904e-09	7.34892e-12	2.11347e-12	1.61493e-13	2.22025e-15	1.3716e-16	7.58831e-20	2.26055e-22	1.10594e-25	1.21256e-29	1.14883e-32	1.69077e-36	3.11588e-40	1.00444e-42	3.77255e-44	2.24661e-46	2.97824e-49	1.18458e-51	6.8802e-54	9.16186e-57	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.78213e-36	9.98548e-32	3.78362e-27	3.05739e-24	6.98162e-20	3.14995e-19	2.4746e-15	9.15742e-12	1.95902e-12	6.01872e-11	3.13063e-07	0.000165366	1.20104e-06	6.3604e-10	3.22957e-10	1.73829e-06	0.00358865	0.98081	0.0154066	2.65067e-05	1.16517e-08	2.03254e-12	9.50315e-16	8.65202e-18	2.56994e-20	2.82061e-23	5.98508e-26	4.19592e-30	7.32145e-34	4.28025e-38	6.20311e-43	5.45913e-47	3.46088e-47	9.58888e-50	3.05371e-51	2.4894e-50	2.54871e-49	5.59772e-51	3.62527e-52	1.81946e-53	4.73442e-55	
N8	4.32088e-34	5.26307e-30	4.88691e-26	3.65821e-23	1.98782e-19	3.01625e-18	6.60198e-15	6.24184e-12	3.59153e-12	8.64327e-11	9.12234e-08	1.12816e-05	1.65314e-07	2.23225e-09	1.64532e-08	2.42502e-05	0.0131916	0.963563	0.0231358	7.35275e-05	7.00287e-08	4.16788e-11	2.06053e-13	5.69597e-15	4.75593e-17	1.80179e-19	1.00471e-21	1.9302e-25	8.07623e-29	1.26056e-32	6.2938e-37	1.01649e-40	7.83875e-45	1.52981e-48	1.27276e-51	4.1082e-54	2.68437e-57	9.70071e-61	9.4007e-64	5.29004e-67	1.48397e-70	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.10366e-43	5.65925e-38	1.6297e-32	3.04667e-29	4.84581e-24	2.40991e-23	7.57374e-19	6.93548e-15	1.09777e-15	7.94343e-14	2.25279e-09	4.38701e-06	1.05692e-08	1.15116e-12	4.41974e-12	1.41548e-07	0.00124882	0.991537	0.00720619	3.08751e-06	2.66031e-10	8.31901e-15	1.70304e-18	1.72256e-20	3.84171e-23	1.26402e-26	4.88312e-28	1.56293e-30	3.32436e-32	1.0294e-34	7.61922e-38	6.08932e-40	7.01115e-43	1.31712e-45	4.69687e-47	2.27022e-47	1.73324e-48	2.7227e-50	1.28947e-51	1.05945e-52	1.83889e-54	
N10	1.12151e-36	1.23521e-33	1.02054e-30	3.68778e-29	1.37871e-25	4.99454e-24	8.68614e-20	3.92893e-16	2.30187e-16	4.77765e-14	8.57771e-10	1.29192e-06	3.16772e-09	5.86776e-13	1.07473e-11	2.35175e-07	0.00153109	0.991289	0.00717539	3.40592e-06	3.5061e-10	1.36724e-14	1.00148e-17	1.41359e-18	4.26065e-20	6.32643e-23	1.39853e-24	3.42822e-29	1.28117e-32	2.06397e-37	6.7049e-43	6.65097e-47	2.82219e-52	4.14841e-57	1.63876e-60	2.46578e-62	4.60216e-65	5.58583e-69	1.93937e-72	3.05201e-75	3.05301e-79	
N11	4.43776e-39	9.38816e-35	1.52851e-30	2.84654e-27	2.39063e-23	1.37503e-21	4.75624e-18	7.08083e-15	1.66621e-14	9.64586e-13	1.51798e-09	2.87979e-07	2.94063e-09	2.44924e-10	4.84813e-09	1.04088e-05	0.0086809	0.974971	0.0163017	3.5248e-05	2.2379e-08	8.09301e-12	5.64941e-14	6.04987e-15	1.73283e-16	1.15475e-18	2.48566e-20	3.25226e-24	2.19925e-27	2.51922e-31	8.37258e-36	1.99818e-39	1.02454e-43	2.51534e-47	3.70344e-50	4.6313e-52	1.0111e-54	5.01894e-58	9.96214e-61	2.00653e-63	7.70517e-67	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	2.46633e-38	6.71224e-34	1.30764e-29	1.30184e-26	1.52737e-22	1.74036e-21	7.3254e-18	1.30214e-14	4.85868e-15	1.33177e-13	2.69178e-10	6.28302e-08	2.39048e-09	2.77369e-10	2.59304e-09	7.42636e-06	0.00745097	0.980033	0.012488	2.0698e-05	1.02633e-08	3.33376e-12	1.09588e-14	2.05669e-16	1.14301e-18	2.71852e-21	1.01443e-23	1.01687e-27	2.38234e-31	1.9445e-35	5.06251e-40	4.77868e-44	2.02884e-48	2.65191e-52	1.37361e-55	2.99121e-58	1.29088e-61	2.79477e-65	1.74291e-68	6.47538e-72	1.04085e-75	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
