NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	9.0568e-23	1.34414e-21	2.42671e-20	3.93276e-19	5.5735e-18	6.83911e-17	7.19569e-16	6.42128e-15	4.80083e-14	2.9657e-13	1.49017e-12	5.98392e-12	1.88324e-11	4.54958e-11	8.2664e-11	0.369928	0.364675	0.265397	4.29698e-11	1.76177e-11	5.57901e-12	1.38957e-12	2.76905e-13	4.48455e-14	5.98747e-15	6.6759e-16	6.289e-17	5.05858e-18	3.50734e-19	2.11428e-20	1.11676e-21	5.20532e-23	2.15484e-24	7.9692e-26	2.64715e-27	7.93681e-29	2.15767e-30	5.34092e-32	1.20893e-33	2.53595e-35	6.41647e-37	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	1.42799e-38	5.96815e-35	2.33897e-31	7.09572e-28	1.62897e-24	2.76199e-21	3.36112e-18	2.83688e-15	1.59327e-12	5.65834e-10	1.19212e-07	1.37367e-05	0.00077928	0.0189747	0.166289	0.430541	0.30913	0.0688845	0.00522988	0.000155601	2.089e-06	1.42472e-08	5.42573e-11	1.24356e-13	1.8212e-16	1.78879e-19	1.22608e-22	6.06128e-26	2.22203e-29	6.18479e-33	1.3338e-36	2.26816e-40	3.08853e-44	3.41366e-48	3.10017e-52	2.34014e-56	1.4863e-60	8.07902e-65	3.88497e-69	1.78769e-73	1.08762e-77	
N3	1.37884e-36	2.80079e-33	5.73216e-30	9.36268e-27	1.19433e-23	1.16587e-20	8.50456e-18	4.50669e-15	1.67673e-12	4.20037e-10	6.72278e-08	6.42699e-06	0.000335883	0.00852026	0.0896581	0.328939	0.392053	0.157042	0.022136	0.00127439	3.46588e-05	4.9969e-07	4.17442e-09	2.16591e-11	7.3752e-14	1.72323e-16	2.86578e-19	3.49718e-22	3.21325e-25	2.27229e-28	1.26036e-31	5.57428e-35	1.9944e-38	5.84649e-42	1.42021e-45	2.88787e-49	4.96032e-53	7.25622e-57	9.10791e-61	9.89604e-65	1.11689e-68	
N4	1.3641e-47	1.68447e-43	1.87156e-39	1.62934e-35	1.09087e-31	5.49916e-28	2.03618e-24	5.37747e-21	9.77893e-18	1.1732e-14	8.80807e-12	3.87293e-09	9.16491e-07	0.000104637	0.0050041	0.0839388	0.400966	0.426346	0.0798528	0.00372746	5.87728e-05	3.89117e-07	1.26181e-09	2.24096e-12	2.36985e-15	1.59158e-18	7.14267e-22	2.23176e-25	5.02147e-29	8.36802e-33	1.05764e-36	1.03463e-40	7.97188e-45	4.91216e-49	2.45306e-53	1.00456e-57	3.40877e-62	9.6742e-67	2.31549e-71	4.70957e-76	8.92753e-81	
N5	3.06571e-47	3.30745e-43	3.27994e-39	2.55425e-35	1.53294e-31	6.94741e-28	2.32203e-24	5.56575e-21	9.25357e-18	1.02498e-14	7.19836e-12	3.01288e-09	6.94522e-07	7.95699e-05	0.00395527	0.0712871	0.37208	0.441663	0.104276	0.00651575	0.000140447	1.27362e-06	5.62011e-09	1.34486e-11	1.89531e-14	1.6777e-17	9.81868e-21	3.96068e-24	1.13964e-27	2.40722e-31	3.82434e-35	4.66567e-39	4.45016e-43	3.37069e-47	2.05533e-51	1.02118e-55	4.17859e-60	1.42168e-64	4.05628e-69	9.78573e-74	2.24869e-78	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.56067e-42	1.19913e-38	4.01991e-35	1.09236e-31	2.36626e-28	4.01615e-25	5.23494e-22	5.11876e-19	3.65123e-16	1.83702e-13	6.25542e-11	1.3691e-08	1.80278e-06	0.000130926	0.00466236	0.0691735	0.342329	0.439142	0.132011	0.0121084	0.000433267	7.23948e-06	6.42911e-08	3.33771e-10	1.08868e-12	2.35959e-15	3.55308e-18	3.85401e-21	3.10263e-24	1.90077e-27	9.05187e-31	3.41257e-34	1.03473e-37	2.5585e-41	5.22213e-45	8.89431e-49	1.27635e-52	1.55663e-56	1.62613e-60	1.46656e-64	1.34558e-68	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
