NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	5.44955e-30	2.399e-28	1.3305e-26	6.56723e-25	2.82421e-23	1.04771e-21	3.31717e-20	8.8549e-19	1.96514e-17	3.5672e-16	5.19663e-15	5.94098e-14	5.1911e-13	3.36064e-12	1.55523e-11	0.164855	0.348983	0.486161	1.34646e-10	8.55637e-11	3.86728e-11	1.2849e-11	3.23229e-12	6.31746e-13	9.81084e-14	1.2345e-14	1.28184e-15	1.13274e-16	1.0821e-17	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N2	2.668e-48	4.41214e-44	6.83895e-40	8.26991e-36	7.65865e-32	5.31985e-28	2.70128e-24	9.70395e-21	2.36809e-17	3.73751e-14	3.56377e-11	1.88491e-08	4.95903e-06	0.000559741	0.0220893	0.229941	0.487288	0.233413	0.0258788	0.000815533	9.42079e-06	4.84236e-08	1.27362e-10	1.89892e-13	1.73369e-16	1.02891e-19	4.16204e-23	1.19437e-26	2.88963e-30	
N3	3.88024e-46	2.62288e-42	1.88576e-38	1.12561e-34	5.43017e-31	2.06016e-27	5.96939e-24	1.27983e-20	1.9598e-17	2.05672e-14	1.40564e-11	5.8601e-09	1.36589e-06	0.000157543	0.00751754	0.113931	0.418334	0.376346	0.0787283	0.004867	0.000116446	1.30076e-06	7.7319e-09	2.68913e-11	5.88077e-14	8.74268e-17	1.31164e-19	3.41637e-21	4.20692e-22	
N4	3.72295e-57	9.83991e-53	2.27392e-48	4.05286e-44	5.68071e-40	6.45188e-36	6.07787e-32	4.7636e-28	3.0735e-24	1.74282e-20	7.15491e-17	1.7869e-13	2.49832e-10	1.7515e-07	5.27925e-05	0.00548477	0.143474	0.626247	0.213334	0.0112502	0.00015623	7.90284e-07	1.79191e-09	2.09713e-12	1.40149e-15	5.76753e-19	1.54976e-22	2.87533e-26	5.82948e-30	
N5	5.35181e-59	2.60795e-54	1.16391e-49	4.09989e-45	1.1233e-40	2.3571e-36	3.71952e-32	4.31084e-28	3.56623e-24	2.03742e-20	7.60136e-17	1.73782e-13	2.25459e-10	1.4979e-07	4.41798e-05	0.00469948	0.131551	0.605814	0.241619	0.0159836	0.000286053	1.87748e-06	5.51286e-09	8.30887e-12	7.10157e-15	3.71324e-18	1.35678e-21	7.70651e-25	2.60783e-26	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	4.34288e-52	5.34596e-48	6.60971e-44	6.66985e-40	5.40261e-36	3.45305e-32	1.70812e-28	6.3949e-25	1.76469e-21	3.47682e-18	4.70263e-15	4.15638e-12	2.25229e-09	6.87252e-07	0.000104897	0.00673079	0.138179	0.574376	0.257206	0.022762	0.00063355	7.31877e-06	4.18664e-08	1.33756e-10	2.60227e-13	3.29057e-16	2.93634e-19	3.02963e-22	1.56238e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N7	1.24444e-60	6.10517e-56	2.66845e-51	9.08241e-47	2.32389e-42	4.2769e-38	5.35082e-34	4.2001e-30	1.65175e-26	1.45981e-23	1.13855e-19	5.86861e-16	1.79807e-12	2.97813e-09	2.33157e-06	0.000704577	0.0588315	0.721889	0.211844	0.00667657	5.13311e-05	1.42265e-07	1.78341e-10	1.1714e-13	4.46616e-17	1.06543e-20	1.68504e-24	1.87415e-28	3.42327e-32	
N8	7.95729e-55	5.79633e-51	4.49997e-47	3.33357e-43	2.51172e-39	1.92329e-35	1.38822e-31	8.54841e-28	4.13506e-24	1.48219e-20	3.74495e-17	6.33441e-14	6.75462e-11	4.1892e-08	1.34836e-05	0.00189469	0.0868229	0.719657	0.18366	0.00784782	0.000103813	5.79367e-07	1.63885e-09	2.65041e-12	2.66748e-15	1.77896e-18	8.25289e-22	2.78296e-25	1.00415e-28	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N9	4.24871e-72	2.21607e-66	9.0194e-61	2.69461e-55	5.84445e-50	8.90752e-45	9.03524e-40	5.55516e-35	1.33753e-30	3.99491e-28	1.37858e-23	3.77348e-19	5.77038e-15	4.41382e-11	1.43921e-07	0.0001558	0.0363544	0.763743	0.196207	0.00352836	1.14678e-05	1.09875e-08	4.12572e-12	7.28595e-16	6.85493e-20	3.75746e-24	1.32532e-28	5.16571e-33	9.60309e-36	
N10	6.33781e-58	7.30723e-55	8.16332e-52	8.12045e-49	6.31299e-46	1.63138e-43	1.53618e-41	3.96803e-37	2.73481e-32	1.38086e-27	4.65472e-23	9.60022e-19	1.12756e-14	6.81588e-11	1.82489e-07	0.000170692	0.0367979	0.765117	0.194336	0.00356479	1.24685e-05	1.35122e-08	5.98029e-12	1.28698e-15	1.51561e-19	1.08865e-23	9.0184e-27	9.64212e-30	2.29973e-31	
N11	5.27836e-59	1.03221e-54	2.2887e-50	4.78137e-46	8.978e-42	1.43507e-37	1.85935e-33	1.87467e-29	1.41946e-25	7.79615e-22	2.98632e-18	7.60597e-15	1.21172e-11	1.11179e-08	5.22438e-06	0.00105136	0.0669157	0.728071	0.19688	0.00700511	7.06582e-05	2.87747e-07	5.78488e-10	6.53218e-13	4.53076e-16	2.06219e-19	6.99677e-23	4.14756e-26	8.73752e-28	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	9.58528e-58	1.13176e-53	1.20105e-49	9.92267e-46	6.73683e-42	4.28382e-38	3.02204e-34	2.45202e-30	1.95208e-26	1.27844e-22	6.09678e-19	1.94578e-15	3.9105e-12	4.56123e-09	2.74867e-06	0.00071568	0.0591227	0.801376	0.135399	0.00335863	2.47003e-05	7.52203e-08	1.15015e-10	1.00011e-13	5.39392e-17	1.92314e-20	4.76261e-24	8.62372e-28	2.24434e-31	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N13	5.19318e-57	5.11392e-53	4.94353e-49	4.22195e-45	3.51487e-41	3.0913e-37	2.8168e-33	2.378e-29	1.64769e-25	8.61405e-22	3.19128e-18	7.91302e-15	1.23606e-11	1.12117e-08	5.25943e-06	0.00106867	0.0694051	0.76251	0.161822	0.00513973	4.85749e-05	1.90296e-07	3.7445e-10	4.19105e-13	2.91015e-16	1.33636e-19	4.26697e-23	1.00593e-26	4.67794e-30	
BGA303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
