NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	9.50056e-58	5.61169e-36	4.21702e-32	6.94688e-29	4.4224e-26	1.36393e-23	2.29391e-21	2.255e-19	1.35166e-17	5.06529e-16	1.20192e-14	1.81134e-13	1.72513e-12	1.02659e-11	3.76156e-11	0.279704	0.383753	0.336543	5.89417e-11	2.41921e-11	7.26685e-12	1.6561e-12	2.95221e-13	4.22435e-14	4.9606e-15	4.87673e-16	4.11125e-17	3.17996e-18	3.41521e-19	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N2	4.26938e-77	1.40467e-52	4.16862e-46	2.34345e-40	4.39316e-35	3.43854e-30	1.25428e-25	2.2441e-21	2.01172e-17	8.7265e-14	1.69897e-10	1.3734e-07	4.11776e-05	0.00388952	0.0922524	0.419484	0.388647	0.089993	0.00557098	0.000119792	1.12405e-06	5.42894e-09	1.51968e-11	2.69037e-14	3.21778e-17	2.7365e-20	1.72341e-23	8.35589e-27	4.2333e-30	
N3	3.89492e-75	5.14084e-51	7.0535e-45	2.00126e-39	2.04545e-34	9.23653e-30	2.01864e-25	2.22492e-21	1.25431e-17	3.59036e-14	5.07217e-11	3.36154e-08	9.61336e-06	0.00103725	0.0341239	0.260138	0.461951	0.21509	0.0264537	0.00117212	2.36604e-05	2.55185e-07	1.64483e-09	6.87738e-12	1.98492e-14	4.16517e-17	6.8763e-20	4.55449e-22	4.16838e-23	
N4	2.94571e-85	1.67866e-60	7.7847e-54	6.3742e-48	1.63297e-42	1.68334e-37	8.10737e-33	1.86902e-28	2.44311e-24	3.75983e-20	3.32648e-16	1.37278e-12	2.45717e-09	1.71036e-06	0.000394204	0.024052	0.301689	0.572961	0.0975329	0.00333223	3.66688e-05	1.72473e-07	4.15578e-10	5.80395e-13	5.13343e-16	3.07171e-19	1.30819e-22	4.134e-26	1.25195e-29	
N5	2.80905e-88	3.0962e-63	2.94357e-56	5.195e-50	2.99739e-44	7.13254e-39	7.95641e-34	4.51749e-29	1.42841e-24	2.47558e-20	2.12366e-16	8.58707e-13	1.53467e-09	1.0997e-06	0.000273337	0.0190176	0.274059	0.574401	0.126308	0.00585053	8.7893e-05	5.6002e-07	1.80561e-09	3.33008e-12	3.8396e-15	2.95896e-18	1.61693e-21	7.0883e-25	4.59435e-27	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	1.08687e-81	2.80597e-57	7.23259e-51	3.77649e-45	6.94776e-40	5.57905e-35	2.17595e-30	4.36529e-26	4.6345e-22	2.62432e-18	7.85033e-15	1.20758e-11	9.1119e-09	3.1324e-06	0.000438235	0.0209473	0.259081	0.553618	0.154843	0.0107874	0.000278998	3.40959e-06	2.30193e-08	9.56183e-11	2.64168e-13	5.14708e-16	7.42334e-19	8.53604e-22	6.00207e-24	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
