#Nodes with GAIN events with expectation above 0.5
Leiolep: 2.12707
PGA445: 0.502027
Furcep: 1.95117
FGA331: 1.83968
FGA104: 1.03784
FGA174: 1.93397
C601: 1.00427
C3125: 1.28055
C3126: 1.3158
C2208: 0.981228
Total number of gain events: 22.9079
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Leiolep: 1.31179
N2: 4.18163
PGA445: 0.70514
Rhaspe: 1.91492
Rhamar: 1.84946
Rhatem: 0.960753
FGA379: 1.16324
F3015: 1.05775
F1476: 0.998623
N29: 0.757574
FGA465: 0.989806
FGA99: 0.798433
FGA15: 0.780076
FGA489: 1.05066
N43: 0.60275
CGA763: 1.01191
Calboe: 2.54826
CGA429: 1.74858
N50: 1.44005
C984: 1.65028
CGA494: 1.00908
N55: 1.6167
C404: 1.02344
CGA45: 1.01181
C3121: 0.966293
N84: 1.17373
Total number of loss events: 44.3951
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 1.60396e-19
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N3: 0.595006
FGA379: 0.999265
N39: 0.719707
N69: 0.966254
N73: 0.973386
N75: 0.669157
N84: 0.999192
Total number of demi-dulications events: 8.39923
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Leiolep	2.12707	1.31179	0	0.129423	0
N2	0.0656054	4.18163	1.60396e-19	5.09097e-08	0
N3	0.0226048	0.088618	2.88416e-30	0.595006	0
N4	0.0840624	0.219016	3.74654e-32	0.397386	0
N5	0.0175157	0.0183922	2.47839e-35	0.00431944	0
B3088	0.275654	0.33054	0	0.00153254	0
N6	0.0234819	0.0241758	2.92192e-34	0.00076019	0
BGA709	0.230208	0.284371	0	0.000767202	0
BGA309	0.230208	0.284371	0	0.000767202	0
N7	0.0326477	0.0741477	2.19516e-39	0.005713	0
N8	0.0672756	0.0695135	3.95268e-35	0.000126569	0
B11696	0.0618935	0.0738737	0	8.76795e-06	0
B11609	0.0618935	0.0738737	0	8.76795e-06	0
N9	0.00666601	0.0139327	2.01595e-42	0.000132083	0
N10	0.00159826	0.0020095	1.59798e-44	2.33558e-06	0
N11	0.018744	0.0162612	5.30331e-40	7.03192e-07	0
B983	0.0916246	0.100648	0	2.29199e-07	0
B11604	0.0916246	0.100648	0	2.29199e-07	0
N12	0.050105	0.0507013	5.15668e-42	8.55131e-07	0
BGAA1	0.0370124	0.0429566	0	4.37873e-08	0
BGA584	0.0370124	0.0429566	0	4.37873e-08	0
N13	0.0462017	0.0454155	1.90232e-43	3.02572e-06	0
BGA303	0.0516404	0.059378	0	2.12909e-07	0
BGAB1	0.0516404	0.059378	0	2.12909e-07	0
PGA445	0.502027	0.70514	0	0.403481	0
N14	0.0131513	0.254379	1.19088e-34	1.45474e-07	0
N15	0.00663108	0.349246	2.10332e-33	5.95473e-09	0
Rhaspe	0.248705	1.91492	0	0.00190979	0
N16	0.00515633	0.0619298	1.59047e-28	3.4222e-07	0
Rhamar	0.240287	1.84946	0	0.00180723	0
Rhatem	0.346505	0.960753	0	0.00271686	0
N17	0.00934127	0.00846943	2.31875e-38	9.38752e-08	0
N18	0.0275059	0.0288097	1.12436e-43	0.000356487	0
N19	0.0216065	0.0290486	1.35039e-35	4.09624e-06	0
FGA379	0.189224	1.16324	0	0.999265	0
N20	0.0513767	0.0268842	1.24332e-32	4.06669e-06	0
N21	0.0431105	0.030442	6.19447e-33	5.41167e-06	0
N22	0.0020739	0.0380449	8.68372e-34	9.22521e-07	0
F3015	0.0604596	1.05775	0	1.1915e-07	0
N23	0.00355365	0.00741016	8.05302e-38	1.24689e-07	0
N24	0.0142113	0.00307073	6.06595e-37	7.51139e-08	0
N25	0.00347693	0.0277102	3.25442e-41	8.14666e-08	0
N26	0.00115732	0.0138602	1.34907e-45	5.90901e-10	0
F1476	0.0309894	0.998623	0	2.73728e-08	0
N27	0.0083169	0.00808087	2.51213e-37	6.76949e-09	0
Furcep	1.95117	0.0857306	0	0.0327424	0
N28	0.00114407	0.03945	5.03186e-36	2.10658e-08	0
Furpol	0.123551	0.0537474	0	0.000155398	0
N29	0.00237927	0.757574	2.46098e-37	8.29823e-09	0
N30	0.00545483	0.150999	5.57866e-38	9.99855e-09	0
F2241	0.00896879	0.0378042	0	1.23251e-09	0
Furang	0.00896879	0.0378042	0	1.23251e-09	0
FGA490	0.0226911	0.197071	0	1.84953e-09	0
N31	0.00592963	0.0172953	8.74858e-46	9.78456e-10	0
N32	0.00938383	0.00526642	8.83725e-42	4.44878e-09	0
N33	0.0307584	0.000920583	4.21157e-42	1.48483e-07	0
N34	0.00170212	0.00315489	3.33079e-40	2.47338e-08	0
N35	0.00438967	0.00528052	4.04566e-39	3.96104e-09	0
FGA456	0.00953746	0.0101258	0	3.19352e-09	0
FGA513	0.00953746	0.0101258	0	3.19352e-09	0
F12278	0.0210108	0.02249	0	6.24543e-09	0
N36	0.160685	0.00475621	2.81444e-40	6.37425e-06	0
Furant	0.0116354	0.170546	0	5.10778e-06	0
FGA331	1.83968	0.00225355	0	0.000736937	0
FGA465	0.0167125	0.989806	0	6.78549e-09	0
N37	0.00550328	0.191339	5.65067e-42	3.72773e-09	0
FGA99	0.0152924	0.798433	0	2.81391e-09	0
N38	0.0141805	0.024192	1.42503e-37	1.15943e-08	0
FGA15	0.006947	0.780076	0	1.41842e-08	0
FGA581	0.240202	0.0133546	0	5.85095e-06	0
FGA104	1.03784	0.052271	0	0.00234019	0
FGA489	0.0572313	1.05066	0	5.09082e-08	0
FGA174	1.93397	0.181054	0	0.0427662	0
FurbGB	0.206496	0.22836	0	0.000323644	0
N39	0.000886145	0.00360691	5.33361e-37	0.719707	0
N40	0.0119188	0.0265824	9.57605e-37	0.221214	0
N41	0.0449207	0.338121	1.49413e-36	0.0557069	0
CGA312	0.419062	0.111979	0	0.000827435	0
N42	0.00202043	0.200935	6.40688e-40	0.000766549	0
N43	0.000556257	0.60275	3.83054e-48	1.6467e-05	0
N44	0.00811854	0.00515532	7.71862e-51	1.01252e-06	0
N45	0.143399	0.0374816	7.81557e-51	4.04253e-07	0
CGA642	0.0346086	0.0345217	0	1.26468e-08	0
N46	0.0120719	0.0062992	8.84062e-48	6.99783e-09	0
CGA763	0.00622232	1.01191	0	5.48539e-09	0
C601	1.00427	0.00996007	0	7.70266e-09	0
N47	0.00234923	0.0178729	1.38129e-44	6.09778e-08	0
CGA236	0.19563	0.0741034	0	5.82923e-07	0
N48	0.0035188	0.163482	8.41882e-39	1.47116e-08	0
N49	0.0524423	0.123974	5.99351e-36	1.9129e-08	0
Calboe	0.00411423	2.54826	0	1.33625e-08	0
C3125	1.28055	0.0544533	0	0.0212301	0
CGA429	0.0303153	1.74858	0	9.19497e-08	0
N50	0.183397	1.44005	1.21463e-46	8.08442e-07	0
C984	0.0264902	1.65028	0	7.76423e-08	0
