NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.9819e-28	1.87195e-25	4.9588e-23	1.49757e-20	1.94504e-19	1.56544e-19	2.67684e-17	3.1914e-15	8.81597e-14	4.48786e-14	2.32636e-15	1.59666e-16	5.94143e-16	4.81019e-14	2.24418e-12	0.123724	0.45771	0.418566	3.19358e-11	2.77742e-12	1.06998e-13	2.18885e-15	2.68648e-17	2.15466e-19	1.20191e-21	4.88813e-24	1.50368e-26	3.60295e-29	6.88712e-32	1.07128e-34	1.37878e-37	1.48928e-40	1.36662e-43	1.07673e-46	7.35159e-50	4.38551e-53	2.30234e-56	1.07061e-59	4.43534e-63	1.64557e-66	5.6004e-70	
N2	3.3669e-30	1.18269e-27	3.15649e-25	4.93553e-23	1.84035e-21	6.74349e-20	4.25045e-17	2.73759e-14	7.262e-12	1.81204e-10	8.98958e-10	2.25553e-09	1.90183e-08	4.03317e-06	0.000768672	0.0510435	0.341031	0.509753	0.0934452	0.00389769	5.64803e-05	3.6494e-07	1.29792e-09	1.27227e-10	7.39705e-12	5.81972e-12	2.05977e-13	8.1948e-14	1.91561e-15	3.94013e-16	6.08312e-18	5.97942e-19	1.14127e-21	5.04366e-23	5.05654e-26	1.17027e-27	6.27475e-31	3.90652e-33	1.18011e-36	8.11371e-39	1.46249e-40	
N3	8.49099e-35	1.17302e-30	5.87841e-27	4.35693e-23	1.32879e-20	3.34226e-20	1.1827e-16	3.61271e-13	3.04548e-10	7.07831e-10	1.01409e-10	5.36952e-12	9.44082e-12	1.03207e-08	6.75516e-06	0.00152443	0.0810608	0.640843	0.263081	0.0133234	0.000160132	6.66671e-07	1.23333e-09	3.25441e-12	1.59808e-14	4.16331e-16	1.52281e-18	1.89255e-20	3.94305e-23	2.43682e-25	2.82134e-28	8.92302e-31	4.49494e-34	7.82509e-37	1.92169e-40	1.87611e-43	2.42338e-47	1.27868e-50	1.00055e-54	3.8746e-58	9.27247e-62	
N4	7.91412e-35	5.75328e-31	2.28057e-27	8.4048e-24	2.67359e-21	8.13366e-20	9.48537e-17	6.70325e-14	9.13933e-12	1.48385e-11	1.97884e-12	5.70295e-13	1.44804e-11	1.23112e-08	6.83688e-06	0.00141212	0.0760926	0.614701	0.289052	0.0184419	0.000292052	1.6257e-06	3.95796e-09	5.03084e-12	4.83334e-15	3.59249e-16	4.57789e-18	8.50397e-19	6.24782e-21	6.21359e-22	2.44344e-24	1.41106e-25	2.46218e-28	8.9215e-30	5.47789e-33	1.23924e-34	2.20936e-38	2.05061e-40	2.06953e-44	7.88499e-47	1.94126e-50	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.16636e-31	1.30539e-28	1.27832e-25	7.89488e-23	9.22745e-21	9.65504e-19	2.53159e-16	3.4312e-14	1.11678e-12	2.57256e-12	5.93798e-12	1.76854e-11	3.30994e-10	9.70926e-08	2.39972e-05	0.00257358	0.0883497	0.586078	0.297399	0.0249564	0.000612861	6.03257e-06	2.88452e-08	7.63479e-11	1.31344e-13	7.86446e-15	2.39087e-16	1.03832e-16	2.07617e-18	5.18091e-19	6.47883e-21	9.77581e-22	6.51469e-24	6.30724e-25	1.61347e-27	1.0251e-28	7.33484e-32	2.13715e-33	8.4824e-37	1.04712e-38	9.42859e-42	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.3007e-35	3.59369e-31	1.38286e-27	7.04978e-24	6.6181e-22	3.17865e-21	7.20868e-18	9.67442e-15	4.01268e-12	2.58636e-12	4.39205e-13	4.18447e-14	1.04889e-13	2.33252e-10	3.32134e-07	0.000187702	0.0301772	0.715736	0.246453	0.00739541	5.02266e-05	1.1867e-07	1.24365e-10	6.8515e-14	2.6664e-17	2.10452e-19	6.22435e-22	1.15603e-23	2.16372e-26	2.15297e-28	2.56678e-31	1.41936e-33	9.82778e-37	3.13473e-39	9.92879e-43	1.87955e-45	2.28101e-49	2.16941e-52	1.4164e-56	6.87697e-60	7.24887e-64	
N7	1.3489e-32	2.42914e-29	2.76966e-26	2.61013e-23	1.10393e-21	4.87663e-20	5.06714e-17	3.88132e-14	1.05824e-11	2.27196e-11	1.30634e-11	3.99193e-12	1.31057e-11	7.86083e-09	3.92386e-06	0.000858655	0.0607214	0.742945	0.188209	0.00718017	8.13408e-05	3.80933e-07	8.939e-10	1.20135e-12	1.11442e-15	1.07043e-17	7.57459e-20	3.18664e-21	1.59574e-23	3.91055e-25	1.39739e-27	2.03144e-29	5.16849e-32	4.40606e-34	6.91613e-37	3.29629e-39	1.63913e-42	3.76529e-45	1.00664e-48	1.26449e-51	5.16878e-55	
