NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.34164e-34	3.1862e-28	5.29382e-25	6.6748e-22	3.99804e-20	4.26459e-19	7.91681e-18	6.46759e-16	1.15726e-14	3.71002e-14	1.15761e-13	1.53615e-13	1.3396e-13	8.87369e-13	1.61969e-11	0.326	0.464872	0.209129	9.77792e-12	6.54465e-13	2.27762e-14	4.73306e-16	6.47404e-18	6.25407e-20	4.49712e-22	2.50632e-24	1.11761e-26	4.09091e-29	1.25523e-31	3.28523e-34	7.44247e-37	1.47773e-39	2.59927e-42	4.08811e-45	5.79596e-48	7.46023e-51	8.77268e-54	9.47742e-57	9.45338e-60	8.74571e-63	8.04274e-66	
N2	5.92192e-38	7.08149e-32	4.03617e-28	8.04297e-25	7.55361e-23	5.57011e-21	1.86767e-18	2.97374e-15	1.16112e-12	3.03618e-11	6.47656e-10	3.38909e-08	8.38805e-07	3.51993e-05	0.003741	0.15427	0.448951	0.338169	0.0522376	0.00252536	5.99966e-05	6.931e-06	1.97813e-06	8.05506e-07	2.16903e-08	8.71192e-10	2.13857e-11	2.08817e-13	4.62714e-15	7.85022e-16	2.37587e-17	2.81785e-18	1.45921e-20	5.00158e-22	1.81377e-24	3.48373e-26	9.14819e-29	7.31702e-31	1.37786e-33	1.23043e-35	5.12549e-37	
N3	9.70835e-42	4.55135e-34	1.72221e-29	7.23078e-25	3.15529e-22	1.20226e-19	1.04843e-17	8.59003e-14	7.67273e-11	1.28557e-10	5.61682e-10	3.50984e-08	7.89889e-08	3.32169e-07	8.50042e-05	0.00931253	0.193535	0.608623	0.178353	0.00991359	0.000176544	1.69094e-06	2.08561e-08	4.10038e-10	2.88151e-12	1.69945e-14	7.39984e-17	1.90468e-19	4.87056e-22	2.5672e-24	5.70671e-27	2.484e-29	3.07196e-32	7.12485e-35	5.54469e-38	7.6227e-41	4.04299e-44	3.57495e-47	1.40279e-50	1.03284e-53	8.96735e-57	
N4	1.33605e-42	3.34977e-35	1.2177e-30	5.46651e-26	3.09317e-23	1.05374e-20	4.35551e-18	9.0816e-15	1.57408e-12	5.29271e-12	3.52135e-11	8.37999e-10	5.43466e-09	3.01429e-07	7.93555e-05	0.00802531	0.177532	0.591301	0.207845	0.0148722	0.000341706	3.45425e-06	2.59324e-08	2.06698e-09	1.05026e-10	3.01869e-12	1.16213e-13	5.39996e-16	5.01094e-18	3.05779e-20	1.00321e-22	5.22935e-24	1.89691e-26	8.38749e-28	1.41323e-30	3.50865e-32	3.11783e-35	2.98994e-37	1.94763e-40	9.06897e-43	1.26325e-45	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	4.99142e-40	1.69369e-33	3.18377e-29	2.51361e-25	9.16988e-23	2.2388e-20	7.0495e-18	3.36916e-15	2.9642e-13	2.3834e-12	2.95138e-11	9.35309e-10	1.98199e-08	1.35787e-06	0.000178594	0.0106774	0.179037	0.558727	0.228172	0.0223893	0.000803296	1.36825e-05	1.52387e-07	1.31904e-08	1.52377e-09	9.77227e-11	9.19471e-12	1.15046e-13	2.59132e-15	3.64903e-17	2.51877e-19	2.41429e-20	3.01053e-22	3.32023e-23	1.95709e-25	1.29413e-26	3.94733e-29	1.09278e-30	2.45025e-33	3.37352e-35	1.62242e-37	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.36821e-42	5.08368e-35	2.73725e-30	4.94742e-26	1.40747e-23	9.51102e-21	3.10517e-19	1.77199e-15	1.90088e-12	1.51844e-12	1.175e-11	1.50449e-09	3.43303e-09	1.02549e-08	4.99518e-06	0.00139222	0.088921	0.714744	0.188061	0.00680511	7.0723e-05	3.06934e-07	8.19941e-10	6.21606e-12	5.39455e-14	3.6402e-16	2.28331e-18	4.0505e-21	7.96223e-24	1.51518e-26	1.79488e-29	8.79e-32	1.25162e-34	5.15186e-37	4.17989e-40	9.86197e-43	4.81392e-46	5.88718e-49	1.98958e-52	1.52617e-55	8.02465e-59	
N7	5.53525e-40	3.47199e-33	6.0306e-29	4.56889e-25	8.63447e-23	3.20604e-20	3.38373e-18	7.54513e-15	3.66861e-12	7.97138e-12	6.86871e-11	4.36901e-09	1.03084e-08	8.7697e-08	2.1143e-05	0.00286463	0.110002	0.695481	0.182024	0.0094341	0.000172385	1.49517e-06	7.89196e-09	7.14449e-11	1.39226e-12	2.60138e-14	4.44983e-16	2.31428e-18	1.15364e-20	4.88759e-23	1.29502e-25	1.14743e-27	5.64015e-30	6.32509e-32	2.20507e-34	1.51371e-36	2.83663e-39	9.54241e-42	1.20681e-44	2.72123e-47	5.19778e-50	
