NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	5.61407e-71	7.01719e-47	9.25962e-42	2.51273e-37	2.45038e-33	1.06497e-29	2.29073e-26	2.56915e-23	1.53266e-20	4.84125e-18	7.87767e-16	6.26444e-14	2.23887e-12	3.18043e-11	1.51812e-10	0.67831	0.279193	0.042497	8.25342e-13	2.67636e-14	4.93023e-16	5.68114e-18	4.4018e-20	2.42322e-22	9.89448e-25	3.10092e-27	7.66902e-30	1.53139e-32	2.5168e-35	3.46002e-38	4.03476e-41	4.03915e-44	3.50797e-47	2.66762e-50	1.79078e-53	1.06899e-56	5.71142e-60	2.74727e-63	1.19604e-66	4.73606e-70	1.90286e-73	
N2	1.22873e-73	7.27583e-49	5.4419e-43	8.30319e-38	4.50927e-33	1.08274e-28	1.28163e-24	7.92941e-21	2.63985e-17	4.768e-14	4.62778e-11	2.34779e-08	5.92206e-06	0.000683531	0.031276	0.420817	0.41785	0.118075	0.0108767	0.000408689	7.50311e-06	7.67279e-08	4.81018e-10	1.98667e-12	5.7141e-15	1.19579e-17	1.88609e-20	2.30794e-23	2.24427e-26	1.76969e-29	1.15127e-32	6.27115e-36	2.89727e-39	1.14811e-42	3.94113e-46	1.18224e-49	3.12339e-53	7.31842e-57	1.5311e-60	2.91546e-64	7.96588e-68	
N3	1.51348e-81	4.78671e-56	1.60153e-49	1.05048e-43	2.35822e-38	2.24523e-33	1.00629e-28	2.2369e-24	2.51833e-20	1.43277e-16	4.02692e-13	5.34817e-10	3.12679e-07	7.23342e-05	0.0056501	0.1179	0.482733	0.348216	0.0439165	0.00149387	1.88191e-05	1.08754e-07	3.34141e-10	6.06603e-13	7.03695e-16	5.53871e-19	3.10058e-22	1.28212e-25	4.03943e-29	9.9495e-33	1.95793e-36	3.13574e-40	4.15285e-44	4.61132e-48	4.34548e-52	3.51254e-56	2.45862e-60	1.50286e-64	8.08346e-69	3.85475e-73	2.05383e-77	
N4	1.12782e-80	3.09568e-55	9.23135e-49	5.3508e-43	1.05215e-37	8.69565e-33	3.35248e-28	6.3539e-24	6.04873e-20	2.8897e-16	6.78863e-13	7.53352e-10	3.70599e-07	7.35559e-05	0.00513298	0.10299	0.452477	0.374044	0.0622676	0.00296161	5.29383e-05	4.32422e-07	1.85718e-09	4.64948e-12	7.33536e-15	7.74757e-18	5.74728e-21	3.11278e-24	1.27077e-27	4.01575e-31	1.00461e-34	2.02807e-38	3.35896e-42	4.63025e-46	5.37959e-50	5.32672e-54	4.53958e-58	3.35917e-62	2.1755e-66	1.24689e-70	8.58468e-75	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.01433e-74	1.94939e-49	1.50014e-43	2.32528e-38	1.27148e-33	3.05111e-29	3.58325e-25	2.18268e-21	7.0938e-18	1.23911e-14	1.15136e-11	5.53518e-09	1.31254e-06	0.000142576	0.00634776	0.0979667	0.411839	0.38811	0.0886579	0.00671511	0.000215803	3.5003e-06	3.24116e-08	1.87469e-10	7.24811e-13	1.97404e-15	3.94786e-18	5.99536e-21	7.10721e-24	6.72992e-27	5.19033e-30	3.31492e-33	1.77857e-36	8.11723e-40	3.18594e-43	1.08582e-46	3.2411e-50	8.53834e-54	1.99904e-57	4.20888e-61	1.22255e-64	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.80381e-85	8.2562e-60	4.00536e-53	3.85753e-47	1.28959e-41	1.85794e-36	1.28332e-31	4.48997e-27	8.15319e-23	7.70041e-19	3.71815e-15	8.84258e-12	9.74047e-09	4.52262e-06	0.000767049	0.0380984	0.392861	0.508246	0.0585568	0.00145355	1.24016e-05	4.73173e-08	9.53402e-11	1.13642e-13	8.69656e-17	4.54367e-20	1.69991e-23	4.73023e-27	1.00961e-30	1.69553e-34	2.28876e-38	2.52879e-42	2.3227e-46	1.79758e-50	1.18605e-54	6.74103e-59	3.33069e-63	1.44233e-67	5.51419e-72	1.87455e-76	7.03545e-81	
N7	2.82401e-79	3.38623e-54	4.55009e-48	1.2452e-42	1.21673e-37	5.2875e-33	1.14132e-28	1.29919e-24	8.0407e-21	2.73302e-17	5.06708e-14	5.00652e-11	2.52785e-08	6.10481e-06	0.000637387	0.0246053	0.273205	0.575021	0.120202	0.00620026	0.000121881	1.162e-06	6.2463e-09	2.09643e-11	4.72689e-14	7.56365e-17	8.96215e-20	8.13406e-23	5.81241e-26	3.34535e-29	1.58074e-32	6.23275e-36	2.07955e-39	5.943e-43	1.47032e-46	3.1788e-50	6.05596e-54	1.02426e-57	1.54829e-61	2.1065e-65	3.468e-69	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	3.03522e-81	1.55322e-69	2.84155e-62	1.86978e-55	4.11002e-49	3.74173e-43	1.56597e-37	3.1725e-32	3.17255e-27	1.55892e-22	3.66556e-18	3.92256e-14	1.76424e-10	2.95723e-07	0.000154062	0.0188631	0.352936	0.572298	0.0549779	0.000768128	2.81094e-06	3.80722e-09	2.37193e-12	7.86742e-16	1.54122e-19	1.9254e-23	1.62642e-27	9.72538e-32	4.27011e-36	1.41821e-40	3.65121e-45	7.43659e-50	1.21895e-54	1.63159e-59	1.58584e-63	6.98022e-64	1.87934e-64	2.68636e-65	1.96033e-66	6.85918e-68	1.1843e-69	
N9	3.65808e-94	2.45866e-68	5.8259e-61	2.66165e-54	4.10263e-48	2.64981e-42	7.97648e-37	1.18126e-31	8.80227e-27	3.29732e-22	6.07418e-18	5.26259e-14	1.99403e-10	2.95435e-07	0.000143995	0.017537	0.341692	0.58045	0.0592504	0.00092196	3.93137e-06	6.44139e-09	5.00433e-12	2.12182e-15	5.42273e-19	8.98817e-23	1.02155e-26	8.31511e-31	5.01798e-35	2.30897e-39	8.28945e-44	2.36668e-48	5.46004e-53	1.03166e-57	1.62498e-62	3.29482e-65	5.88633e-66	5.71818e-67	2.81197e-68	6.35474e-70	6.63876e-72	
N10	6.8085e-82	1.27153e-56	2.6396e-50	1.11285e-44	1.67025e-39	1.11132e-34	3.65982e-30	6.33066e-26	5.92586e-22	3.02902e-18	8.38498e-15	1.22539e-11	9.0333e-09	3.12509e-06	0.000453488	0.0230592	0.301633	0.569194	0.101422	0.00417227	6.25203e-05	4.40636e-07	1.7131e-09	4.09121e-12	6.48156e-15	7.2143e-18	5.89709e-21	3.66663e-24	1.78419e-27	6.95589e-31	2.21585e-34	5.86465e-38	1.30817e-41	2.4899e-45	4.08774e-49	5.84379e-53	7.33612e-57	8.14798e-61	8.06043e-65	7.15415e-69	7.57937e-73	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	6.49923e-84	1.54216e-58	4.00123e-52	2.11527e-46	3.995e-41	3.35765e-36	1.40265e-31	3.0923e-27	3.70907e-23	2.44464e-19	8.79109e-16	1.68415e-12	1.64615e-09	7.6644e-07	0.000152805	0.0110117	0.215291	0.669049	0.101195	0.00326164	3.79327e-05	2.08373e-07	6.35822e-10	1.20017e-12	1.51251e-15	1.34687e-18	8.85308e-22	4.44652e-25	1.75497e-28	5.57034e-32	1.44965e-35	3.14449e-39	5.766e-43	9.04784e-47	1.22802e-50	1.45527e-54	1.51841e-58	1.40533e-62	1.16148e-66	8.62861e-71	7.3511e-75	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	4.986e-82	9.02576e-57	1.80244e-50	7.33482e-45	1.06639e-39	6.89924e-35	2.21847e-30	3.76417e-26	3.47421e-22	1.76159e-18	4.872e-15	7.176e-12	5.3911e-09	1.92895e-06	0.000295613	0.0164013	0.24852	0.620107	0.110212	0.00439809	6.42939e-05	4.46659e-07	1.72879e-09	4.14608e-12	6.64532e-15	7.53102e-18	6.30283e-21	4.03212e-24	2.02762e-27	8.202e-31	2.72104e-34	7.52612e-38	1.76019e-41	3.52385e-45	6.10375e-49	9.23419e-53	1.23044e-56	1.4549e-60	1.53684e-64	1.46007e-68	1.62327e-72	
BGA303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	2.35063e-81	4.96313e-55	9.72705e-48	3.3676e-41	3.51026e-35	1.32024e-29	1.89589e-24	1.02156e-19	1.90807e-15	1.08911e-11	1.71916e-08	7.65294e-06	0.00101654	0.0394593	0.374416	0.53205	0.0523787	0.000669727	1.28492e-06	7.80097e-10	2.10563e-13	3.05265e-17	2.67881e-21	1.54468e-25	6.21302e-30	1.82393e-34	4.04889e-39	6.9923e-44	9.61471e-49	1.07312e-53	9.88082e-59	7.60937e-64	4.95961e-69	2.76393e-74	1.32877e-79	5.55401e-85	2.03228e-90	6.55002e-96	1.87068e-101	4.95377e-107	3.64506e-112	
N14	8.62426e-60	6.68831e-35	5.48079e-29	6.91795e-24	2.257e-19	2.25951e-15	7.34929e-12	7.76613e-09	2.57843e-06	0.0002578	0.00773466	0.0761022	0.27405	0.386821	0.213322	0.0402038	0.00149286	1.39822e-05	5.40849e-08	1.1039e-10	1.36263e-13	1.10951e-16	6.33103e-20	2.64785e-23	8.40383e-27	2.08108e-30	4.11351e-34	6.61458e-38	8.79347e-42	9.7994e-46	9.26488e-50	7.5102e-54	5.26829e-58	3.22463e-62	1.73493e-66	8.25953e-71	3.50021e-75	1.32755e-79	4.5289e-84	1.40159e-88	5.21432e-93	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	3.54653e-54	3.61878e-30	5.27812e-25	1.33596e-20	1.00225e-16	2.68685e-13	2.76067e-10	1.09863e-07	1.64962e-05	0.000894747	0.0170744	0.118906	0.323026	0.356749	0.157715	0.0246895	0.000918118	1.15118e-05	7.04653e-08	2.53234e-10	5.95287e-13	9.8278e-16	1.1985e-18	1.12123e-21	8.28726e-25	4.95487e-28	2.44316e-31	1.00965e-34	3.54496e-38	1.06992e-41	2.80398e-45	6.43746e-49	1.30477e-52	2.35075e-56	3.78776e-60	5.48815e-64	7.18557e-68	8.53889e-72	9.24758e-76	9.23103e-80	1.32397e-83	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	7.17924e-79	7.72812e-64	5.99567e-56	8.27622e-49	3.50321e-42	5.53489e-36	3.53235e-30	9.25265e-25	9.63553e-20	3.68303e-15	4.5175e-11	1.48799e-07	0.00011093	0.0154874	0.306737	0.59525	0.0811552	0.00125593	3.37148e-06	2.41065e-09	6.29056e-13	7.44512e-17	4.64872e-21	1.70626e-25	3.98697e-30	6.30006e-35	7.0542e-40	5.80695e-45	3.6195e-50	1.74952e-55	6.68723e-61	2.05411e-66	5.13867e-72	5.03059e-77	2.02662e-77	4.57444e-78	4.21873e-79	1.42793e-80	1.6545e-82	6.38374e-85	8.9521e-88	
N17	3.40152e-81	3.71994e-55	3.95693e-48	7.78297e-42	4.89442e-36	1.20415e-30	1.26483e-25	5.83854e-21	1.1698e-16	9.65811e-13	2.9684e-09	2.84276e-06	0.000634239	0.0316412	0.324647	0.531574	0.107728	0.0037411	3.16382e-05	9.1543e-08	1.15389e-10	7.47265e-14	2.79215e-17	6.55203e-21	1.02951e-24	1.13858e-28	9.22243e-33	5.65059e-37	2.68961e-41	1.017e-45	3.11314e-50	7.84043e-55	1.64741e-59	2.92313e-64	4.42677e-69	5.77525e-74	6.54468e-79	6.48972e-84	5.66796e-89	4.38621e-94	3.42553e-99	
N18	5.68345e-68	5.43693e-43	5.74118e-37	1.15307e-31	7.63324e-27	2.04335e-22	2.42078e-18	1.31017e-14	3.20581e-11	3.36255e-08	1.3492e-05	0.00164519	0.036597	0.228914	0.449336	0.251958	0.0305408	0.000983538	1.21141e-05	7.18393e-08	2.38008e-10	4.87987e-13	6.6673e-16	6.41809e-19	4.54522e-22	2.45104e-25	1.03501e-28	3.50262e-32	9.68554e-36	2.22486e-39	4.30609e-43	7.10876e-47	1.0118e-50	1.2534e-54	1.36272e-58	1.31003e-62	1.12103e-66	8.59049e-71	5.92742e-75	3.71502e-79	2.86864e-83	
FGA379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	9.03551e-64	7.08318e-39	6.0478e-33	9.52331e-28	4.76366e-23	9.21273e-19	7.45904e-15	2.57137e-11	3.6558e-08	1.96686e-05	0.00338448	0.132826	0.438647	0.337533	0.0809573	0.00646782	0.000162404	1.50243e-06	6.54702e-09	1.58622e-11	2.38612e-14	2.40776e-17	1.72507e-20	9.16486e-24	3.73608e-27	1.20132e-30	3.11679e-34	6.64985e-38	1.18568e-41	1.79133e-45	2.32083e-49	2.60566e-53	2.55864e-57	2.21554e-61	1.70417e-65	1.17302e-69	7.40557e-74	5.36129e-78	9.1335e-82	2.8584e-85	1.27846e-88	
N20	1.06766e-69	4.8708e-44	2.19771e-37	1.76766e-31	4.35524e-26	3.98322e-21	1.45316e-16	2.12261e-12	1.17402e-08	2.14918e-05	0.00970677	0.426361	0.472203	0.0884055	0.00326983	3.22156e-05	1.04279e-07	1.4121e-10	9.64527e-14	3.78347e-17	9.33666e-21	1.5487e-24	1.81448e-28	1.55988e-32	1.0138e-36	5.10101e-41	2.02534e-45	6.44434e-50	1.66391e-54	2.04458e-57	4.11524e-56	3.3456e-55	1.08869e-54	1.33743e-54	5.32875e-55	4.94087e-56	5.26819e-58	1.4605e-60	3.6111e-63	8.43945e-66	2.22443e-68	
N21	1.19129e-73	2.25162e-47	3.96631e-40	1.1754e-33	9.97817e-28	2.90214e-22	3.04884e-17	1.12848e-12	1.33107e-08	4.06307e-05	0.021071	0.659452	0.303071	0.0162265	0.00013894	2.74474e-07	1.70059e-10	4.38252e-14	5.70679e-18	4.27824e-22	2.0219e-26	6.433e-31	1.44734e-35	2.39115e-40	2.98759e-45	2.88978e-50	2.20475e-55	1.34692e-60	6.67198e-66	2.83737e-68	1.12057e-67	1.7856e-67	3.13328e-66	5.02948e-63	1.77835e-60	9.50747e-59	3.91784e-58	1.4962e-58	2.1823e-59	1.44435e-60	7.03786e-62	
F3015	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	4.08621e-74	9.03722e-48	1.85221e-40	6.3874e-34	6.3097e-28	2.13343e-22	2.59714e-17	1.10497e-12	1.47131e-08	4.87844e-05	0.0254216	0.737472	0.231093	0.00594398	2.08257e-05	1.69284e-08	4.84343e-12	6.39578e-16	4.61066e-20	2.02656e-24	5.86499e-29	1.18168e-33	1.72809e-38	1.89373e-43	1.59415e-48	1.05117e-53	5.5137e-59	2.32881e-64	7.99648e-70	2.4126e-75	6.22878e-76	1.67384e-71	2.58232e-67	9.24811e-64	6.29758e-61	5.38154e-59	1.99281e-58	3.23858e-59	2.02321e-60	8.32468e-62	3.40745e-63	
