NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	5.95589e-29	3.36688e-26	1.14812e-23	2.2596e-21	8.4085e-20	9.22566e-19	1.80981e-17	1.28143e-15	2.69796e-14	5.52387e-14	9.89797e-14	1.83453e-13	1.13862e-13	2.69831e-13	4.91302e-12	0.180866	0.473007	0.346127	2.28537e-11	1.83312e-12	6.74088e-14	1.34211e-15	1.62248e-17	1.29192e-19	7.19432e-22	2.93274e-24	9.07025e-27	2.19016e-29	4.2269e-32	6.64829e-35	8.66287e-38	9.48307e-41	8.82675e-44	7.05931e-47	4.89569e-50	2.96802e-53	1.5843e-56	7.4939e-60	3.15914e-63	1.19308e-66	4.14322e-70	
N2	5.14093e-31	1.73868e-28	5.40351e-26	9.50348e-24	6.40417e-22	6.42531e-20	2.05053e-17	1.01784e-14	2.25135e-12	6.10179e-11	1.00346e-09	4.23422e-08	9.27754e-07	1.9443e-05	0.00156152	0.0781049	0.381225	0.45594	0.0796385	0.00342774	6.67705e-05	1.0873e-05	2.88318e-06	1.13575e-06	2.63318e-08	9.66127e-10	1.93779e-11	9.37575e-14	1.32259e-15	1.75394e-16	2.73334e-18	2.67222e-19	5.05099e-22	2.01085e-23	2.12972e-26	4.54229e-28	2.72455e-31	1.72571e-33	7.63691e-37	4.86849e-39	1.07631e-40	
N3	1.91096e-35	2.27854e-31	1.58283e-27	6.56532e-24	2.46044e-21	4.79553e-19	8.35926e-17	1.72763e-13	1.02209e-10	2.19861e-10	5.07348e-10	3.38377e-08	9.42157e-08	1.1164e-07	1.86821e-05	0.00293108	0.109124	0.63746	0.238057	0.0122425	0.000165523	1.28362e-06	1.79438e-08	3.35759e-10	1.70875e-12	7.42956e-15	2.24132e-17	2.87305e-20	4.13847e-23	1.43136e-25	1.546e-28	4.68053e-31	2.33087e-34	3.87546e-37	9.8268e-41	9.23962e-44	1.29338e-47	6.82489e-51	6.14103e-55	2.48452e-58	7.99235e-62	
N4	8.74979e-36	5.79641e-32	2.76389e-28	8.01424e-25	3.55368e-22	9.05904e-20	2.73828e-17	1.58805e-14	2.04022e-12	7.62771e-12	3.40016e-11	7.51436e-10	3.71459e-09	7.64923e-08	1.86067e-05	0.00264328	0.101391	0.612722	0.265596	0.0173292	0.000297223	1.99374e-06	1.174e-08	1.17028e-09	5.59408e-11	1.19949e-12	4.11573e-14	1.06986e-16	7.0435e-19	1.92187e-21	2.29883e-24	9.2777e-26	1.49252e-28	5.26831e-30	3.10426e-33	6.74627e-35	1.30738e-38	1.1568e-40	1.31623e-44	4.92913e-47	1.57586e-50	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.31318e-32	1.31565e-29	1.28007e-26	7.3903e-24	1.69805e-21	3.32073e-19	5.84109e-17	7.52899e-15	3.39049e-13	2.49643e-12	2.39524e-11	5.83754e-10	1.00074e-08	4.30139e-07	5.43718e-05	0.00427162	0.111738	0.581378	0.277782	0.02413	0.000639023	7.01934e-06	5.13519e-08	6.85468e-09	7.85578e-10	4.00424e-11	3.61475e-12	2.77234e-14	4.70294e-16	3.36278e-18	8.67274e-21	6.74674e-22	4.11891e-24	3.86288e-25	9.3274e-28	5.71797e-29	4.39051e-32	1.21659e-33	5.40527e-37	6.54675e-39	7.38268e-42	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	4.38291e-36	4.00154e-32	2.1542e-28	5.72051e-25	1.12461e-22	4.00542e-20	3.43908e-18	4.58702e-15	2.20609e-12	1.81582e-12	8.03418e-12	1.06096e-09	2.56751e-09	3.10998e-09	9.31581e-07	0.000374743	0.0427834	0.719301	0.230324	0.00716366	5.25985e-05	1.40685e-07	2.44668e-10	2.46475e-12	1.91714e-14	9.76014e-17	4.99869e-19	4.72973e-22	6.13435e-25	5.67122e-28	2.63954e-31	9.71739e-34	6.38462e-37	1.9538e-39	6.02221e-43	1.09826e-45	1.41654e-49	1.29732e-52	9.40235e-57	4.57017e-60	6.04843e-64	
N7	3.57054e-33	5.74296e-30	7.32748e-27	5.4838e-24	7.05404e-22	1.53574e-19	3.5471e-17	1.81831e-14	3.57949e-12	8.83233e-12	6.81936e-11	3.52615e-09	8.45187e-09	3.85788e-08	7.74853e-06	0.00131309	0.0735254	0.730221	0.187183	0.00765394	9.50528e-05	4.9828e-07	1.61906e-09	2.2608e-11	4.52313e-13	6.67209e-15	9.07579e-17	2.47842e-19	7.89809e-22	1.72661e-24	1.89805e-27	1.41162e-29	3.43421e-32	2.81317e-34	4.40008e-37	2.07658e-39	1.10586e-42	2.48437e-45	7.3723e-49	9.48211e-52	4.81494e-55	
