NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	5.40039e-79	2.70094e-55	9.41482e-50	6.71064e-45	1.71032e-40	1.94837e-36	1.12524e-32	3.61482e-29	7.38608e-26	1.00976e-22	7.66688e-20	2.96064e-17	5.38558e-15	4.1114e-13	1.11069e-11	0.275815	0.478259	0.245927	1.23405e-11	8.454e-13	2.91628e-14	5.86835e-16	7.62968e-18	6.89565e-20	4.57356e-22	2.32007e-24	9.29751e-27	3.0216e-29	8.95099e-32	
N2	9.93767e-82	2.94496e-57	6.76758e-51	3.17242e-45	5.51883e-40	4.56875e-35	2.01242e-30	4.88138e-26	6.53275e-22	4.76527e-18	1.84514e-14	3.67154e-11	3.56969e-08	1.55843e-05	0.00263741	0.127353	0.437027	0.371857	0.0583415	0.00271515	5.22635e-05	5.11809e-07	2.92217e-09	1.06968e-11	2.69068e-14	4.90398e-17	7.8657e-20	3.9952e-21	1.04444e-21	
N3	4.89676e-88	5.53983e-63	3.86876e-56	4.62509e-50	1.63014e-44	2.08172e-39	1.07695e-34	2.30873e-30	1.64864e-26	1.90098e-22	2.93239e-18	2.19685e-14	7.44188e-11	1.03269e-07	5.03204e-05	0.00673768	0.170011	0.624909	0.18813	0.0100034	0.000158117	1.01621e-06	3.24083e-09	5.86796e-12	6.63892e-15	5.03834e-18	2.70759e-21	1.0771e-24	4.04297e-28	
N4	4.94262e-91	9.69167e-66	1.26915e-58	3.02647e-52	2.27503e-46	6.65517e-41	8.41251e-36	4.86498e-31	1.62319e-26	4.00707e-22	5.24522e-18	3.2927e-14	9.35049e-11	1.09888e-07	4.6713e-05	0.005844	0.156483	0.605088	0.217363	0.0148601	0.000311869	2.69064e-06	1.15318e-08	2.79625e-11	4.21226e-14	4.22681e-17	2.98149e-20	1.64308e-23	1.43048e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	3.6039e-84	1.40079e-59	4.50648e-53	3.05093e-47	7.45575e-42	8.05817e-37	4.25615e-32	1.15926e-27	1.67346e-23	1.29092e-19	5.27803e-16	1.11623e-12	1.16924e-09	5.6658e-07	0.000114431	0.00819863	0.160946	0.571362	0.236471	0.0221608	0.000734934	1.12298e-05	9.35012e-08	4.75472e-10	1.60247e-12	3.80445e-15	6.66976e-18	9.22593e-21	8.03171e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	2.90682e-91	4.44345e-66	4.41023e-59	8.16653e-53	5.05699e-47	1.32069e-41	1.58576e-36	8.46915e-32	1.38663e-27	5.81821e-25	1.27074e-20	1.64001e-16	1.00682e-12	2.71912e-09	2.85946e-06	0.000963416	0.074781	0.72558	0.192073	0.0065379	6.18424e-05	2.35536e-07	4.48064e-10	4.89163e-13	3.37262e-16	1.5737e-19	5.2336e-23	1.29314e-26	3.02135e-30	
N7	6.61512e-85	1.5953e-60	2.61377e-54	7.83591e-49	7.77612e-44	3.51234e-39	9.87488e-35	2.24086e-30	4.1925e-26	5.52243e-22	4.19455e-18	1.68914e-14	3.46468e-11	3.39738e-08	1.44244e-05	0.00226236	0.0995934	0.708958	0.180298	0.00872608	0.000145752	1.13247e-06	4.88337e-09	1.3117e-11	2.37954e-14	3.09401e-17	3.01744e-20	2.29107e-23	1.75322e-26	
