NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	2.37844e-26	2.62885e-22	1.54664e-18	3.04241e-17	9.5847e-14	4.26628e-14	2.07279e-11	2.63852e-09	1.11306e-10	4.57695e-10	1.59033e-07	6.69658e-06	6.68019e-07	1.06728e-08	3.36645e-10	0.671002	0.281181	0.0478101	4.63207e-13	6.0211e-15	4.36521e-17	2.08376e-19	7.22178e-22	1.93636e-24	4.19805e-27	7.59974e-30	1.17705e-32	1.58978e-35	1.97555e-38	
N2	2.0212e-30	1.20532e-25	1.67139e-21	3.24941e-19	9.79353e-16	2.24866e-15	1.47767e-12	2.31046e-10	1.47869e-11	1.47344e-10	6.88554e-08	8.37084e-06	8.75193e-05	0.000233757	0.00157514	0.214255	0.521046	0.251915	0.0104263	0.000171542	0.000152137	0.000102058	2.09549e-05	6.75498e-06	2.86553e-08	4.23735e-10	1.80959e-12	9.35726e-15	1.92747e-15	
N3	3.29567e-41	4.99032e-35	1.96124e-29	9.7393e-27	9.43323e-22	4.03394e-21	2.2223e-17	4.69743e-14	2.81005e-14	6.71489e-13	9.07509e-09	9.58334e-06	1.18509e-05	8.51919e-07	1.42675e-06	0.00116028	0.09912	0.843617	0.0553773	0.00067563	2.57319e-05	7.94243e-07	1.21637e-08	1.47522e-10	2.38686e-13	4.83527e-16	5.56987e-19	3.80296e-22	1.52078e-24	
N4	1.05517e-43	1.14297e-37	4.04117e-32	9.34489e-29	5.30927e-24	2.89089e-22	2.09866e-18	4.45625e-15	2.7836e-14	2.74381e-12	1.0603e-08	2.92377e-06	2.25864e-06	1.70837e-07	8.73811e-07	0.000516557	0.0753541	0.840677	0.0822464	0.00118702	1.28358e-05	1.86792e-07	4.25296e-09	7.34163e-10	2.53389e-11	3.79255e-13	8.69558e-15	8.24932e-18	5.76925e-20	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	2.08094e-38	6.20045e-36	2.94606e-31	1.07396e-27	2.49058e-23	3.34285e-21	1.42859e-17	2.14159e-14	2.12686e-13	1.71838e-11	1.64386e-08	1.68255e-06	9.7974e-07	2.33241e-07	2.4968e-06	0.000690502	0.0742095	0.815712	0.106987	0.00237478	2.08995e-05	1.73269e-07	1.09631e-08	5.14122e-09	6.52878e-10	2.73981e-11	2.31245e-12	7.49365e-15	1.47935e-16	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	2.05373e-46	7.79818e-40	8.98406e-34	1.60735e-30	6.5023e-25	7.0281e-24	2.2186e-19	2.743e-15	1.5874e-15	4.64561e-14	5.10365e-10	4.2865e-07	8.52316e-08	2.54951e-09	9.9086e-09	2.47462e-05	0.015929	0.938718	0.0450688	0.000258754	5.67878e-07	1.43571e-09	1.26751e-11	2.63546e-13	1.61911e-15	5.62561e-18	2.0582e-20	9.53147e-24	1.34629e-26	
N7	6.38379e-43	5.21081e-37	1.25101e-31	1.8678e-28	1.32826e-23	2.12902e-22	1.89354e-18	5.01584e-15	3.54768e-15	1.17434e-13	2.4546e-10	6.07895e-08	4.58549e-08	1.18813e-08	9.33904e-08	8.56044e-05	0.0253759	0.91405	0.0598597	0.000626638	2.28845e-06	6.11236e-09	1.18883e-10	6.87829e-12	1.5908e-13	2.26003e-15	3.10003e-17	4.88831e-20	1.85407e-22	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	4.59806e-51	1.0257e-45	9.02892e-39	3.00838e-35	7.01301e-29	7.62593e-28	7.31507e-23	1.95885e-18	1.23996e-18	7.35688e-17	4.36646e-12	9.89463e-09	7.05996e-10	6.75275e-12	8.53742e-11	1.33198e-06	0.00455888	0.959735	0.035616	8.854e-05	5.14152e-08	1.49078e-11	2.74029e-14	7.10986e-16	4.85302e-18	8.28222e-21	3.22238e-23	5.11532e-27	1.1048e-28	
N9	3.97704e-39	2.88938e-35	1.17464e-31	1.95055e-30	5.32557e-27	1.66899e-27	7.87963e-24	9.94783e-20	1.82645e-19	4.35455e-17	1.47675e-12	2.5816e-09	1.24822e-10	3.0239e-12	1.33158e-10	1.55989e-06	0.00456138	0.959279	0.036061	9.73598e-05	6.27878e-08	1.68119e-11	3.39449e-14	1.01768e-14	8.02757e-16	5.83936e-18	3.03635e-19	8.34051e-23	2.356e-25	
N10	9.67994e-45	1.97345e-40	7.42771e-36	1.2008e-32	1.1973e-27	7.55318e-26	1.03771e-21	4.2587e-18	1.23305e-17	9.57239e-16	2.70439e-12	7.64299e-10	1.2573e-09	1.41058e-09	2.63706e-08	3.5382e-05	0.0164509	0.931032	0.0520621	0.00041859	1.10517e-06	1.61551e-09	2.91411e-11	6.31672e-12	4.73109e-13	1.40362e-14	7.15548e-16	8.60534e-19	4.89239e-21	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	4.19023e-47	6.95407e-41	3.34046e-35	5.61e-32	8.60602e-27	9.93461e-26	1.79859e-21	1.02135e-17	6.15061e-18	4.11044e-16	4.41623e-12	6.91371e-09	7.35682e-09	1.31524e-09	1.28424e-08	2.43789e-05	0.0140597	0.949036	0.0366636	0.000215425	4.32647e-07	5.75263e-10	5.99126e-12	2.43336e-13	3.94426e-15	3.74797e-17	3.50124e-19	3.01465e-22	6.44457e-25	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	5.36569e-46	6.9947e-40	2.61916e-34	4.89814e-31	5.4256e-26	9.0602e-25	1.19443e-20	4.6901e-17	3.46612e-17	1.6306e-15	7.81922e-12	6.76217e-09	9.87914e-09	2.73304e-09	2.76924e-08	3.93081e-05	0.0176097	0.936144	0.0458618	0.000344731	8.85932e-07	1.4916e-09	2.12697e-11	1.28106e-12	3.03674e-14	4.12207e-16	5.75296e-18	6.48997e-21	1.95093e-23	
BGA303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N13	4.64964e-38	1.91318e-31	1.52325e-25	1.3239e-22	6.01164e-18	1.40472e-17	1.48627e-13	6.69928e-11	6.54283e-10	4.06628e-07	0.00210903	0.798382	0.189189	0.0101224	0.000191648	3.564e-06	2.17306e-06	8.30592e-08	2.1729e-11	1.48253e-15	4.6739e-20	6.07222e-24	7.54196e-27	1.7849e-29	3.32077e-31	1.09745e-32	6.43845e-34	2.47489e-36	6.57175e-35	
N14	5.82471e-37	7.15747e-31	2.91595e-25	9.27391e-21	7.13159e-17	2.80946e-13	5.60943e-10	4.38082e-08	2.30757e-05	0.0125481	0.330021	0.594118	0.0619819	0.00129789	9.17716e-06	1.21327e-07	6.22524e-09	5.04149e-11	3.36181e-14	2.7956e-17	1.24722e-19	1.26847e-22	4.8983e-25	1.30795e-26	4.6429e-27	7.14484e-28	1.50066e-28	1.67574e-30	1.6825e-31	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	9.16186e-28	2.44482e-26	5.62054e-23	6.47236e-19	2.3628e-15	3.75928e-12	4.22511e-09	3.79218e-07	7.98981e-05	0.0188887	0.376517	0.551865	0.0516509	0.000991122	6.73008e-06	8.43699e-08	3.32901e-09	2.84715e-10	2.71487e-12	7.27584e-14	7.31148e-16	1.06174e-18	1.74577e-20	1.62348e-22	1.4787e-24	2.77685e-26	1.32986e-27	3.73573e-30	2.17782e-31	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	4.14481e-39	1.59284e-34	2.05203e-30	8.00964e-28	1.24999e-21	7.47361e-21	1.65852e-15	1.13898e-10	1.187e-10	1.54835e-08	0.000596866	0.902184	0.0961085	0.00109837	8.1717e-06	1.98606e-06	2.4078e-06	1.10382e-07	4.59031e-10	2.4404e-12	1.90245e-14	1.31095e-17	1.28614e-20	8.06704e-24	3.12675e-27	1.36256e-28	1.61455e-30	8.47849e-33	3.93934e-33	
N17	5.5968e-43	1.16682e-35	6.39431e-29	1.78922e-25	2.44242e-19	5.09691e-18	5.83485e-13	3.75128e-09	2.45669e-09	3.03735e-07	0.00389825	0.96456	0.0305676	3.99931e-05	3.46185e-06	1.79306e-05	0.000194311	0.000709091	9.15691e-06	7.5614e-08	1.1709e-10	3.73216e-14	2.72833e-17	2.07937e-20	2.41331e-23	4.52967e-26	1.42371e-28	2.1798e-32	1.84984e-35	
N18	2.33231e-37	2.57645e-31	7.96029e-26	3.49234e-22	1.47132e-17	2.16009e-15	1.73864e-11	1.51495e-08	1.30751e-07	1.93587e-05	0.018664	0.949132	0.0309699	0.000277943	7.35031e-05	0.000317284	0.00044236	0.000102531	6.35595e-07	1.63165e-09	1.8821e-12	1.21602e-15	2.79401e-18	1.98112e-19	6.16601e-21	8.52841e-23	2.12039e-24	1.69606e-27	6.46894e-30	
FGA379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N19	7.93502e-36	8.43792e-30	2.43937e-24	6.54219e-21	3.62554e-16	2.23149e-14	1.2087e-10	2.14091e-07	7.28485e-07	2.66655e-05	0.0145635	0.941724	0.0428651	0.000653565	0.000145335	1.95203e-05	1.00853e-06	1.58776e-08	2.14547e-11	1.25815e-14	4.24537e-18	1.39076e-21	5.4811e-24	1.14638e-25	8.52337e-28	3.18964e-30	1.94173e-32	7.59733e-36	1.19716e-38	
N20	5.58048e-39	5.03595e-32	1.02032e-25	7.98619e-22	4.87396e-17	1.70647e-14	5.57095e-11	4.69839e-08	3.18016e-07	9.73961e-05	0.0190484	0.924962	0.0552796	0.000606189	5.89589e-06	3.86882e-08	7.98444e-11	1.1689e-13	1.28219e-17	4.38865e-21	4.53984e-23	2.98229e-24	3.68263e-25	8.53447e-26	4.11774e-27	3.45639e-28	3.65821e-29	3.43904e-31	3.6971e-32	
N21	3.69585e-37	9.55776e-33	3.27727e-28	1.94904e-24	1.01403e-18	1.35826e-16	1.70869e-11	1.0711e-08	3.09548e-08	1.91263e-05	0.027043	0.951231	0.0216627	4.36266e-05	5.32667e-08	3.64978e-11	7.56344e-15	1.88235e-18	2.90056e-22	1.36064e-25	2.80994e-27	6.11953e-29	4.30644e-30	2.88707e-31	2.37297e-33	1.36685e-34	4.89037e-36	4.12516e-38	1.1767e-38	
F3015	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	9.25297e-37	1.7428e-32	1.63183e-28	2.27425e-25	1.59659e-19	3.97492e-17	2.14087e-12	2.09776e-09	1.92488e-08	7.6028e-06	0.0271564	0.956194	0.0166311	1.07099e-05	2.91222e-09	1.65703e-12	2.08845e-15	1.64836e-17	1.7804e-21	8.65256e-25	1.1803e-28	2.30044e-31	1.2759e-32	3.03873e-34	7.21877e-36	5.56621e-37	4.42394e-37	2.2221e-39	3.79339e-40	
N23	1.56226e-36	2.06891e-32	1.52094e-28	2.00572e-25	4.58067e-20	3.00766e-17	2.98126e-13	1.98226e-09	2.75036e-08	7.48019e-06	0.0187258	0.962396	0.0188633	7.19405e-06	2.65095e-09	7.95103e-11	1.70967e-13	7.8915e-16	4.33422e-20	2.74834e-23	1.03558e-27	1.60142e-32	1.12186e-34	1.42805e-31	2.72137e-32	2.07482e-33	7.61435e-34	1.70967e-36	1.916e-37	
N24	7.83836e-46	1.58579e-41	1.86048e-33	2.32788e-29	2.60447e-22	4.3428e-20	1.17977e-13	1.3097e-10	4.11199e-11	8.77691e-07	0.028032	0.969393	0.00257436	1.24779e-07	1.48987e-12	4.32426e-16	7.17231e-20	4.35045e-23	2.26326e-28	4.69807e-32	3.13631e-35	6.50365e-39	5.6492e-41	6.47467e-38	1.55438e-37	2.84266e-37	3.95399e-36	4.88423e-37	1.15336e-36	
N25	1.06608e-37	2.93721e-33	3.75463e-29	2.1848e-27	1.23604e-22	2.32136e-19	4.28422e-14	1.36032e-11	4.31871e-10	7.67744e-06	0.0397098	0.95737	0.00291226	5.0382e-07	1.685e-11	5.10695e-13	8.6929e-16	2.05195e-17	2.37717e-22	6.45719e-26	3.8602e-31	3.91035e-35	9.06153e-37	1.60027e-36	5.79611e-38	5.34901e-39	1.00571e-38	7.52088e-42	5.76013e-43	
F1476	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N26	2.88038e-37	8.58598e-33	1.24941e-28	1.93453e-26	3.43701e-22	3.78291e-18	7.60093e-14	1.8981e-10	3.17537e-08	7.81866e-05	0.0438347	0.946912	0.00916395	1.15138e-05	5.33081e-09	3.08106e-10	5.67365e-13	5.4686e-15	6.1818e-20	2.18462e-23	1.94533e-26	3.5265e-29	3.48021e-30	6.83637e-30	2.46957e-31	1.97771e-32	1.68143e-32	1.46141e-35	6.7854e-37	
Furcep	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N27	6.65912e-35	5.01434e-31	1.9965e-27	1.58832e-25	4.96643e-20	4.04025e-17	6.41545e-12	1.24009e-09	1.83209e-08	2.52721e-05	0.0793662	0.916846	0.00376085	1.71737e-06	2.83006e-10	1.95605e-12	1.26894e-15	2.03371e-17	3.22915e-21	3.3232e-24	4.24758e-28	1.03e-32	5.49832e-36	2.10344e-38	1.80813e-42	1.19465e-45	6.73674e-48	3.07534e-52	1.01288e-51	
Furpol	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N28	6.97911e-42	6.45815e-35	1.55085e-28	3.24706e-24	2.82895e-19	4.2046e-16	4.94956e-11	1.07297e-10	6.41494e-09	0.000191932	0.840683	0.159016	0.000108849	1.59687e-08	1.17748e-12	3.15436e-15	9.95087e-18	8.86094e-20	5.66373e-24	2.0383e-27	1.11529e-31	2.04856e-36	2.63687e-40	3.34416e-43	1.85051e-46	1.53525e-49	4.25114e-52	2.70731e-56	6.47368e-56	
N29	2.05325e-42	2.38407e-35	7.49006e-29	2.05185e-24	2.55871e-19	5.29558e-16	9.18619e-11	1.62575e-10	9.85349e-09	0.000293754	0.97499	0.0247099	6.50404e-06	4.75053e-10	1.94815e-13	1.48253e-15	1.44125e-18	2.87101e-21	8.40484e-26	1.50007e-29	4.17349e-34	1.40819e-38	6.43178e-42	1.63146e-44	2.2239e-48	5.3744e-52	3.92298e-55	2.7025e-60	2.55267e-64	
F2241	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Furang	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FGA490	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N30	7.64474e-44	2.78339e-39	4.85276e-32	6.58252e-28	1.65923e-21	2.7292e-19	2.08469e-13	2.75099e-10	2.31273e-10	2.02101e-06	0.040201	0.959304	0.000493447	2.99921e-08	1.4349e-12	6.47378e-15	4.75464e-18	1.44525e-20	2.00322e-25	2.21399e-29	2.1316e-34	8.13157e-40	3.96235e-43	1.38047e-41	1.893e-42	4.7793e-44	6.44261e-45	3.47852e-48	2.79593e-48	
N31	1.63206e-42	6.9279e-38	6.02047e-31	9.22782e-27	9.39776e-21	1.92765e-18	2.20987e-13	6.91091e-10	7.56988e-09	2.01301e-06	0.0352541	0.96389	0.00085369	8.33419e-08	4.15066e-11	8.14836e-13	9.31797e-16	2.99018e-18	4.80958e-23	8.15244e-27	1.12298e-31	2.1674e-36	1.18818e-39	2.41761e-39	4.68406e-38	2.43266e-39	5.95251e-40	5.45653e-43	1.49371e-44	
N32	6.63994e-46	4.35358e-40	1.47319e-32	3.44028e-28	9.43486e-22	1.15077e-19	3.12255e-15	1.08515e-09	8.73683e-09	9.4647e-08	0.00165596	0.994163	0.00417968	1.41324e-06	2.59459e-09	2.95378e-11	1.31649e-14	4.17752e-18	1.69427e-23	8.73818e-28	1.73305e-31	1.01126e-33	3.58442e-35	1.23395e-35	1.04194e-37	1.5955e-39	4.86242e-41	1.44964e-44	1.75851e-46	
N33	4.60689e-37	6.49311e-33	4.78222e-29	2.10314e-27	4.31987e-21	7.76958e-20	1.3662e-14	7.72551e-10	3.11292e-10	1.57597e-08	0.000521277	0.997564	0.00191415	2.951e-07	5.11876e-11	1.84385e-13	2.43346e-16	3.46675e-18	1.66373e-22	9.00896e-26	2.8324e-30	5.69845e-35	1.96857e-38	2.23559e-41	2.97857e-45	1.55181e-48	8.37346e-51	9.45696e-56	6.21324e-57	
N34	8.9311e-44	1.18129e-36	3.93605e-30	1.36441e-26	1.4594e-20	9.84122e-20	1.07787e-14	5.04891e-10	1.91353e-10	1.41241e-08	0.000369172	0.998617	0.00101369	1.49529e-07	1.25852e-11	9.50442e-14	3.14303e-16	3.42461e-18	1.23433e-22	3.05092e-26	9.69438e-31	1.13688e-35	1.60724e-39	3.89731e-42	1.54386e-45	9.22008e-49	2.11153e-51	1.65807e-56	2.04161e-60	
FGA456	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FGA513	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
F12278	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N35	7.69047e-42	8.50572e-35	2.53521e-28	1.14223e-23	4.42037e-19	5.84979e-16	2.5682e-13	7.23547e-09	1.07544e-06	1.06047e-05	0.000573086	0.843866	0.151805	0.00374239	2.26405e-06	6.53176e-08	3.91275e-10	6.77989e-12	4.36591e-16	1.42983e-19	7.63219e-24	2.15732e-28	1.27125e-31	7.975e-34	5.32935e-37	6.43632e-40	2.9852e-42	6.36709e-47	1.77963e-50	
Furant	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FGA331	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FGA465	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N36	3.055e-43	4.75895e-36	1.95896e-29	2.6116e-25	8.78733e-20	4.67379e-17	9.86922e-12	6.09085e-10	2.54698e-09	4.04501e-05	0.247081	0.752526	0.000352302	3.433e-08	3.19991e-12	2.09215e-14	5.03014e-17	3.24333e-19	9.85905e-24	1.42761e-27	3.62053e-32	4.05731e-37	8.796e-40	4.8292e-38	5.75691e-39	4.23711e-40	1.08605e-40	1.68326e-43	3.26665e-45	
FGA99	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
