NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	2.88044e-52	8.64963e-49	2.31791e-45	5.14e-42	9.34144e-39	1.38414e-35	1.67345e-32	1.65144e-29	1.31454e-26	8.37455e-24	3.95522e-21	1.24085e-18	2.38693e-16	2.53062e-14	1.26998e-12	0.0800406	0.409335	0.510625	5.51711e-11	6.7842e-12	3.63623e-13	1.01808e-14	1.68594e-16	1.80229e-18	1.32579e-20	7.04265e-23	2.80457e-25	8.62605e-28	2.19741e-30	
N2	2.00365e-52	2.11397e-48	2.42831e-44	2.39048e-40	2.04056e-36	1.50304e-32	9.25558e-29	4.53914e-25	1.68471e-21	4.51595e-18	8.32601e-15	9.96937e-12	7.21947e-09	2.85785e-06	0.000527808	0.0337427	0.28485	0.547955	0.126179	0.00662086	0.000120244	9.6854e-07	4.05179e-09	9.80756e-12	1.48507e-14	1.50562e-17	6.65049e-20	1.98458e-20	4.40191e-21	
N3	1.81137e-59	6.87808e-55	2.21218e-50	5.1239e-46	8.32261e-42	9.34044e-38	7.38942e-34	4.34392e-30	1.71789e-26	6.56493e-23	4.73718e-19	2.18804e-15	5.82751e-12	8.06005e-09	4.99024e-06	0.001109	0.0631746	0.576001	0.33526	0.0240454	0.00040287	2.29675e-06	5.62831e-09	6.92667e-12	4.77726e-15	2.00199e-18	5.42579e-22	1.04248e-25	4.93103e-29	
N4	3.30971e-62	2.18527e-57	1.32219e-52	6.19975e-48	2.21582e-43	5.9678e-39	1.20623e-34	1.82636e-30	2.06721e-26	1.80834e-22	1.1024e-18	4.19076e-15	9.22374e-12	1.066e-08	5.64577e-06	0.00112226	0.0613182	0.551168	0.354558	0.0311485	0.00067395	5.0797e-06	1.6597e-08	2.72564e-11	2.50088e-14	1.38728e-17	4.95494e-21	3.35009e-24	2.60548e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	6.42119e-55	1.00119e-50	1.66635e-46	2.31429e-42	2.61783e-38	2.35942e-34	1.6574e-30	8.86256e-27	3.51269e-23	1.00017e-19	1.9692e-16	2.55598e-13	2.05683e-10	9.45538e-08	2.21637e-05	0.00224225	0.0752469	0.530589	0.351895	0.0387527	0.00123622	1.56678e-05	9.57945e-08	3.21569e-10	6.49566e-13	8.45137e-16	7.47081e-19	7.92162e-22	8.6201e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	1.72304e-62	9.34489e-58	4.60204e-53	1.81095e-48	5.62873e-44	1.33532e-39	2.26841e-35	2.50214e-31	1.42323e-27	2.56273e-25	2.16823e-21	1.75257e-17	8.5771e-14	2.32343e-10	3.07094e-07	0.000163712	0.0256505	0.636395	0.323741	0.013917	0.00013144	4.22818e-07	5.94091e-10	4.27267e-13	1.75424e-16	4.45093e-20	7.41128e-24	8.70251e-28	2.9203e-31	
N7	8.41329e-56	6.85629e-52	5.3602e-48	3.32982e-44	1.75596e-40	8.99755e-37	5.15125e-33	3.26528e-29	1.94943e-25	9.39273e-22	3.28493e-18	7.72128e-15	1.14872e-11	9.98683e-09	4.5315e-06	0.000903659	0.0591786	0.701648	0.227042	0.0110636	0.000158675	9.3436e-07	2.74291e-09	4.55313e-12	4.66674e-15	3.15097e-18	1.47295e-21	5.01476e-25	2.51063e-28	
