NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.26236e-51	3.7131e-48	9.69432e-45	2.09248e-41	3.70218e-38	5.34468e-35	6.29262e-32	6.01554e-29	4.58647e-26	2.74406e-23	1.19052e-20	3.38466e-18	5.79905e-16	5.34534e-14	2.25462e-12	0.113921	0.445374	0.440705	3.73359e-11	3.6418e-12	1.57277e-13	3.5944e-15	4.90805e-17	4.36054e-19	2.68262e-21	1.1978e-23	4.02606e-26	1.04877e-28	2.26818e-31	
N2	1.92277e-52	2.14856e-48	2.58656e-44	2.67827e-40	2.40384e-36	1.85105e-32	1.18184e-28	5.96672e-25	2.26918e-21	6.21377e-18	1.16742e-14	1.42108e-11	1.04281e-08	4.16176e-06	0.000767833	0.0479345	0.328486	0.516689	0.101445	0.00459956	7.28682e-05	5.15163e-07	1.89962e-09	4.06978e-12	5.58114e-15	1.00399e-17	1.41826e-19	6.13261e-21	1.19328e-21	
N3	1.8461e-59	7.22571e-55	2.37762e-50	5.63688e-46	9.39067e-42	1.08673e-37	8.95606e-34	5.54214e-30	2.3366e-26	1.03133e-22	7.55174e-19	3.49246e-15	9.25223e-12	1.25995e-08	7.55099e-06	0.00157526	0.0797279	0.621412	0.281032	0.0160259	0.000217748	1.02172e-06	2.08376e-09	2.15248e-12	1.25444e-15	4.46649e-19	1.03431e-22	1.72398e-26	8.10001e-30	
N4	3.7921e-62	2.58586e-57	1.60243e-52	7.70156e-48	2.82557e-43	7.82821e-39	1.63087e-34	2.54601e-30	2.96404e-26	2.63566e-22	1.61441e-18	6.13886e-15	1.3438e-11	1.53193e-08	7.9037e-06	0.00149991	0.0756087	0.595444	0.305298	0.0217515	0.000387192	2.42602e-06	6.64122e-09	9.19415e-12	7.14699e-15	3.37726e-18	1.22649e-21	1.38058e-24	7.1753e-26	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	6.43117e-55	1.04306e-50	1.77881e-46	2.5273e-42	2.92098e-38	2.68702e-34	1.92446e-30	1.04798e-26	4.22428e-23	1.22119e-19	2.43598e-16	3.19458e-13	2.58758e-10	1.19097e-07	2.77285e-05	0.0027505	0.0884086	0.568301	0.310972	0.0287497	0.000781604	8.52642e-06	4.51796e-08	1.32096e-10	2.33297e-13	2.66321e-16	2.21606e-19	3.61058e-22	3.36993e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	1.46291e-62	8.63946e-58	4.53054e-53	1.87664e-48	6.07614e-44	1.48714e-39	2.58572e-35	2.90269e-31	1.66582e-27	3.10353e-25	2.91758e-21	2.38011e-17	1.16581e-13	3.13271e-10	4.06446e-07	0.000209609	0.031007	0.692755	0.266883	0.0090746	6.97357e-05	1.85895e-07	2.19133e-10	1.33295e-13	4.65011e-17	1.004e-20	1.42289e-24	1.44812e-28	5.66686e-32	
N7	5.85959e-56	4.99521e-52	4.03739e-48	2.59788e-44	1.42528e-40	7.63738e-37	4.57172e-33	3.00639e-29	1.84672e-25	9.11044e-22	3.25393e-18	7.80042e-15	1.18169e-11	1.0439e-08	4.79833e-06	0.000964491	0.0630494	0.727421	0.200059	0.00839615	0.000104849	5.41328e-07	1.39988e-09	2.05395e-12	1.86546e-15	1.11829e-18	4.65156e-22	1.42314e-25	7.669e-29	
