NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	4.56554e-26	2.19913e-23	3.53654e-21	2.38544e-19	2.41375e-18	3.03251e-17	5.15057e-16	5.04043e-15	1.548e-14	2.35241e-14	3.96109e-14	9.29168e-14	3.95731e-13	2.31368e-12	1.1334e-11	3.7411e-11	7.73024e-11	1	8.42653e-11	4.8607e-11	2.01125e-11	6.21663e-12	1.48532e-12	2.82314e-13	4.37305e-14	5.63445e-15	6.14462e-16	5.75707e-17	4.69434e-18	3.36891e-19	2.1489e-20	1.2289e-21	6.34924e-23	2.98402e-24	1.28355e-25	5.08092e-27	1.86019e-28	6.32778e-30	2.01065e-31	6.10026e-33	2.44361e-34	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	7.25004e-35	3.84798e-29	7.97742e-25	7.05256e-21	4.69328e-18	5.25508e-16	4.85508e-14	3.28568e-11	4.51596e-09	7.80689e-08	1.19473e-06	7.97641e-06	1.72485e-05	0.000231507	0.0124361	0.196356	0.49983	0.260837	0.0293038	0.000965679	1.25161e-05	7.92833e-08	3.09097e-10	1.26972e-12	6.37747e-15	3.34612e-17	1.38404e-19	3.09731e-22	5.46695e-25	9.39306e-28	1.15334e-30	2.42122e-33	3.32766e-36	6.24599e-39	6.36851e-42	7.57077e-45	4.92058e-48	3.5291e-51	1.568e-54	8.79696e-58	5.22125e-61	
N3	5.84611e-34	4.66739e-29	4.83403e-25	2.20275e-21	8.50561e-19	1.7008e-16	3.71931e-14	2.3012e-11	3.28618e-09	2.37466e-08	9.87926e-08	9.0486e-07	6.41305e-06	9.38807e-05	0.00472363	0.0986102	0.418639	0.391002	0.0814072	0.00530485	0.00019156	1.82766e-05	2.46295e-06	4.86232e-07	1.32161e-08	5.29759e-10	1.20125e-11	2.81853e-13	4.90274e-15	5.85304e-16	5.01161e-18	4.01205e-19	1.61658e-21	5.89273e-23	1.55165e-25	2.65484e-27	5.15049e-30	4.80548e-32	7.46107e-35	5.37101e-37	9.33548e-39	
N4	4.5779e-38	4.11111e-32	9.89736e-28	1.7238e-23	5.37311e-21	1.15157e-18	4.66097e-17	2.41015e-13	1.90324e-10	2.30545e-10	6.59372e-10	4.25528e-08	8.12869e-08	1.56173e-07	3.84925e-05	0.00521688	0.151573	0.633821	0.198555	0.0106218	0.000172339	1.40988e-06	1.28986e-08	1.95326e-10	1.15317e-12	5.84948e-15	2.16268e-17	4.5295e-20	8.81556e-23	3.49774e-25	5.23313e-28	1.79803e-30	1.63866e-33	3.20144e-36	1.79446e-39	1.98658e-42	7.4533e-46	5.13592e-49	1.40311e-52	7.61821e-56	4.38789e-59	
N5	2.93224e-40	1.86083e-34	5.3231e-30	1.41899e-25	8.10971e-23	2.46187e-20	7.65609e-18	1.53744e-14	2.82828e-12	6.67462e-12	3.37047e-11	7.81342e-10	3.27941e-09	1.09514e-07	3.41224e-05	0.00459092	0.140676	0.613592	0.225755	0.0150473	0.000301586	2.53409e-06	1.45924e-08	9.58131e-10	4.65195e-11	1.1384e-12	4.09007e-14	1.50016e-16	1.14736e-18	4.93652e-21	1.0314e-23	4.33442e-25	1.19176e-27	4.66403e-29	5.63414e-32	1.24816e-33	7.24005e-37	5.7684e-39	2.39569e-42	8.6329e-45	7.57784e-48	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.9017e-38	6.88312e-33	8.8021e-29	4.70618e-25	1.64811e-22	3.61517e-20	9.9004e-18	4.24069e-15	3.3501e-13	1.94052e-12	1.80284e-11	5.21888e-10	9.52563e-09	5.59692e-07	8.7114e-05	0.00671142	0.14744	0.580407	0.242791	0.0218732	0.000679409	9.6278e-06	8.54292e-08	6.57734e-09	7.47472e-10	4.23679e-11	3.85056e-12	3.9332e-14	7.53642e-16	7.96637e-18	3.69948e-20	2.88515e-21	2.83866e-23	2.87207e-24	1.28206e-26	7.85147e-28	1.63875e-30	3.92118e-32	5.87711e-35	6.44913e-37	2.03662e-39	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
