NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	4.33158e-21	4.68446e-20	6.83455e-19	7.85506e-18	4.71886e-17	3.53632e-16	3.04123e-15	1.80835e-14	4.85956e-14	4.96835e-14	2.97377e-14	3.41487e-14	1.45912e-13	9.37824e-13	5.37487e-12	2.20892e-11	5.92826e-11	1	1.07269e-10	7.60173e-11	3.71617e-11	1.30448e-11	3.40516e-12	6.81056e-13	1.07059e-13	1.35171e-14	1.39644e-15	1.19946e-16	8.68531e-18	5.36626e-19	2.85923e-20	1.32613e-21	5.39875e-23	1.94356e-24	6.22863e-26	1.78768e-27	4.62016e-29	1.08056e-30	2.29761e-32	4.47208e-34	9.16294e-36	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	2.88702e-29	1.39862e-25	3.23554e-22	7.13311e-19	5.53021e-17	5.52386e-16	6.35009e-13	3.97051e-10	4.96344e-08	1.09039e-07	2.37943e-08	9.43177e-09	1.99062e-07	4.44883e-05	0.00423897	0.110437	0.473398	0.360972	0.0492819	0.00160936	1.75701e-05	8.11414e-08	1.86442e-10	2.60547e-13	3.22862e-16	2.13433e-18	6.69397e-21	4.98204e-23	1.01909e-25	4.24758e-28	5.84627e-31	1.4132e-33	1.31987e-36	1.83212e-39	1.04279e-42	7.65918e-46	2.00656e-49	7.81495e-53	1.17157e-56	3.7387e-60	8.12742e-64	
N3	9.99502e-28	9.9024e-25	8.64554e-22	5.30634e-19	6.80871e-17	3.14547e-15	7.51166e-13	9.9987e-11	3.60975e-09	9.32984e-09	1.26623e-08	1.79671e-08	1.33082e-07	1.73187e-05	0.00159113	0.0505627	0.347794	0.472707	0.119485	0.00766501	0.000175461	1.80655e-06	1.10122e-08	1.59766e-09	8.34131e-11	3.90579e-11	1.10156e-12	2.69956e-13	3.80079e-15	5.34013e-16	3.15833e-18	2.68137e-19	5.45553e-22	2.48545e-23	2.4277e-26	5.18617e-28	3.11969e-31	3.32236e-33	1.35583e-36	9.64177e-39	6.36012e-41	
N4	4.45008e-33	3.41115e-29	1.03467e-25	4.00906e-22	5.66816e-20	1.32543e-19	3.28914e-16	6.99882e-13	4.38821e-10	7.92689e-10	9.73135e-11	4.65188e-12	1.66993e-11	1.69332e-08	9.34118e-06	0.00181963	0.0882095	0.636612	0.259344	0.0138248	0.000179258	8.12946e-07	1.63704e-09	3.59117e-12	1.44717e-14	3.20282e-16	1.10424e-18	1.22244e-20	2.33385e-23	1.31384e-25	1.35983e-28	4.11801e-31	2.05248e-34	3.49575e-37	8.41328e-41	7.96004e-44	1.06595e-47	5.86678e-51	4.89561e-55	1.91791e-58	3.88439e-62	
N5	1.50122e-34	9.03265e-31	3.2952e-27	1.08809e-23	3.10256e-21	1.25239e-19	1.43876e-16	9.28718e-14	1.10031e-11	1.46992e-11	1.66648e-12	4.77955e-13	2.15588e-11	1.82524e-08	9.14458e-06	0.0017005	0.0831148	0.61317	0.283302	0.0184024	0.000299931	1.72405e-06	4.3372e-09	5.65166e-12	5.12232e-15	2.69955e-16	3.29999e-18	5.87324e-19	4.1019e-21	3.94026e-22	1.46125e-24	8.22032e-26	1.3676e-28	4.83421e-30	2.84382e-33	6.23919e-35	1.11819e-38	1.01723e-40	1.04142e-44	3.97759e-47	9.6222e-51	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.39863e-31	1.4979e-28	1.42608e-25	8.37708e-23	1.01682e-20	1.26944e-18	3.20214e-16	3.98303e-14	1.15541e-12	2.26237e-12	4.86378e-12	1.53611e-11	4.2357e-10	1.3147e-07	3.0255e-05	0.00299956	0.0951401	0.585157	0.291429	0.0246236	0.0006133	6.13812e-06	2.98687e-08	8.04289e-11	1.38291e-13	6.20646e-15	1.82959e-16	7.7318e-17	1.5012e-18	3.65066e-19	4.39918e-21	6.48754e-22	4.1323e-24	3.91834e-25	9.56329e-28	5.92435e-29	4.23754e-32	1.2024e-33	4.82618e-37	5.86079e-39	5.22973e-42	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
