NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.63114e-16	7.61722e-15	2.36519e-13	2.77867e-12	3.54761e-11	1.03454e-10	6.43178e-10	3.7437e-09	3.00361e-09	3.0645e-09	1.80463e-08	7.90131e-08	6.59554e-08	2.10362e-08	4.39421e-09	1.21478e-09	4.10175e-10	1	1.49704e-11	1.45519e-12	1.00098e-13	5.24558e-15	2.20712e-16	7.68076e-18	2.23784e-19	5.47973e-21	1.13056e-22	1.97362e-24	2.93328e-26	3.73916e-28	4.12041e-30	3.95596e-32	3.33394e-34	2.48369e-36	1.64618e-38	9.76516e-41	5.21272e-43	2.51653e-45	1.10399e-47	4.43027e-50	1.7862e-52	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	5.85458e-28	2.52051e-24	8.53849e-21	5.95839e-19	2.76753e-15	1.28581e-14	3.80284e-11	6.28917e-08	2.7416e-08	4.55976e-07	0.00134096	0.662809	0.30591	0.0185178	0.00158508	0.00391917	0.00472312	0.00118836	6.00075e-06	5.74563e-09	2.08171e-12	1.06061e-15	1.84128e-18	4.41485e-21	3.97129e-24	2.46258e-27	1.22273e-30	9.25255e-35	8.09864e-39	4.28321e-43	2.03388e-47	7.03694e-50	6.78832e-52	1.83482e-53	1.6679e-54	1.55446e-55	2.43482e-57	3.66857e-59	8.3736e-61	9.45171e-63	1.1444e-64	
N3	1.07734e-28	6.00144e-25	2.90253e-21	1.82505e-18	3.80149e-15	1.38275e-13	8.17536e-11	4.05945e-08	1.98496e-07	4.33752e-06	0.00276041	0.332538	0.11381	0.00421378	0.000300217	0.00155414	0.0092509	0.406082	0.11403	0.0145743	0.000876692	5.35503e-06	9.49827e-08	5.10488e-10	5.21554e-13	3.70066e-15	1.29764e-16	2.37484e-19	1.02004e-21	6.80444e-24	1.11143e-26	2.79214e-29	2.22633e-32	1.94065e-35	3.28576e-38	3.48934e-41	2.88902e-45	2.46921e-48	4.74015e-51	1.27308e-53	5.91669e-56	
N4	1.60468e-33	9.18236e-29	3.64114e-24	1.7268e-21	4.94144e-17	2.06874e-16	8.95291e-13	2.99869e-09	8.03594e-10	4.64717e-09	1.96071e-05	0.00844805	0.000444564	9.52419e-07	2.90459e-08	8.64877e-06	0.00447273	0.909815	0.075782	0.00100448	3.48787e-06	2.15455e-09	1.80208e-12	1.65566e-15	9.95371e-19	9.90016e-22	1.59088e-24	2.4384e-28	6.23903e-32	1.58428e-35	9.50341e-40	1.93646e-43	2.41359e-44	1.05786e-46	1.49463e-48	3.81155e-49	5.53216e-50	9.39288e-52	3.46757e-53	9.83714e-55	3.42739e-56	
N5	5.88576e-34	1.93786e-29	4.57005e-25	5.21256e-22	5.15176e-18	1.82516e-16	2.7446e-13	1.96257e-10	2.0153e-10	4.97566e-09	1.07511e-05	0.00274394	0.000135	2.99993e-07	8.41906e-09	7.50382e-06	0.00714354	0.91319	0.0760837	0.000684216	1.34176e-06	7.41999e-10	8.46229e-13	5.75298e-14	1.45018e-15	7.26596e-18	1.74301e-19	3.70162e-23	3.96752e-26	9.80725e-30	4.10392e-34	1.9793e-37	1.82025e-39	6.00187e-42	3.98733e-43	2.45696e-42	4.9282e-42	2.78778e-43	4.15131e-44	1.02517e-44	6.2431e-46	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.27292e-31	1.4973e-27	7.8197e-24	6.27958e-21	1.26401e-17	6.24734e-16	3.64972e-13	1.59053e-10	8.65721e-10	2.28534e-08	1.4562e-05	0.00149851	8.18515e-05	3.53263e-07	6.45979e-08	3.62951e-05	0.0149403	0.901859	0.0807489	0.000818291	2.12378e-06	2.21727e-09	1.35768e-11	4.25625e-12	3.62201e-13	5.76642e-15	3.97899e-16	2.65881e-19	9.36622e-22	5.33321e-25	6.16812e-29	7.09375e-32	1.08044e-35	1.95662e-39	6.94518e-42	2.80991e-43	1.8639e-45	2.74721e-48	1.27806e-50	8.34816e-53	1.26797e-55	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	6.85356e-36	4.14845e-31	1.69423e-26	8.31206e-24	2.34462e-19	6.66984e-19	4.02011e-15	2.00658e-11	4.55749e-12	4.88758e-11	3.34843e-07	0.000254686	2.50782e-06	1.41058e-09	1.26824e-10	8.08093e-07	0.00241788	0.976238	0.0210412	4.49995e-05	2.30889e-08	4.40925e-12	2.18364e-15	2.18752e-17	7.27553e-20	9.25616e-23	2.18498e-25	1.9217e-29	4.11526e-33	2.89538e-37	4.57667e-42	3.9315e-46	2.31801e-46	5.94626e-49	1.90304e-50	7.7076e-50	1.26243e-48	2.98422e-50	2.12073e-51	1.12699e-52	3.22008e-54	
