NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	2.23286e-17	8.56961e-16	3.60333e-14	5.24218e-13	8.8182e-12	2.86114e-11	2.09671e-10	1.56811e-09	1.37037e-09	1.34077e-09	9.24563e-09	5.14311e-08	4.86661e-08	1.68212e-08	3.54764e-09	9.69018e-10	3.61758e-10	1	1.65402e-11	1.74198e-12	1.28276e-13	7.14598e-15	3.18667e-16	1.17542e-17	3.63598e-19	9.4719e-21	2.08449e-22	3.91697e-24	7.2053e-26	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N2	2.04829e-29	1.39753e-25	7.86094e-22	8.62407e-20	9.54631e-16	4.74249e-15	1.7548e-11	4.19371e-08	1.77417e-08	2.22031e-07	0.000920772	0.65789	0.313785	0.0183519	0.00111975	0.00280602	0.00395712	0.00116374	5.61907e-06	4.9112e-09	1.64076e-12	9.99526e-16	1.85437e-18	4.16375e-21	3.39596e-24	1.86711e-27	7.81578e-31	5.04333e-35	2.90937e-37	
N3	9.85971e-30	8.23956e-26	5.74581e-22	4.40172e-19	1.24876e-15	4.7691e-14	3.37313e-11	2.31297e-08	1.23786e-07	2.29924e-06	0.00183272	0.289991	0.104936	0.00390548	0.000189525	0.000946276	0.0072818	0.439976	0.131409	0.0183858	0.00113628	7.00868e-06	1.34716e-07	7.32726e-10	7.51037e-13	5.95425e-15	2.31294e-16	4.99326e-19	1.09919e-20	
N4	1.09137e-34	9.3934e-30	5.48629e-25	2.98504e-22	1.22809e-17	5.02609e-17	2.45989e-13	1.21149e-09	3.53757e-10	1.39988e-09	8.44698e-06	0.00541618	0.000317051	6.47644e-07	9.42953e-09	3.44644e-06	0.0029416	0.903725	0.0863289	0.0012542	4.50036e-06	2.73606e-09	2.26621e-12	2.13535e-15	1.54466e-18	1.69384e-21	2.79556e-24	5.09268e-28	2.89983e-31	
N5	9.1213e-35	1.17017e-30	4.00635e-26	5.44447e-23	7.99808e-19	2.75844e-17	4.94702e-14	5.17986e-11	6.18959e-11	1.21447e-09	3.70873e-06	0.00139751	7.5634e-05	1.60035e-07	2.80026e-09	3.27994e-06	0.00481853	0.907417	0.085449	0.000833648	1.68685e-06	9.04951e-10	8.45895e-13	6.607e-14	1.97287e-15	1.10553e-17	2.90102e-19	6.62191e-23	1.08313e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	9.74379e-33	8.77482e-29	6.3071e-25	6.08863e-22	1.70671e-18	8.94603e-17	6.66785e-14	4.28084e-11	2.61479e-10	6.09742e-09	4.99505e-06	0.000691597	4.04858e-05	1.68093e-07	3.19679e-08	1.9852e-05	0.0110809	0.899352	0.0878912	0.000916976	2.35453e-06	2.35179e-09	1.36373e-11	4.63551e-12	4.29853e-13	7.55929e-15	5.62703e-16	3.99284e-19	2.08239e-21	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
