NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	9.10444e-33	5.5258e-31	4.34085e-29	3.0377e-27	1.85444e-25	9.78011e-24	4.4092e-22	1.67895e-20	5.32554e-19	1.3847e-17	2.89626e-16	4.76609e-15	6.00988e-14	5.62696e-13	3.76875e-12	1.73023e-11	5.21253e-11	1	1.23038e-10	1.00454e-10	5.67068e-11	2.30139e-11	6.94973e-12	1.60844e-12	2.92588e-13	4.27483e-14	5.11497e-15	5.15572e-16	5.38496e-17	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N2	4.55966e-53	1.28794e-48	3.41856e-44	7.1307e-40	1.14738e-35	1.39492e-31	1.25014e-27	8.01792e-24	3.54931e-20	1.03684e-16	1.88853e-13	1.993e-10	1.10555e-07	2.82217e-05	0.00274803	0.0774718	0.428995	0.413351	0.0741768	0.00318323	4.51116e-05	2.66796e-07	7.741e-10	1.23615e-12	1.18242e-15	7.22561e-19	2.96655e-22	8.52951e-26	2.00041e-29	
N3	4.70345e-50	5.40194e-46	6.37499e-42	6.06587e-38	4.57264e-34	2.68311e-30	1.20042e-26	3.99571e-23	9.60704e-20	1.60922e-16	1.79492e-13	1.25817e-10	5.13383e-08	1.0972e-05	0.00105322	0.0357828	0.298201	0.492968	0.158746	0.0128658	0.000367364	4.62346e-06	2.98157e-08	1.0958e-10	2.48269e-13	3.68191e-16	3.74712e-19	2.72706e-22	1.71491e-25	
N4	2.31872e-63	1.97248e-58	1.51301e-53	9.26094e-49	4.45285e-44	1.65177e-39	4.62793e-35	9.55076e-31	1.4086e-26	1.431e-22	9.56527e-19	3.96909e-15	9.47571e-12	1.17461e-08	6.54419e-06	0.00132447	0.0701409	0.584582	0.320717	0.0228381	0.000388742	2.27275e-06	5.7291e-09	7.25307e-12	5.13877e-15	2.20762e-18	6.11548e-22	1.14699e-25	1.66139e-29	
N5	1.41897e-62	1.04576e-57	7.15255e-53	3.89328e-48	1.65967e-43	5.44263e-39	1.34452e-34	2.44068e-30	3.16023e-26	2.81496e-22	1.64941e-18	6.00803e-15	1.2643e-11	1.39342e-08	7.01515e-06	0.00131982	0.0677629	0.562757	0.338967	0.028585	0.000597365	4.35324e-06	1.37457e-08	2.17959e-11	1.92905e-14	1.03122e-17	3.53876e-21	8.18923e-25	1.48579e-28	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	7.67306e-55	1.32172e-50	2.29116e-46	3.23287e-42	3.66e-38	3.27306e-34	2.27041e-30	1.19571e-26	4.66036e-23	1.30332e-19	2.51758e-16	3.20198e-13	2.52065e-10	1.13102e-07	2.57935e-05	0.00252608	0.0813615	0.541836	0.337716	0.0354407	0.00108104	1.31119e-05	7.67325e-08	2.46529e-10	4.76563e-13	5.93295e-16	5.0123e-19	2.99911e-22	1.52101e-25	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N7	4.68754e-68	6.29823e-63	7.58994e-58	7.36812e-53	5.68242e-48	3.42607e-43	1.58479e-38	5.50026e-34	1.39452e-29	2.50014e-25	3.04436e-21	2.39234e-17	1.13509e-13	2.97202e-10	3.78084e-07	0.000192767	0.0285935	0.660316	0.298944	0.0118486	0.000104622	3.16769e-07	4.20514e-10	2.86415e-13	1.11544e-16	2.68753e-20	4.25227e-24	4.62975e-28	3.9109e-32	
N8	6.05642e-59	1.77488e-54	4.94698e-50	1.13426e-45	2.11088e-41	3.14044e-37	3.66976e-33	3.29936e-29	2.22693e-25	1.09548e-21	3.78704e-18	8.78777e-15	1.28979e-11	1.10523e-08	4.93661e-06	0.000967118	0.0619895	0.712847	0.214268	0.00978972	0.000132392	7.37495e-07	2.05233e-09	3.23412e-12	3.15008e-15	2.02282e-18	8.99747e-22	2.88323e-25	7.63227e-29	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N9	1.00253e-60	2.77357e-57	7.04118e-54	1.53802e-50	2.70514e-47	1.94193e-44	4.06166e-42	4.83908e-40	3.04548e-35	3.40174e-30	2.44416e-25	1.07062e-20	2.65849e-16	3.37765e-12	1.88784e-08	3.66061e-05	0.0162842	0.701212	0.276112	0.00633038	2.39354e-05	2.53561e-08	1.01996e-11	1.88891e-15	1.83568e-19	1.02755e-23	3.54864e-28	7.96488e-33	1.27729e-37	
N10	3.30489e-62	1.03859e-58	3.03253e-55	7.62456e-52	1.49441e-48	1.012e-45	1.6619e-43	2.44607e-39	2.89419e-34	2.30432e-29	1.1874e-24	3.77049e-20	6.89686e-16	6.60409e-12	2.87185e-08	4.52761e-05	0.0174242	0.706468	0.269905	0.00613308	2.42141e-05	2.82236e-08	1.30558e-11	2.88269e-15	3.43875e-19	2.41824e-23	1.06836e-27	3.11051e-32	1.4355e-36	
N11	4.96021e-62	2.35765e-57	1.05125e-52	3.82438e-48	1.12065e-43	2.60656e-39	4.73057e-35	6.5646e-31	6.79864e-27	5.10224e-23	2.67541e-19	9.35984e-16	2.05724e-12	2.61904e-09	1.7205e-06	0.000488893	0.0445031	0.699282	0.246159	0.00946755	9.75817e-05	3.9551e-07	7.79526e-10	8.54625e-13	5.71684e-16	2.49581e-19	7.4838e-23	1.60471e-26	2.80638e-30	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	1.77408e-63	1.02018e-58	5.41665e-54	2.35752e-49	8.30348e-45	2.33198e-40	5.13297e-36	8.6771e-32	1.09955e-27	1.01422e-23	6.56675e-20	2.85051e-16	7.81369e-13	1.24723e-09	1.03261e-06	0.000371043	0.0424818	0.796459	0.156582	0.00407495	3.01327e-05	9.03294e-08	1.34289e-10	1.12629e-13	5.82638e-17	1.98429e-20	4.6756e-24	7.92691e-28	1.08803e-31	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N13	1.11749e-61	4.9559e-57	2.04797e-52	6.93782e-48	1.90205e-43	4.15815e-39	7.12496e-35	9.37682e-31	9.25129e-27	6.64465e-23	3.35056e-19	1.13299e-15	2.42032e-12	3.01289e-09	1.94791e-06	0.000548128	0.0495088	0.75359	0.189913	0.00637708	6.08822e-05	2.35601e-07	4.5201e-10	4.89071e-13	3.26281e-16	1.43266e-19	4.35121e-23	9.50673e-27	1.69236e-30	
