NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.08793e-30	2.01714e-27	1.09113e-24	2.29812e-22	2.97307e-20	2.64987e-19	9.1806e-19	9.00878e-17	4.58538e-15	1.5539e-14	2.76339e-14	9.21224e-14	8.60122e-14	2.941e-14	1.44478e-13	4.35727e-12	4.73228e-11	1	5.57186e-11	9.48277e-12	6.57464e-13	2.28606e-14	4.581e-16	5.82428e-18	5.03578e-20	3.11898e-22	1.44059e-24	5.1227e-27	1.43915e-29	3.26304e-32	6.07845e-35	9.44473e-38	1.24007e-40	1.39136e-43	1.3472e-46	1.13543e-49	8.39348e-53	5.47933e-56	3.17801e-59	1.64666e-62	7.79277e-66	
N2	1.32663e-32	6.50058e-30	3.11104e-27	8.54946e-25	8.26781e-23	1.66616e-21	5.87023e-20	9.91996e-18	2.55362e-15	1.50367e-13	2.34247e-12	8.52361e-11	2.95976e-09	4.82781e-08	2.32622e-06	0.000395167	0.0337077	0.7222	0.229778	0.0136542	0.000259253	2.30989e-06	1.23882e-07	1.23619e-07	3.82108e-08	5.259e-09	1.03817e-09	3.78628e-12	4.19923e-14	1.62603e-16	9.76403e-19	1.99648e-19	3.20676e-21	4.19134e-22	4.77065e-24	3.14377e-25	2.10245e-28	1.69793e-30	6.28537e-34	4.82574e-36	3.3777e-38	
N3	6.15275e-38	1.2314e-33	1.29599e-29	7.72598e-26	1.03447e-22	7.90566e-21	6.33707e-19	1.96646e-15	2.90807e-12	2.15755e-11	2.0491e-11	1.47994e-09	1.2424e-08	8.38294e-09	2.15345e-07	0.000107007	0.0178086	0.471252	0.466821	0.0431735	0.000832344	5.4928e-06	3.65727e-08	1.13635e-09	1.7159e-11	1.72394e-13	1.2934e-15	1.74931e-18	2.94286e-21	4.2742e-24	4.24891e-27	2.15876e-29	2.63763e-32	8.80495e-35	6.06739e-38	1.07605e-40	2.08703e-44	1.62103e-47	1.75696e-51	9.07379e-55	2.13332e-58	
N4	5.3952e-38	5.29602e-34	3.53919e-30	1.38977e-26	1.23293e-23	1.76407e-21	3.22954e-19	2.92244e-16	8.75935e-14	7.14123e-13	2.05047e-12	5.19492e-11	4.51295e-10	3.35785e-09	5.83442e-07	0.000201446	0.0230033	0.455733	0.468762	0.0510544	0.00123519	1.00098e-05	4.23011e-08	2.30032e-09	2.3143e-10	8.60823e-12	6.57693e-13	3.28436e-15	3.19527e-17	1.04802e-19	7.74579e-23	1.81253e-24	6.20044e-27	2.98789e-28	4.5348e-31	1.42011e-32	4.25957e-36	6.78527e-38	9.11225e-42	5.85084e-44	1.87591e-47	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.17634e-34	1.58738e-31	2.15179e-28	1.69957e-25	4.34476e-23	7.17779e-21	1.37194e-18	2.90057e-16	2.66023e-14	3.53034e-13	4.14149e-12	1.28039e-10	2.2593e-09	4.24027e-08	4.83698e-06	0.000691557	0.0379722	0.457389	0.444688	0.0572813	0.00194734	2.5213e-05	1.70058e-07	1.17442e-08	2.14851e-09	1.70934e-10	2.69618e-11	3.74082e-13	8.77125e-15	8.13535e-17	1.65823e-19	7.5645e-21	7.27932e-23	8.58395e-24	4.30286e-26	3.45172e-27	4.07108e-30	1.85736e-31	9.47147e-35	1.85997e-36	2.13877e-39	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.64469e-38	8.85987e-34	6.5332e-30	2.16785e-26	9.14717e-24	1.89707e-21	9.25406e-20	2.17244e-16	2.45493e-13	5.45958e-13	1.11463e-12	2.3124e-10	1.1894e-09	7.31389e-10	4.17169e-08	3.71296e-05	0.0109124	0.533836	0.432057	0.0229157	0.000240739	8.23325e-07	1.41206e-09	1.14604e-11	1.51248e-13	1.31944e-15	1.17207e-17	1.82335e-20	3.52657e-23	3.7548e-26	1.39814e-29	4.56224e-32	4.61935e-35	2.03773e-37	1.23634e-40	3.2373e-43	6.4019e-47	9.33365e-50	8.38944e-54	6.1816e-57	8.51223e-61	
N7	2.47251e-34	6.32059e-31	1.30896e-27	1.65448e-24	3.27219e-22	7.34018e-20	1.36548e-17	1.13338e-14	3.837e-12	1.12597e-11	5.54235e-11	3.37691e-09	9.33951e-09	1.42804e-08	1.62639e-06	0.000436168	0.0405077	0.679109	0.266044	0.0137037	0.000197102	1.14531e-06	4.12245e-09	7.64099e-11	1.99689e-12	3.908e-14	6.80841e-16	2.72512e-18	1.21629e-20	3.17255e-23	3.70057e-26	3.10765e-28	9.50254e-31	9.78641e-33	2.07984e-35	1.2257e-37	9.41417e-41	3.16631e-43	1.10096e-46	1.90269e-49	1.0034e-52	
