NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.02273e-76	6.03041e-52	1.27775e-46	5.63966e-42	9.08298e-38	6.64052e-34	2.45723e-30	4.87498e-27	5.32947e-24	3.22958e-21	1.07156e-18	1.88845e-16	1.68039e-14	7.00003e-13	1.22601e-11	7.79768e-11	1.53887e-10	1	2.60266e-11	3.21943e-12	2.18419e-13	9.07805e-15	2.51266e-16	4.93461e-18	7.22155e-20	8.18526e-22	7.41153e-24	5.49827e-26	3.41244e-28	1.80316e-30	8.23354e-33	3.2904e-35	1.16358e-37	3.6761e-40	1.04633e-42	2.70305e-45	6.3798e-48	1.38379e-50	2.77288e-53	5.15878e-56	9.87631e-59	
N2	5.6248e-80	8.44054e-55	1.08071e-48	2.87808e-43	2.73516e-38	1.14351e-33	2.3424e-29	2.49981e-25	1.43896e-21	4.54175e-18	7.87584e-15	7.42088e-12	3.70682e-09	9.42574e-07	0.0001147	0.00607953	0.120427	0.65741	0.196684	0.0184895	0.000776219	1.75639e-05	2.41852e-07	2.20687e-09	1.42117e-11	6.77834e-14	2.48723e-16	7.2397e-19	1.71408e-21	3.37065e-24	5.60272e-27	7.99072e-30	9.90514e-33	1.0791e-35	1.04332e-38	9.02916e-42	7.04764e-45	4.99549e-48	3.23784e-51	1.9571e-54	1.53762e-57	
N3	1.49784e-87	1.42154e-61	9.1595e-55	1.13267e-48	4.71049e-43	8.19799e-38	6.65864e-33	2.67428e-28	5.46009e-24	5.7037e-20	3.01377e-16	7.82474e-13	9.50706e-10	5.02217e-07	0.000103649	0.00716801	0.133791	0.508047	0.305889	0.0429447	0.00201411	4.05494e-05	4.16669e-07	2.47116e-09	9.25794e-12	2.34587e-14	4.23958e-17	5.70019e-20	5.89979e-23	4.83477e-26	3.21141e-29	1.76363e-32	8.14441e-36	3.20911e-39	1.09266e-42	3.25066e-46	8.53268e-50	1.99334e-53	4.17641e-57	7.91043e-61	1.65356e-64	
N4	9.25692e-86	7.22424e-60	3.91218e-53	4.01806e-47	1.37044e-41	1.92992e-36	1.25038e-31	3.94567e-27	6.23004e-23	4.95147e-19	1.95835e-15	3.74773e-12	3.31384e-09	1.26514e-06	0.000189536	0.00976048	0.144191	0.484461	0.307916	0.0504739	0.00293039	7.54755e-05	1.01007e-06	7.87324e-09	3.89198e-11	1.3024e-13	3.10552e-16	5.49766e-19	7.47191e-22	8.01578e-25	6.94752e-28	4.96203e-31	2.97018e-34	1.51199e-37	6.62961e-41	2.53191e-44	8.5057e-48	2.53553e-51	6.76017e-55	1.63088e-58	4.55308e-62	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.00197e-78	5.20236e-53	6.75925e-47	1.71832e-41	1.50093e-36	5.61988e-32	1.00904e-27	9.24e-24	4.45782e-20	1.14734e-16	1.56981e-13	1.12091e-10	4.03567e-08	6.94549e-06	0.000528565	0.0159136	0.162075	0.454761	0.301079	0.0605346	0.00490107	0.000195457	4.41776e-06	6.25724e-08	5.98291e-10	4.08747e-12	2.086e-14	8.23999e-17	2.59337e-19	6.6608e-22	1.42437e-24	2.57955e-27	4.01433e-30	5.43619e-33	6.47661e-36	6.85399e-39	6.49774e-42	5.55993e-45	4.32348e-48	3.09384e-51	2.82791e-54	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.96747e-90	2.56631e-64	2.27696e-57	3.90725e-51	2.27424e-45	5.59268e-40	6.48743e-35	3.76594e-30	1.12648e-25	1.75064e-21	1.40038e-17	5.61437e-14	1.07705e-10	9.20207e-08	3.14318e-05	0.0036417	0.110354	0.567717	0.290435	0.0270378	0.000774425	9.28852e-06	5.66644e-08	2.00491e-10	4.51767e-13	6.94882e-16	7.69478e-19	6.3967e-22	4.12872e-25	2.12689e-28	8.94719e-32	3.13337e-35	9.28628e-39	2.36208e-42	5.21997e-46	1.01295e-49	1.74229e-53	2.67827e-57	3.70665e-61	4.65307e-65	6.37582e-69	
N7	1.75979e-82	5.55493e-57	1.24921e-50	5.5434e-45	8.52831e-40	5.67798e-35	1.83123e-30	3.0448e-26	2.69789e-22	1.29068e-18	3.32319e-15	4.51968e-12	3.13253e-09	1.04453e-06	0.000153436	0.00866904	0.151598	0.567124	0.244899	0.0264423	0.00109024	2.1963e-05	2.52752e-07	1.84784e-09	9.26087e-12	3.3676e-14	9.28284e-17	2.00802e-19	3.50533e-22	5.053e-25	6.13146e-28	6.36528e-31	5.73228e-34	4.53198e-37	3.17846e-40	1.99559e-43	1.1307e-46	5.82299e-50	2.74307e-53	1.19036e-56	6.05969e-60	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	8.55304e-81	1.10559e-68	4.14048e-66	1.48853e-59	5.77985e-53	9.10775e-47	6.489e-41	2.21062e-35	3.69088e-30	3.02543e-25	1.19537e-20	2.18873e-16	1.74151e-12	5.46115e-09	5.83035e-06	0.00169604	0.0950656	0.610108	0.275841	0.0170279	0.00025444	1.32932e-06	3.08023e-09	3.71966e-12	2.62511e-15	1.17827e-18	3.58726e-22	7.79006e-26	1.25599e-29	1.55314e-33	1.51292e-37	1.18701e-41	7.64256e-46	4.10248e-50	1.86102e-54	7.38818e-59	1.31031e-60	5.42399e-61	1.17261e-61	1.2458e-62	6.60626e-64	
N9	2.31257e-95	2.18766e-72	6.96625e-65	5.59747e-58	1.47648e-51	1.59271e-45	7.84067e-40	1.86637e-34	2.20681e-29	1.30202e-24	3.77615e-20	5.19773e-16	3.20097e-12	8.05241e-09	7.20685e-06	0.00185324	0.0973055	0.61118	0.272504	0.0168867	0.000261607	1.4681e-06	3.77594e-09	5.20918e-12	4.30576e-15	2.31259e-18	8.58224e-22	2.30835e-25	4.67371e-29	7.3447e-33	9.18584e-37	9.3349e-41	7.8431e-45	5.52858e-49	3.31048e-53	2.05346e-57	3.06657e-58	1.50415e-58	3.95221e-59	5.17076e-60	3.42618e-61	
