NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.31947e-29	1.37154e-26	4.49642e-24	2.46946e-21	1.20955e-19	1.56194e-20	1.53491e-18	3.8259e-16	2.3317e-14	2.98855e-14	2.55291e-15	8.04197e-17	2.54101e-17	9.64716e-16	9.96375e-14	4.23783e-12	4.84418e-11	1	5.19274e-11	7.95774e-12	4.91767e-13	1.52048e-14	2.70971e-16	3.06697e-18	2.36366e-20	1.30661e-22	5.39304e-25	1.71577e-27	4.31724e-30	8.77593e-33	1.46701e-35	2.04721e-38	2.41595e-41	2.43815e-44	2.12476e-47	1.61273e-50	1.07425e-53	6.32227e-57	3.30742e-60	1.54637e-63	6.5993e-67	
N2	1.69434e-31	8.36851e-29	3.01265e-26	6.96189e-24	3.58847e-22	2.12523e-21	2.75754e-19	4.86956e-17	8.24524e-15	3.97449e-13	3.32519e-12	1.15567e-11	3.73689e-11	2.76633e-09	1.26253e-06	0.000324618	0.031686	0.737959	0.218267	0.0115675	0.000193183	1.36599e-06	4.88712e-09	1.09966e-11	8.9296e-14	9.66683e-14	4.1931e-15	2.81962e-15	8.00893e-17	3.04985e-17	6.0982e-19	1.34301e-19	1.98532e-21	2.48199e-22	2.60073e-24	1.64096e-25	9.5317e-29	7.08764e-31	2.16917e-34	1.39552e-36	7.07679e-39	
N3	3.83416e-37	8.60844e-33	5.12495e-29	6.45964e-25	7.17543e-22	4.74286e-22	1.01594e-18	5.47795e-15	9.64878e-12	6.2143e-11	1.50451e-11	1.18647e-12	1.39414e-13	7.66584e-11	1.27641e-07	8.63215e-05	0.0168702	0.501424	0.445875	0.0351727	0.00056924	2.94382e-06	6.32408e-09	7.54688e-12	1.21277e-14	3.53589e-16	1.65605e-18	3.33421e-20	9.20487e-23	9.63485e-25	1.69091e-27	9.65414e-30	1.08068e-32	3.39456e-35	2.10709e-38	3.48864e-41	5.7528e-45	4.05919e-48	3.64463e-52	1.66538e-55	2.87528e-59	
N4	9.1974e-37	9.23964e-33	4.21328e-29	2.27616e-25	1.41544e-22	1.29627e-21	1.38244e-18	1.54234e-15	4.05245e-13	1.43913e-12	3.69377e-13	1.6654e-13	5.26739e-13	3.20181e-10	3.52445e-07	0.000163395	0.0219364	0.483911	0.450895	0.0422232	0.000865118	5.83181e-06	1.65062e-08	2.3105e-11	1.86992e-14	3.46861e-16	5.54565e-18	1.45367e-18	1.45694e-20	2.03204e-21	1.25272e-23	9.81852e-25	3.37642e-27	1.57803e-28	2.19492e-31	6.52988e-33	1.62936e-36	2.38995e-38	2.70132e-42	1.55235e-44	3.91077e-48	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.73348e-33	2.51745e-30	3.11596e-27	2.68342e-24	3.69601e-22	1.93651e-20	5.91992e-18	1.23587e-15	7.72599e-14	5.64865e-13	2.81665e-12	9.15557e-12	4.83507e-11	8.06738e-09	3.13062e-06	0.000582141	0.0366669	0.482746	0.430229	0.0483384	0.00141834	1.57514e-05	8.21674e-08	2.31701e-10	3.98513e-13	1.04149e-14	3.70454e-16	2.03088e-16	5.01109e-18	1.58484e-18	2.63742e-20	4.97857e-21	5.09032e-23	5.97988e-24	2.78671e-26	2.15409e-27	2.15162e-30	9.22808e-32	4.01135e-35	7.15852e-37	6.61306e-40	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.96086e-37	1.02942e-32	4.10414e-29	3.05928e-25	7.15156e-23	8.3298e-23	1.88982e-19	4.86142e-16	5.60448e-13	1.12415e-12	3.01395e-13	3.60787e-14	8.38847e-15	9.91665e-12	2.63459e-08	2.95666e-05	0.0101898	0.56922	0.402509	0.0178948	0.000157255	4.47723e-07	5.41512e-10	3.31299e-13	1.25281e-16	6.25657e-19	2.24045e-21	5.6012e-23	1.30035e-25	1.76697e-27	2.73175e-30	2.08407e-32	2.11456e-35	9.13144e-38	5.07149e-41	1.25717e-43	2.13071e-47	2.90059e-50	2.20302e-54	1.46967e-57	1.60608e-61	
N7	1.20579e-33	3.22156e-30	5.20426e-27	9.50695e-24	8.34962e-22	1.72968e-20	2.56367e-17	3.01375e-14	1.24185e-11	3.20009e-11	2.10813e-11	6.9434e-12	4.62946e-12	1.52578e-09	1.10616e-06	0.000358678	0.0379306	0.702629	0.2478	0.011141	0.000139016	6.93102e-07	1.69706e-09	2.35832e-12	2.40447e-15	4.05938e-17	3.44697e-19	1.68255e-20	9.8736e-23	2.82028e-24	1.18493e-26	2.02335e-28	6.16199e-31	6.21858e-33	1.22119e-35	6.83556e-38	4.50202e-41	1.41354e-43	4.19833e-47	6.58841e-50	2.76275e-53	
