NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.32145e-32	7.49374e-28	9.78823e-26	6.8741e-22	9.24768e-20	3.17907e-21	3.13624e-19	2.02213e-16	1.70683e-14	2.26688e-14	2.01982e-15	6.94523e-17	4.04797e-17	2.31868e-15	2.25428e-13	7.65014e-12	6.15853e-11	1	4.60697e-11	7.39898e-12	5.39363e-13	2.15222e-14	5.33386e-16	8.96501e-18	1.08921e-19	1.00351e-21	7.27562e-24	4.27467e-26	2.08414e-28	8.59835e-31	3.05096e-33	9.43971e-36	2.57676e-38	6.2685e-41	1.37099e-43	2.71652e-46	4.90933e-49	8.14045e-52	1.24506e-54	1.76492e-57	2.43514e-60	
N2	9.61257e-36	4.0615e-31	4.40316e-28	1.31078e-24	1.58041e-22	1.93638e-22	3.12508e-20	1.78017e-17	4.81448e-15	2.5882e-13	2.3617e-12	8.21886e-12	2.96859e-11	4.05277e-09	2.07319e-06	0.000491513	0.0395481	0.718273	0.225798	0.015497	0.000386087	4.58126e-06	3.05687e-08	1.29937e-10	6.2361e-13	3.84483e-13	3.60594e-14	3.01552e-14	2.03976e-15	1.0175e-15	5.28109e-17	1.60427e-17	6.57531e-19	1.18958e-19	3.41067e-21	3.18274e-22	9.54924e-25	1.08258e-26	1.89903e-29	1.76957e-31	1.76113e-33	
N3	1.82655e-41	3.80801e-35	1.13114e-31	2.95571e-26	1.44836e-22	2.6916e-23	5.46034e-20	1.34537e-15	5.79665e-12	4.4057e-11	1.18447e-11	9.05996e-13	1.46872e-13	1.581e-10	2.71469e-07	0.000159021	0.0232324	0.48029	0.446411	0.0486014	0.00129373	1.25965e-05	5.71559e-08	1.44903e-10	2.84501e-13	4.58949e-15	4.92022e-17	1.5085e-18	1.07068e-20	1.82495e-22	8.68417e-25	8.60773e-27	2.70602e-29	1.56737e-31	2.90963e-34	9.31174e-37	7.3174e-40	1.09004e-42	5.42023e-46	5.58221e-49	3.80576e-52	
N4	2.36761e-41	2.17118e-35	1.22179e-31	1.25476e-26	2.17805e-23	5.23998e-23	1.07584e-19	5.20478e-16	2.68774e-13	1.08299e-12	2.96083e-13	1.37192e-13	5.90145e-13	6.26643e-10	7.25839e-07	0.000291309	0.0294391	0.463493	0.447782	0.0570782	0.00189186	2.36523e-05	1.39845e-07	4.54464e-10	9.08313e-13	4.02073e-15	1.10385e-16	3.84951e-17	1.00559e-18	1.99843e-19	3.4595e-21	4.07158e-22	4.20029e-24	3.08046e-25	1.43207e-27	6.80448e-29	8.79745e-32	2.00844e-33	1.50304e-36	1.45842e-38	1.95512e-41	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.00769e-38	2.50503e-33	9.8708e-30	1.46067e-25	5.18055e-23	6.38712e-22	4.97597e-19	4.28187e-16	5.9538e-14	4.6986e-13	2.34125e-12	7.00733e-12	4.64963e-11	1.35537e-08	5.61973e-06	0.000928665	0.0461548	0.460845	0.42516	0.0639225	0.00292596	5.71877e-05	5.83825e-07	3.55131e-09	1.41531e-11	9.7002e-14	4.70406e-15	3.09936e-15	1.79278e-16	7.27301e-17	3.02737e-18	7.68393e-19	2.07774e-20	3.4154e-21	4.6364e-23	5.09301e-24	2.21311e-26	1.30639e-27	3.23324e-30	8.59307e-32	3.85207e-34	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.95825e-41	4.18333e-35	9.30416e-32	1.57837e-26	1.60309e-23	3.08541e-24	9.35686e-21	1.1496e-16	3.73333e-13	9.32017e-13	2.46245e-13	2.6816e-14	9.41362e-15	2.14909e-11	5.84156e-08	5.64753e-05	0.0144227	0.541366	0.416777	0.0269734	0.000402282	2.18815e-06	5.61008e-09	7.97494e-12	7.1169e-15	1.23641e-17	7.34328e-20	2.51564e-21	1.47382e-23	2.9622e-25	1.22065e-27	1.45613e-29	4.06528e-32	2.89593e-34	4.74033e-37	2.00568e-39	1.4432e-42	3.34783e-45	1.41598e-48	1.81418e-51	9.65465e-55	
N7	3.73622e-38	8.8617e-33	1.57612e-29	6.08317e-25	1.44426e-22	3.32484e-22	1.36879e-18	7.52298e-15	8.5635e-12	2.16168e-11	1.25247e-11	3.52197e-12	3.63704e-12	2.45577e-09	1.91711e-06	0.000568832	0.048293	0.667755	0.266278	0.016765	0.000334975	2.98784e-06	1.44737e-08	4.32783e-11	8.95478e-14	4.715e-16	6.73907e-18	4.36282e-19	6.04776e-21	2.47689e-22	2.60867e-24	6.78438e-26	5.3176e-28	8.67623e-30	4.48234e-32	4.32371e-34	1.07681e-36	5.90745e-39	8.80805e-42	2.81843e-44	5.15604e-47	
