#Nodes with GAIN events with expectation above 0.5
PGA445: 0.658214
Furcep: 1.88761
FGA331: 1.81688
FGA104: 1.01432
FGA174: 1.81156
C601: 0.982913
C3125: 1.18519
C3126: 1.2802
C2208: 0.966481
Total number of gain events: 21.2586
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
PGA445: 0.687344
Rhaspe: 2.21499
Rhamar: 2.13402
Rhatem: 1.24723
FGA379: 1.2116
F3015: 1.09615
F1476: 1.02148
N28: 0.741999
FGA465: 1.00166
FGA99: 0.825656
FGA15: 0.809495
FGA489: 1.0852
N42: 0.598329
CGA763: 1.02966
Calboe: 2.70428
CGA429: 1.78992
N49: 1.18683
C984: 1.77811
CGA310: 0.60553
N51: 0.525375
CGA494: 1.03937
N54: 1.65524
C404: 1.03228
CGA45: 1.01828
C3121: 0.967548
N83: 1.31998
Total number of loss events: 42.896
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 6.35023e-26
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
FGA379: 0.991523
N38: 0.76289
N68: 0.968763
N72: 0.973939
N74: 0.707242
N83: 0.984817
Total number of demi-dulications events: 6.76437
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N1:ML=18 to N13:ML=12  ProbOfChange = 0.999949  sum expectations= 0.150157
	HEURISTIC ESTIMATION:	Gains = 3.7004e-07	Losses = 5.57855	Duplications = 1.75926e-34	Demi-dupl = 1.59734e-08	Base-number = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.0462052	0.0208081	6.34883e-26	3.02592e-05	0
N3	0.11111	0.0957446	1.27322e-32	1.61974e-05	0
N4	0.0260974	0.0161049	2.35066e-39	1.57569e-07	0
B3088	0.321122	0.371882	0	1.49402e-07	0
N5	0.0317949	0.0257768	1.13159e-38	2.37538e-08	0
BGA709	0.263365	0.320146	0	4.30482e-07	0
BGA309	0.263365	0.320146	0	4.30482e-07	0
N6	0.0482845	0.0710488	6.61688e-41	1.96136e-07	0
N7	0.0795784	0.0794308	2.10026e-42	2.7488e-08	0
B11696	0.0707054	0.0888564	0	3.68528e-08	0
B11609	0.0707054	0.0888564	0	3.68528e-08	0
N8	0.00974177	0.0159937	1.05677e-48	5.17574e-09	0
N9	0.00234825	0.00258892	1.81968e-51	7.98713e-11	0
N10	0.0251227	0.0214382	4.07214e-41	3.4887e-11	0
B983	0.11319	0.128385	0	2.07282e-09	0
B11604	0.11319	0.128385	0	2.07282e-09	0
N11	0.0624789	0.064151	3.83261e-42	3.9414e-09	0
BGAA1	0.048431	0.0582701	0	8.86232e-09	0
BGA584	0.048431	0.0582701	0	8.86232e-09	0
N12	0.060162	0.0592376	2.60621e-48	1.37944e-10	0
BGA303	0.0591967	0.0718723	0	1.00807e-08	0
BGAB1	0.0591967	0.0718723	0	1.00807e-08	0
PGA445	0.658214	0.687344	0	0.000559339	0
N13	3.7004e-07	5.57855	1.75926e-34	1.59734e-08	0
N14	0.00753868	0.467149	3.99487e-34	2.91554e-09	0
Rhaspe	0.251729	2.21499	0	0.000512075	0
N15	0.00550348	0.0805718	8.72708e-31	3.00376e-07	0
Rhamar	0.244009	2.13402	0	0.00108575	0
Rhatem	0.351809	1.24723	0	0.00223509	0
N16	0.00171804	0.203704	6.8816e-40	3.18998e-08	0
N17	0.0305483	0.196636	6.73928e-43	0.00137473	0
N18	0.0259169	0.0447816	2.93671e-36	1.25263e-05	0
FGA379	0.252445	1.2116	0	0.991523	0
N19	0.0607656	0.0384713	6.17107e-33	1.56078e-05	0
N20	0.0505191	0.0363632	1.82415e-33	6.96099e-06	0
N21	0.00257917	0.0524831	2.39235e-36	5.84313e-07	0
F3015	0.0688196	1.09615	0	1.13729e-05	0
N22	0.00404306	0.0111587	1.84827e-38	1.17071e-07	0
N23	0.0143653	0.00492541	1.36196e-38	7.61811e-08	0
N24	0.00258378	0.0378987	1.03226e-42	8.23395e-08	0
N25	0.00128293	0.0130836	9.41549e-48	5.30673e-10	0
F1476	0.0389743	1.02148	0	1.32273e-08	0
N26	0.00991258	0.00888392	2.77183e-39	1.04697e-08	0
Furcep	1.88761	0.135382	0	0.0526182	0
N27	0.00121561	0.042025	5.96706e-38	7.18353e-09	0
Furpol	0.116576	0.0593201	0	4.93703e-06	0
N28	0.00448691	0.741999	3.11193e-38	5.09346e-09	0
N29	0.00457214	0.170991	1.32567e-40	1.67991e-09	0
F2241	0.00998816	0.0487812	0	2.85672e-09	0
Furang	0.00998816	0.0487812	0	2.85672e-09	0
FGA490	0.024636	0.229848	0	2.95824e-09	0
N30	0.00455696	0.0182827	3.4764e-49	1.0356e-09	0
N31	0.00708628	0.00492893	1.14396e-44	5.45723e-09	0
N32	0.0238094	0.000843416	2.47124e-45	3.42159e-08	0
N33	0.00154658	0.00437887	5.33993e-45	8.93976e-09	0
N34	0.00406121	0.00585679	1.25754e-40	3.20921e-09	0
FGA456	0.00700863	0.00808651	0	2.7461e-09	0
FGA513	0.00700863	0.00808651	0	2.7461e-09	0
F12278	0.0238253	0.0266988	0	4.60049e-09	0
N35	0.182737	0.00418587	8.89495e-43	6.72602e-06	0
Furant	0.0100528	0.194357	0	3.45831e-06	0
FGA331	1.81688	0.00128684	0	2.33025e-05	0
FGA465	0.0189245	1.00166	0	4.25845e-09	0
N36	0.00571816	0.175134	2.0626e-43	1.28353e-09	0
FGA99	0.0144935	0.825656	0	3.38394e-09	0
N37	0.0137278	0.0248069	5.26302e-40	1.68302e-08	0
FGA15	0.0094118	0.809495	0	1.78495e-08	0
FGA581	0.211921	0.0120377	0	8.23047e-06	0
FGA104	1.01432	0.052054	0	0.00169079	0
FGA489	0.0650004	1.0852	0	6.90706e-06	0
FGA174	1.81156	0.32806	0	0.083437	0
FurbGB	0.234472	0.301241	0	0.000808373	0
N38	0.00361794	0.0153621	1.44437e-39	0.76289	0
N39	0.0197708	0.0445833	1.2597e-38	0.193907	0
N40	0.0513047	0.353478	2.83909e-39	0.0407486	0
CGA312	0.422151	0.139259	0	0.000488599	0
N41	0.00275307	0.19244	1.78334e-42	0.000471826	0
N42	0.000312393	0.598329	2.91379e-51	1.41869e-05	0
N43	0.00764212	0.00610103	3.93712e-53	3.38322e-07	0
N44	0.132439	0.0477932	3.26925e-50	1.14687e-07	0
CGA642	0.0341802	0.0497585	0	1.02127e-08	0
N45	0.0137201	0.00661065	4.84541e-49	6.29863e-09	0
CGA763	0.00695908	1.02966	0	3.63976e-09	0
C601	0.982913	0.00561668	0	3.71728e-09	0
N46	0.00236603	0.017887	8.64419e-46	1.61183e-08	0
CGA236	0.184539	0.0999447	0	4.67191e-07	0
N47	0.00354976	0.148968	9.17453e-41	2.8836e-09	0
N48	0.0616922	0.127555	3.67802e-37	2.24915e-09	0
Calboe	0.00211902	2.70428	0	7.57601e-09	0
C3125	1.18519	0.0446946	0	0.0178779	0
CGA429	0.0201367	1.78992	0	2.61774e-08	0
N49	0.00010241	1.18683	9.56946e-48	2.60888e-07	0
C984	0.0379168	1.77811	0	1.95214e-08	0
N50	0.00104938	0.200661	8.76122e-39	1.55029e-08	0
CGA310	0.0649922	0.60553	0	2.73568e-08	0
N51	0.0129436	0.525375	1.0407e-38	6.76105e-09	0
CGA365	0.0815102	0.109615	0	1.14601e-08	0
CGA494	0.0112674	1.03937	0	2.12258e-09	0
N52	0.250753	0.0343305	2.26266e-48	1.49487e-05	0
N53	0.00330375	0.0650905	9.63726e-45	1.45878e-07	0
C12265	0.357261	0.0393741	0	4.33842e-07	0
N54	0.00152299	1.65524	3.15043e-47	8.95748e-08	0
C404	0.00396058	1.03228	0	4.04746e-10	0
N55	0.00336175	0.0176103	1.09231e-53	3.74922e-10	0
Cl11778	0.0100243	0.0240947	0	2.64667e-11	0
CGA48	0.0100243	0.0240947	0	2.64667e-11	0
C3126	1.2802	0.0241259	0	6.60384e-07	0
N56	0.197234	0.144246	3.84161e-41	0.0411056	0
CGA311	0.0758885	0.148623	0	0.000148421	0
N57	0.00920172	0.00329095	1.26303e-40	0.000125422	0
N58	0.00635756	0.0855539	3.41906e-46	2.15451e-05	0
CGA45	0.0188178	1.01828	0	3.08753e-07	0
N59	0.00813511	0.00502675	5.34266e-48	2.49186e-07	0
C3043	0.0368184	0.0393963	0	5.87157e-08	0
CGA364	0.0368184	0.0393963	0	5.87157e-08	0
C2208	0.966481	0.0451407	0	2.18542e-05	0
N60	0.214059	0.251344	3.44267e-36	0.23324	0
N61	0.0158031	0.0291229	3.8115e-39	0.00193626	0
CGA453	0.0264188	0.020475	0	2.4565e-05	0
N62	0.00307188	0.0338105	1.24815e-46	2.40599e-05	0
CGA501	0.0438902	0.00720765	0	5.04793e-07	0
C3121	0.00423079	0.967548	0	5.04793e-07	0
N63	0.0469493	0.0540644	1.05252e-40	0.00195859	0
Calparcri	0.00134707	0.00160753	0	2.26462e-06	0
C3118	0.00134707	0.00160753	0	2.26462e-06	0
N64	0.00125934	0.0327606	8.67802e-41	3.72025e-07	0
N65	0.0329717	0.131225	5.90619e-41	0.00505965	0
N66	0.0417886	0.101007	1.07015e-34	0.000199986	0
N67	0.016619	0.0312267	4.4479e-34	6.7007e-06	0
N68	0.0207755	0.0266433	1.91111e-37	0.968763	0
Triowe	0.0951722	0.104941	0	0.0259197	0
N69	0.00825957	0.00840213	4.96631e-38	0.0198973	0
Trijoh	0.0654455	0.0750802	0	0.00602142	0
Trimel	0.0654455	0.0750802	0	0.00602142	0
N70	0.0676173	0.0844705	1.41819e-34	8.40857e-06	0
N71	0.00608769	0.00983839	8.72636e-35	6.35836e-07	0
Trihoe	0.0229033	0.0277395	0	1.0594e-07	0
Tribit	0.0229033	0.0277395	0	1.0594e-07	0
Trijac	0.0407648	0.0493522	0	7.83857e-07	0
N72	0.0641005	0.0805348	2.20066e-35	0.973939	0
Tricri	0.0896165	0.103535	0	0.0207398	0
N73	0.0154857	0.0191152	8.97349e-36	0.0184229	0
Triwie	0.0506172	0.0609149	0	0.00231662	0
Triqua	0.0506172	0.0609149	0	0.00231662	0
N74	0.0411511	0.0537163	2.20534e-33	0.707242	0
N75	0.143571	0.190455	6.31961e-32	0.273553	0
Kinboe	0.0917393	0.132383	0	0.0140192	0
Kinfis	0.0917393	0.132383	0	0.0140192	0
Kinxen	0.319596	0.406263	0	0.287601	0
N76	0.00416299	0.0209605	2.64215e-37	3.03986e-06	0
N77	0.100154	0.152028	3.34806e-31	7.51317e-05	0
N78	0.10772	0.205908	7.92918e-30	0.000120602	0
N79	0.0173328	0.0349041	2.19948e-35	2.05464e-06	0
N80	0.00392181	0.00465111	1.88646e-37	3.21634e-08	0
Chaafr	0.0259806	0.0287131	0	2.79167e-08	0
Chacha	0.0259806	0.0287131	0	2.79167e-08	0
N81	0.00668471	0.00785006	9.54014e-37	3.38406e-08	0
Chacaly	0.0193768	0.0216732	0	3.44379e-08	0
Chazey	0.0193768	0.0216732	0	3.44379e-08	0
N82	0.00869842	0.0112004	1.0519e-31	1.35545e-06	0
Chadil	0.0825091	0.101081	0	1.10302e-05	0
Chasen	0.0825091	0.101081	0	1.10302e-05	0
Chanam	0.330083	0.455055	0	0.00142653	0
N83	0.284727	1.31998	1.28064e-35	0.984817	0
N84	0.00343379	0.0180985	3.12077e-46	0.00040196	0
N85	0.000242312	0.000842775	7.21431e-54	1.09665e-06	0
Braset	0.0249328	0.0256357	0	5.85175e-08	0
N86	0.0019704	0.00230601	2.59099e-50	5.71806e-08	0
N87	0.0121295	0.0124299	1.19021e-54	1.30952e-09	0
Bramel	0.00112001	0.00118695	0	1.20598e-12	0
Bratha	0.00112001	0.00118695	0	1.20598e-12	0
N88	0.0054927	0.00563441	4.34704e-52	1.30305e-09	0
Bradra	0.00396294	0.00418854	0	7.65416e-12	0
Bratra	0.00396294	0.00418854	0	7.65416e-12	0
N89	0.0135643	0.0144614	9.07485e-53	1.15285e-06	0
Bragut	0.00478822	0.00519443	0	4.64054e-09	0
Braven	0.00478822	0.00519443	0	4.64054e-09	0
N90	0.0132117	0.0252376	1.51253e-40	0.000396942	0
Brapum	0.0168284	0.0207503	0	6.26181e-06	0
Bradam	0.0168284	0.0207503	0	6.26181e-06	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0.504534	0.50454	6.34883e-26	4.67635e-05	0
BGA709	0.478572	0.478581	6.34883e-26	4.70684e-05	0
BGA309	0.478572	0.478581	6.34883e-26	4.70684e-05	0
B11696	0.355883	0.355889	6.34883e-26	4.67171e-05	0
B11609	0.355883	0.355889	6.34883e-26	4.67171e-05	0
B983	0.356001	0.356008	6.34883e-26	4.66601e-05	0
