NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	2.70351e-59	6.55241e-55	1.09591e-50	1.20281e-46	8.79414e-43	4.31766e-39	1.4004e-35	2.79948e-32	2.84411e-29	2.16348e-26	2.78834e-23	2.2514e-20	1.00752e-17	2.26228e-15	2.2081e-13	7.52463e-12	6.25953e-11	1	4.02507e-11	5.08708e-12	2.71813e-13	7.51535e-15	1.22867e-16	1.30209e-18	9.55674e-21	5.10447e-23	2.06131e-25	6.48711e-28	1.7294e-30	
N2	1.56393e-63	1.93555e-58	1.96438e-53	1.26937e-48	5.24764e-44	1.41489e-39	2.63326e-35	3.7494e-31	4.38562e-27	4.09368e-23	2.62798e-19	1.02285e-15	2.29395e-12	2.77879e-09	1.65967e-06	0.000426816	0.0379135	0.750543	0.200363	0.0105621	0.000189003	1.52217e-06	6.54403e-09	1.68232e-11	2.80711e-14	3.74561e-17	1.00708e-18	9.21832e-21	1.25386e-21	
N3	8.99621e-68	4.72039e-62	1.61884e-56	3.19764e-51	3.55897e-46	2.14899e-41	6.63511e-37	9.3808e-33	3.81522e-29	1.3374e-26	2.29138e-22	3.54447e-18	2.95443e-14	1.21615e-10	2.1823e-07	0.000140814	0.0236062	0.547848	0.398293	0.0296122	0.00049584	2.85263e-06	7.24511e-09	9.55649e-12	7.32562e-15	3.54149e-18	1.14931e-21	2.65362e-25	6.86723e-29	
N4	3.75779e-71	2.80047e-65	1.60381e-59	5.88083e-54	1.34563e-48	1.85129e-43	1.4575e-38	5.91985e-34	8.84268e-30	1.02042e-25	2.09917e-21	2.47436e-17	1.53209e-13	4.56748e-10	5.78656e-07	0.000258205	0.029977	0.526171	0.406597	0.0362193	0.000771624	5.79837e-06	1.94233e-08	3.3842e-11	3.4174e-14	2.16644e-17	9.96713e-21	7.93531e-24	2.49664e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	1.90485e-63	1.74717e-58	1.63447e-53	1.21542e-48	7.14957e-44	3.18589e-39	1.01794e-34	2.22341e-30	3.1992e-26	2.93752e-22	1.66188e-18	5.55624e-15	1.04008e-11	1.01197e-08	4.60389e-06	0.00083592	0.0469485	0.515462	0.392327	0.0430597	0.00134484	1.69763e-05	1.0648e-07	3.79572e-10	8.44545e-13	1.25666e-15	1.36467e-18	1.87561e-21	9.54997e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	8.92989e-70	5.64687e-64	2.34966e-58	5.70772e-53	8.06182e-48	6.63903e-43	3.27092e-38	9.99096e-34	1.62719e-29	1.92228e-27	9.52918e-24	2.11283e-19	2.61065e-15	1.63506e-11	4.61024e-08	4.89142e-05	0.0143572	0.619748	0.350866	0.0148425	0.000136985	4.40692e-07	6.40081e-10	4.93372e-13	2.25114e-16	6.57331e-20	1.30281e-23	1.86257e-27	4.21202e-31	
N7	3.13998e-62	3.01367e-57	2.08197e-52	8.48298e-48	2.00817e-43	2.72679e-39	2.17633e-35	1.20003e-31	6.82739e-28	6.28322e-24	5.94528e-20	3.39016e-16	1.09654e-12	1.86711e-09	1.50141e-06	0.000481621	0.0460481	0.71406	0.228706	0.0105561	0.000145732	8.52836e-07	2.58174e-09	4.59288e-12	5.24418e-15	4.09866e-18	2.30382e-21	9.76639e-25	4.94449e-28	
