NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	2.70821e-59	6.56223e-55	1.09732e-50	1.20415e-46	8.80274e-43	4.32143e-39	1.4015e-35	2.80148e-32	2.84615e-29	2.16548e-26	2.79063e-23	2.25294e-20	1.00806e-17	2.26314e-15	2.20862e-13	7.52542e-12	6.25957e-11	1	4.02537e-11	5.08816e-12	2.71916e-13	7.51971e-15	1.22966e-16	1.30344e-18	9.56922e-21	5.11258e-23	2.06521e-25	6.50146e-28	1.73382e-30	
N2	1.56605e-63	1.93798e-58	1.96661e-53	1.27067e-48	5.25252e-44	1.41611e-39	2.63548e-35	3.75267e-31	4.38953e-27	4.09711e-23	2.62992e-19	1.02349e-15	2.29511e-12	2.77987e-09	1.66012e-06	0.000426883	0.0379155	0.750526	0.200376	0.0105643	0.000189073	1.52302e-06	6.54904e-09	1.68399e-11	2.80991e-14	3.66762e-17	8.564e-19	8.57503e-21	1.24822e-21	
N3	9.00415e-68	4.72398e-62	1.61987e-56	3.1993e-51	3.56042e-46	2.14964e-41	6.63644e-37	9.38181e-33	3.81552e-29	1.33798e-26	2.29288e-22	3.54707e-18	2.95628e-14	1.21674e-10	2.18304e-07	0.00014084	0.0236072	0.547813	0.39832	0.0296201	0.000496089	2.8548e-06	7.25262e-09	9.56923e-12	7.33766e-15	3.54846e-18	1.15183e-21	2.65857e-25	6.84242e-29	
N4	3.76268e-71	2.80396e-65	1.60568e-59	5.88722e-54	1.34697e-48	1.85295e-43	1.45867e-38	5.92403e-34	8.84901e-30	1.02145e-25	2.10107e-21	2.4763e-17	1.53308e-13	4.56972e-10	5.78851e-07	0.000258252	0.0299781	0.526137	0.40662	0.0362282	0.000771987	5.80256e-06	1.94427e-08	3.38857e-11	3.42288e-14	2.17045e-17	9.86092e-21	7.38586e-24	2.42929e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	1.90735e-63	1.7495e-58	1.63667e-53	1.21707e-48	7.15924e-44	3.19005e-39	1.01919e-34	2.22593e-30	3.20248e-26	2.9402e-22	1.6632e-18	5.55997e-15	1.04064e-11	1.01239e-08	4.60518e-06	0.000836045	0.0469498	0.515433	0.392345	0.0430689	0.00134538	1.69868e-05	1.06571e-07	3.79991e-10	8.45702e-13	1.25869e-15	1.35987e-18	1.78678e-21	9.25262e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	8.93781e-70	5.65121e-64	2.35118e-58	5.71084e-53	8.06556e-48	6.64176e-43	3.27225e-38	9.99539e-34	1.62793e-29	1.92128e-27	9.50453e-24	2.11324e-19	2.61226e-15	1.63586e-11	4.61183e-08	4.8924e-05	0.014358	0.619708	0.350901	0.0148472	0.000137062	4.41051e-07	6.40774e-10	4.94046e-13	2.25488e-16	6.58631e-20	1.30563e-23	1.86448e-27	4.14726e-31	
N7	3.14279e-62	3.01603e-57	2.08333e-52	8.48756e-48	2.00904e-43	2.72772e-39	2.17697e-35	1.20048e-31	6.83179e-28	6.28827e-24	5.94968e-20	3.39236e-16	1.09713e-12	1.86789e-09	1.50185e-06	0.000481705	0.0460507	0.714034	0.228726	0.0105587	0.000145795	8.53381e-07	2.58396e-09	4.59792e-12	5.25127e-15	4.10532e-18	2.30804e-21	9.77995e-25	4.90772e-28	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	2.47088e-81	2.19292e-74	1.09392e-67	2.87327e-61	3.97192e-55	2.86895e-49	1.06748e-43	2.05637e-38	1.74358e-33	3.53466e-31	6.63926e-28	7.45059e-23	5.01762e-18	1.60432e-13	2.08272e-09	8.75989e-06	0.00798847	0.663423	0.320686	0.00786184	3.13967e-05	3.58978e-08	1.6103e-11	3.4498e-15	4.02794e-19	2.81374e-23	1.29834e-27	6.97088e-32	1.4323e-34	
N9	3.05191e-65	4.17416e-61	3.96821e-57	2.37211e-53	8.26772e-50	7.54036e-47	1.05404e-44	1.86569e-41	1.10349e-36	2.75254e-32	4.34925e-27	3.9797e-22	1.8878e-17	4.25757e-13	4.00131e-09	1.26546e-05	0.00919408	0.67192	0.311357	0.00748605	3.0979e-05	3.87456e-08	1.98887e-11	5.05748e-15	7.22124e-19	6.40218e-23	5.41794e-26	9.37182e-29	2.24241e-30	
N10	6.53847e-67	1.00882e-61	1.14353e-56	7.82464e-52	3.31491e-47	9.42847e-43	2.17765e-38	5.1585e-34	1.27235e-29	2.70178e-25	3.89946e-21	3.35673e-17	1.6299e-13	4.13953e-10	4.92513e-07	0.000231198	0.0318001	0.686101	0.271236	0.0105205	0.000110342	4.68712e-07	1.00331e-09	1.24063e-12	9.72665e-16	5.17528e-19	2.17676e-22	2.09122e-25	5.36123e-27	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	5.91583e-65	1.09419e-59	1.39712e-54	1.04512e-49	4.47264e-45	1.05413e-40	1.29769e-36	7.82052e-33	2.0739e-29	6.24525e-26	1.07343e-21	1.13785e-17	6.83166e-14	2.15315e-10	3.18801e-07	0.000186307	0.0316333	0.799121	0.164743	0.00428404	3.21704e-05	1.01115e-07	1.63538e-10	1.55073e-13	9.42883e-17	3.92309e-20	1.17481e-23	2.69115e-27	1.10572e-30	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	2.81467e-64	3.98938e-59	3.98142e-54	2.3352e-49	7.89073e-45	1.49532e-40	1.56228e-36	9.51623e-33	4.50335e-29	4.00021e-25	5.46032e-21	4.51088e-17	2.11141e-13	5.19198e-10	6.00623e-07	0.000275005	0.0368366	0.753919	0.202101	0.00680172	6.59947e-05	2.67745e-07	5.58517e-10	6.82645e-13	5.34724e-16	2.86504e-19	1.10524e-22	3.30605e-26	2.47504e-29	
BGA303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N13	1.31242e-65	8.44882e-59	2.97322e-52	5.44685e-46	5.117e-40	2.36812e-34	5.00545e-29	4.05214e-24	2.0963e-20	1.82285e-18	2.21786e-14	7.92997e-11	8.41591e-08	2.95118e-05	0.00342259	0.112437	0.650396	0.233096	0.000618511	3.12538e-07	5.68521e-11	4.93642e-15	2.39047e-19	7.10279e-24	1.37978e-28	1.9006e-33	1.1632e-37	1.12015e-41	4.39997e-44	
N14	1.24369e-44	2.91905e-39	5.05185e-34	4.6998e-29	2.26789e-24	5.39778e-20	5.89012e-16	2.65486e-12	4.26216e-09	1.99178e-06	0.000220772	0.00644581	0.0621955	0.233283	0.370984	0.253604	0.068173	0.00507122	2.05916e-05	3.27501e-08	2.75965e-11	1.41765e-14	4.83178e-18	1.1577e-21	2.03951e-25	3.12565e-29	9.10209e-32	1.49282e-33	1.11132e-33	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	4.75752e-32	1.60627e-29	5.33538e-27	1.74501e-24	8.81802e-21	4.75314e-17	1.28186e-13	1.59839e-10	8.28929e-08	1.54543e-05	0.000885144	0.015947	0.105988	0.292031	0.353931	0.188461	0.0402199	0.00250466	1.59407e-05	4.3609e-08	6.76606e-11	6.77063e-14	4.71334e-17	2.40749e-20	1.13405e-23	6.00234e-26	1.58886e-27	1.01773e-29	3.19882e-30	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	6.25289e-72	1.1407e-65	1.36999e-60	3.99372e-55	9.80067e-49	1.17094e-42	6.56251e-37	1.29873e-31	6.70234e-28	1.22788e-23	1.46239e-18	6.05653e-14	7.17939e-10	2.00459e-06	0.00107479	0.0852501	0.663667	0.248498	0.00150635	1.13238e-06	2.2245e-10	1.65594e-14	5.7691e-19	1.25258e-23	9.9015e-28	8.28244e-31	2.66993e-34	1.22731e-36	3.76982e-37	
N17	6.76571e-68	2.589e-61	5.80556e-55	7.23905e-49	5.00481e-43	1.87886e-37	3.66291e-32	3.37759e-27	8.368e-23	1.24765e-20	7.73706e-17	1.07529e-12	4.82873e-09	5.27919e-06	0.00137205	0.0749358	0.598941	0.314382	0.0103089	5.44935e-05	8.32588e-08	5.09215e-11	1.52141e-14	2.53415e-18	2.58365e-22	1.75964e-26	1.18495e-30	5.08407e-34	1.44923e-36	
N18	8.57637e-56	2.82617e-50	6.97615e-45	1.09023e-39	1.07195e-34	6.54237e-30	2.42455e-25	5.27766e-21	6.41918e-17	4.04457e-13	1.16521e-09	1.20549e-06	0.000221486	0.00862023	0.102499	0.392556	0.41676	0.0776174	0.00171306	1.1025e-05	3.06851e-08	4.52356e-11	3.9985e-14	2.30465e-17	9.20309e-21	2.67913e-24	8.26882e-28	9.38301e-31	2.23222e-32	
FGA379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N19	2.7901e-49	7.11495e-44	1.34883e-38	1.57982e-33	1.12639e-28	4.77078e-24	1.15817e-19	1.53204e-15	1.02192e-11	3.05905e-08	3.3714e-05	0.00919217	0.163709	0.433453	0.310222	0.0765251	0.00669237	0.000171316	9.61346e-07	2.10389e-09	2.35126e-12	1.55632e-15	6.70099e-19	2.00251e-22	4.35577e-26	7.15533e-30	9.36054e-34	1.37845e-37	4.42667e-40	
