NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	4.27345e-40	5.32265e-38	9.79228e-36	1.63964e-33	2.43278e-31	3.15493e-29	3.52858e-27	3.35708e-25	2.67741e-23	1.76136e-21	9.38233e-20	3.95987e-18	2.98309e-13	1.77653e-10	5.5021e-08	8.08904e-06	0.000506317	0.0119814	0.0981828	0.29065	0.348314	0.189856	0.0520111	0.0077737	0.000677903	3.64527e-05	1.26647e-06	2.99072e-08	6.34555e-10	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N2	3.52765e-58	1.16085e-53	3.50753e-49	7.66759e-45	1.17936e-40	1.25143e-36	9.18258e-33	4.73291e-29	1.56779e-25	1.83503e-22	4.78698e-19	1.7152e-15	3.64898e-12	4.15632e-09	2.23153e-06	0.000468843	0.0285895	0.297736	0.49204	0.164687	0.0158988	0.000568134	8.87299e-06	6.82389e-08	2.83192e-10	6.82241e-13	1.0132e-15	9.80758e-19	7.15797e-22	
N3	2.99821e-56	4.18796e-52	6.37999e-48	7.53633e-44	6.72722e-40	4.44904e-36	2.17287e-32	8.21328e-29	2.70098e-25	8.68628e-22	2.63427e-18	5.48254e-15	7.09226e-12	5.26162e-09	2.00586e-06	0.000335004	0.0191177	0.247193	0.520755	0.19238	0.0194809	0.000724746	1.19983e-05	1.01113e-07	4.79046e-10	1.37664e-12	2.54801e-15	3.53756e-18	9.36163e-20	
N4	1.47281e-63	1.17586e-58	8.07861e-54	3.97389e-49	1.34105e-44	2.93593e-40	3.86446e-36	2.73313e-32	7.50821e-29	8.49459e-27	1.61331e-23	2.05739e-19	1.62532e-15	7.15154e-12	1.55361e-08	1.39436e-05	0.00388437	0.200162	0.630691	0.158034	0.00712293	9.1325e-05	4.41874e-07	9.72991e-10	1.11177e-12	7.25714e-16	2.91127e-19	7.62688e-23	1.72716e-26	
N5	9.6512e-68	9.65122e-63	1.01367e-57	8.76154e-53	5.9673e-48	3.02347e-43	1.06439e-38	2.36771e-34	2.47364e-30	7.06889e-27	9.69669e-23	1.03878e-18	6.6704e-15	2.34753e-11	4.0025e-08	2.75775e-05	0.00576199	0.221288	0.615731	0.150322	0.00677873	8.89535e-05	4.49159e-07	1.04838e-09	1.28534e-12	9.08761e-16	3.97966e-19	1.74752e-22	8.59915e-24	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	4.11491e-60	5.22972e-56	8.93448e-52	1.493e-47	2.47316e-43	3.8964e-39	5.40722e-35	6.12405e-31	5.32889e-27	3.40064e-23	1.52287e-19	4.5573e-16	8.59713e-13	9.46458e-10	5.46484e-07	0.000141564	0.0128653	0.267722	0.575392	0.136712	0.00704243	0.000122384	9.28815e-07	3.62449e-09	8.12812e-12	1.13497e-14	1.04911e-17	1.0985e-20	1.22167e-21	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
