NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.53416e-19	5.89104e-18	1.73866e-12	2.41469e-10	6.8003e-08	3.60797e-07	2.19845e-05	0.00122771	0.000367837	0.000302423	0.0235377	0.702744	0.260315	0.0112215	0.000242731	1.70377e-05	1.68822e-06	6.67947e-08	7.52752e-10	3.08522e-12	1.30332e-17	4.21312e-19	1.07962e-20	2.28139e-22	4.04994e-24	6.07701e-26	7.7297e-28	8.41425e-30	9.0684e-32	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N2	8.78154e-26	1.73476e-21	2.26954e-17	2.91745e-15	2.32615e-11	2.45932e-11	3.07948e-08	1.37941e-05	7.44737e-07	6.0542e-06	0.00791539	0.971124	0.0209019	3.74024e-05	1.59422e-07	8.66039e-08	5.76306e-08	1.98982e-08	6.72599e-11	1.08669e-13	6.35266e-17	9.53851e-21	2.25106e-24	7.37985e-28	1.4142e-31	3.54754e-35	1.16757e-38	1.93709e-42	2.33168e-42	
N3	4.48394e-26	2.90304e-22	1.33078e-18	4.75594e-16	8.01691e-13	1.06871e-11	5.94848e-09	1.53938e-06	3.01971e-07	4.40853e-06	0.00363068	0.418757	0.0102782	2.41138e-05	3.94704e-07	6.48534e-05	0.00482567	0.548819	0.0129094	0.000681938	2.5996e-06	2.10987e-09	1.62621e-11	8.88362e-13	4.47081e-15	3.54582e-17	1.67886e-18	3.08029e-22	1.65384e-24	
N4	1.88526e-33	1.33908e-28	6.05117e-24	1.73143e-21	5.78706e-17	8.13659e-17	3.86283e-13	1.67792e-09	2.16557e-10	1.38412e-09	1.05741e-05	0.00741193	4.78691e-05	1.69943e-08	4.30569e-10	1.31199e-06	0.00239278	0.978628	0.0114715	3.55441e-05	2.13415e-08	3.63046e-12	2.43579e-15	7.41331e-18	6.6605e-21	4.15081e-24	4.3676e-27	1.26261e-31	4.33964e-35	
N5	3.24604e-34	2.75343e-30	8.01622e-26	7.29832e-23	1.17213e-18	2.54422e-17	6.84081e-14	8.68871e-11	3.78754e-11	1.03728e-09	4.69176e-06	0.00226156	1.94359e-05	1.09223e-08	4.50883e-10	1.76874e-06	0.00388522	0.97771	0.0160849	3.21661e-05	1.53078e-08	2.99739e-12	9.31358e-15	8.57973e-16	1.87251e-17	5.52595e-20	9.72396e-22	4.28243e-26	2.97109e-29	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	1.38952e-30	2.78605e-28	5.81723e-25	5.06216e-22	1.89381e-18	7.41054e-17	6.73309e-14	4.46525e-11	1.66839e-10	5.06869e-09	6.48628e-06	0.00120602	1.74694e-05	2.6875e-08	8.55502e-09	1.12965e-05	0.00891671	0.965674	0.0240906	7.71342e-05	7.04104e-08	3.69647e-11	5.34238e-13	1.51213e-13	1.06291e-14	1.10923e-16	6.27161e-18	1.17875e-21	3.1271e-24	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
