NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.19797e-29	1.05171e-25	5.11716e-22	2.15599e-21	1.20547e-17	1.3585e-18	3.47687e-11	1.33333e-06	3.30739e-10	9.03614e-10	0.000279308	0.998518	0.00120092	4.18398e-08	2.08127e-11	8.36834e-12	1.09553e-12	1.83972e-14	1.42404e-19	5.40575e-22	1.1265e-24	1.52446e-27	1.47522e-30	1.0865e-33	6.36061e-37	3.05565e-40	1.23413e-43	4.2705e-47	1.28527e-50	3.4056e-54	8.02405e-58	1.69493e-61	3.23158e-65	5.59274e-69	8.82687e-73	1.27535e-76	1.69224e-80	2.06725e-84	2.32962e-88	2.42546e-92	2.37896e-96	
N2	5.64037e-31	4.34582e-26	1.76721e-21	8.68373e-19	1.49469e-14	3.22784e-13	3.4799e-10	2.0337e-07	5.71108e-08	1.52641e-06	0.00259521	0.492271	0.00569582	8.58518e-06	2.2136e-07	5.98687e-05	0.00495359	0.484669	0.00940698	0.000337153	1.29578e-06	1.66638e-09	2.39224e-11	4.65939e-12	9.87981e-14	2.65406e-15	2.97918e-16	1.27902e-19	3.0889e-22	1.07277e-24	3.15718e-28	6.65867e-31	2.34253e-34	2.12137e-37	1.32574e-39	5.9612e-41	1.52133e-43	5.323e-46	8.03305e-48	1.26011e-49	3.95534e-52	
N3	3.53398e-36	1.76801e-30	4.3094e-25	4.78423e-23	1.17027e-17	1.91188e-17	1.85796e-13	1.65365e-09	3.26166e-10	2.11469e-09	2.27676e-05	0.0123413	8.29727e-05	3.21785e-08	2.54251e-09	6.03321e-06	0.00582192	0.962035	0.0196035	8.66724e-05	9.55958e-08	3.91812e-11	5.95129e-14	4.10603e-16	9.46301e-19	1.5923e-21	3.56657e-24	4.12389e-28	8.30775e-32	1.36483e-35	7.08183e-40	9.60759e-44	6.9327e-45	5.60073e-47	2.10114e-48	2.44676e-48	2.0929e-48	6.94678e-50	4.39508e-51	1.66761e-52	4.95489e-54	
N4	3.48756e-37	1.16484e-31	1.89467e-26	9.84138e-24	8.89668e-19	1.65816e-17	6.85091e-14	1.47003e-10	8.23034e-11	2.15781e-09	1.26866e-05	0.00487616	4.46639e-05	3.1075e-08	3.90557e-09	9.913e-06	0.00972868	0.955866	0.0293442	0.000117778	1.29964e-07	6.45965e-11	3.25368e-13	4.77649e-14	1.86947e-15	1.39444e-17	4.42961e-19	8.56242e-23	9.61302e-26	2.17554e-29	1.43386e-33	5.83866e-37	2.34118e-39	2.99298e-41	5.57686e-42	5.24636e-41	2.14406e-40	1.83964e-41	4.66025e-42	1.57924e-42	1.33952e-43	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	7.91034e-35	5.70703e-30	2.14867e-25	1.16901e-22	2.07258e-18	5.88399e-17	8.42574e-14	9.9349e-11	3.71113e-10	1.08475e-08	1.78831e-05	0.00294048	4.44954e-05	8.37951e-08	5.36137e-08	4.87734e-05	0.0191083	0.934408	0.0431328	0.000297997	6.60166e-07	7.79587e-10	1.24685e-11	4.79532e-12	5.22555e-13	1.17883e-14	1.01987e-15	7.60555e-19	2.9123e-21	2.17662e-24	5.20344e-28	6.40656e-31	2.20387e-34	1.88179e-37	1.94854e-39	1.37761e-40	1.99023e-42	7.26677e-45	8.66033e-47	1.20147e-48	4.45849e-51	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.76466e-39	1.91877e-33	6.49315e-28	1.04303e-25	3.48994e-20	4.83227e-20	7.13089e-16	1.03977e-11	1.82471e-12	2.08984e-11	3.71338e-07	0.000427046	1.10596e-06	2.52721e-10	1.24922e-10	1.12579e-06	0.00313578	0.986861	0.00956163	1.23511e-05	4.88105e-09	1.03029e-12	1.60703e-15	2.22007e-17	9.85158e-20	1.78113e-22	5.28869e-25	5.15681e-29	1.11076e-32	9.46608e-37	2.90031e-41	2.25049e-45	8.2049e-46	8.18011e-48	6.20105e-49	2.43362e-48	6.59244e-47	2.72936e-48	2.93733e-49	2.08356e-50	8.038e-52	
N7	5.57733e-37	8.31524e-32	6.61209e-27	1.25493e-24	9.75763e-20	4.51503e-19	2.26875e-15	9.68908e-12	4.24249e-12	4.21546e-11	1.48191e-07	4.01598e-05	2.90148e-07	1.5037e-09	7.81121e-09	1.68891e-05	0.0118572	0.966813	0.0212035	6.91586e-05	7.58763e-08	5.89022e-11	4.43193e-13	1.54175e-14	1.8525e-16	1.10242e-18	8.4052e-21	3.1584e-24	1.96056e-27	5.92544e-31	7.46567e-35	1.93833e-38	3.52124e-42	1.80989e-45	4.00622e-48	2.38878e-50	3.92339e-53	4.40117e-56	1.07357e-58	1.44639e-61	1.25167e-64	
