NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.79203e-29	2.6256e-26	8.58701e-24	4.20288e-21	1.55197e-19	2.84046e-20	3.75808e-18	2.16438e-11	6.03481e-08	5.88925e-08	3.11208e-10	3.25682e-13	1.09308e-13	3.90742e-10	2.88061e-06	0.00327903	0.238206	0.641623	0.114949	0.00193451	5.57217e-06	4.15182e-09	1.05078e-12	1.8101e-18	1.26246e-20	6.34399e-23	2.38875e-25	6.95282e-28	1.60436e-30	2.99668e-33	4.61068e-36	5.93077e-39	6.45952e-42	6.02302e-45	4.85436e-48	3.41056e-51	2.10451e-54	1.14816e-57	5.57155e-61	2.41772e-64	9.5871e-68	
N2	1.5157e-28	2.28051e-25	2.80803e-22	2.64055e-19	5.82466e-17	1.19571e-15	2.887e-13	5.75723e-11	2.83553e-09	2.64155e-09	2.58063e-10	4.06561e-10	1.19307e-09	1.09761e-07	3.07527e-05	0.00397716	0.149618	0.59092	0.23756	0.0174954	0.00039508	3.67189e-06	1.68702e-08	8.51496e-11	2.9512e-12	2.5818e-12	1.05184e-13	4.83983e-14	1.28725e-15	3.18034e-16	5.59203e-18	7.44655e-19	6.25906e-21	4.86106e-22	7.54806e-25	2.94853e-26	1.89891e-29	2.55553e-31	1.02168e-34	7.07435e-37	2.47965e-39	
N3	1.4474e-33	1.43962e-29	4.11233e-26	2.03241e-22	6.54811e-20	2.19623e-20	2.28296e-17	5.04526e-14	5.22092e-11	2.19853e-10	4.24234e-11	2.75527e-12	5.09946e-13	4.12568e-10	5.03193e-07	0.000235535	0.0296664	0.529958	0.40824	0.031384	0.000512818	2.71038e-06	5.98389e-09	8.3867e-12	2.03983e-14	5.79409e-16	2.50408e-18	4.08276e-20	1.02672e-22	8.55931e-25	1.30628e-27	5.81642e-30	5.02046e-33	1.21187e-35	4.46312e-39	6.05988e-42	9.77489e-46	6.94486e-49	6.3972e-53	2.926e-56	5.14855e-60	
N4	1.66181e-35	1.02421e-31	3.3303e-28	1.32967e-24	6.22135e-22	7.2926e-21	8.32731e-18	8.11332e-15	1.74926e-12	4.60557e-12	8.32669e-13	2.44497e-13	1.19362e-12	9.16531e-10	8.42627e-07	0.00031122	0.032023	0.513305	0.416503	0.0371117	0.000740179	4.89546e-06	1.36401e-08	1.89059e-11	1.56579e-14	3.74459e-16	5.5384e-18	1.28306e-18	1.16849e-20	1.44121e-21	7.72548e-24	5.40836e-25	1.48792e-27	6.34694e-29	6.36406e-32	1.74681e-33	3.98407e-37	5.32896e-39	5.84634e-43	3.16172e-45	7.85434e-49	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	8.34254e-33	1.14503e-29	1.35621e-26	1.07921e-23	1.40493e-21	9.22775e-20	2.78819e-17	5.12392e-15	2.46857e-13	9.48723e-13	3.21931e-12	9.84279e-12	6.91773e-11	1.51186e-08	5.31299e-06	0.000860134	0.0462766	0.507496	0.401251	0.0428775	0.00122029	1.32472e-05	6.78103e-08	1.88085e-10	3.19864e-13	8.94549e-15	3.01154e-16	1.53348e-16	3.54548e-18	1.03902e-18	1.58721e-20	2.78292e-21	2.49881e-23	2.75465e-24	1.05262e-26	7.71398e-28	7.01863e-31	2.77571e-32	1.17078e-35	1.94495e-37	1.7608e-40	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.13973e-36	4.31407e-32	1.76353e-28	1.1975e-24	2.13862e-22	3.59385e-22	8.38623e-19	1.62326e-15	1.15304e-12	1.39487e-12	3.12132e-13	3.41017e-14	1.29677e-14	2.21866e-11	5.0433e-08	4.75262e-05	0.0134853	0.608572	0.362905	0.0148652	0.000123946	3.39275e-07	3.97365e-10	2.36649e-13	8.79413e-17	4.27437e-19	1.42872e-21	3.23495e-23	7.00414e-26	8.57975e-28	1.22291e-30	8.37329e-33	7.54772e-36	2.93743e-38	1.34367e-41	3.09298e-44	4.81331e-48	6.07975e-51	4.44868e-55	2.79321e-58	2.97844e-62	
N7	2.01441e-33	4.76123e-30	6.86206e-27	1.00204e-23	6.89486e-22	1.80454e-20	2.54748e-17	2.73556e-14	1.03238e-11	2.52345e-11	1.59772e-11	5.10988e-12	4.94622e-12	2.17736e-09	1.46385e-06	0.000436818	0.0423864	0.716396	0.230787	0.00987243	0.000118974	5.77025e-07	1.38008e-09	1.87401e-12	1.80747e-15	2.4359e-17	1.94609e-19	9.10084e-21	5.06258e-23	1.384e-24	5.50903e-27	8.98654e-29	2.58386e-31	2.48606e-33	4.56852e-36	2.44038e-38	1.4668e-41	4.25952e-44	1.21469e-47	1.78646e-50	7.26308e-54	
