NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.65415e-34	9.29432e-30	2.13206e-27	9.65214e-24	3.37409e-21	2.49702e-22	7.49681e-22	1.12294e-18	1.23132e-11	9.92027e-11	1.64505e-12	1.16455e-17	7.14115e-19	1.3783e-18	2.83955e-13	2.62903e-08	0.000302238	0.129974	0.720258	0.146821	0.00263655	7.63935e-06	5.19863e-09	1.06056e-12	1.45723e-18	7.83125e-21	2.77977e-23	6.73677e-26	1.14312e-28	1.38434e-31	1.21377e-34	7.7858e-38	3.67966e-41	1.28643e-44	3.33065e-48	6.37484e-52	8.97683e-56	9.2243e-60	6.83299e-64	3.58685e-68	1.33573e-72	
N2	2.54084e-34	5.55424e-30	2.12088e-26	4.68503e-23	1.42267e-19	1.05352e-18	4.53289e-18	1.11795e-15	3.32206e-13	4.80534e-12	3.18799e-11	1.5461e-10	4.13541e-10	8.2678e-10	2.29126e-08	9.40316e-06	0.00202053	0.113314	0.659572	0.212858	0.0120156	0.000208675	1.48688e-06	5.17284e-09	1.042e-11	8.18301e-13	1.75037e-14	9.98046e-15	1.07621e-16	3.06362e-17	1.72882e-19	2.47772e-20	7.46793e-23	5.20395e-24	7.64615e-27	2.43138e-28	6.71831e-32	6.95033e-34	6.94651e-38	8.89988e-41	9.42251e-45	
N3	2.25565e-38	1.15168e-32	2.94157e-29	1.08309e-24	3.17033e-20	9.89655e-21	3.06696e-20	7.44844e-16	8.26449e-12	2.93138e-10	1.34034e-10	1.79294e-11	1.24058e-12	2.87587e-13	5.02602e-10	1.15507e-06	0.000806104	0.101609	0.686828	0.202549	0.00812652	8.02451e-05	2.73318e-07	4.05009e-10	3.37042e-13	2.51467e-15	5.77819e-18	1.00577e-19	1.08462e-22	8.50759e-25	4.50671e-28	1.64203e-30	4.42512e-34	7.42638e-37	9.71062e-41	7.18273e-44	3.67371e-48	1.02552e-51	2.00325e-56	1.27522e-60	2.22196e-65	
N4	7.1636e-39	1.59022e-33	7.26252e-30	1.66529e-25	1.56554e-21	4.10022e-21	5.03545e-20	2.80013e-16	5.36052e-13	6.6304e-12	3.0622e-12	8.66984e-13	8.59324e-13	3.22306e-12	2.34082e-09	3.46415e-06	0.00159872	0.127938	0.669167	0.19305	0.00815335	8.89557e-05	3.44538e-07	5.77712e-10	4.80562e-13	6.44894e-16	2.87612e-18	6.89943e-19	2.44273e-21	2.87244e-22	4.92736e-25	2.79736e-26	2.20916e-29	6.16543e-31	1.79882e-34	2.50608e-36	1.69723e-40	9.88185e-43	1.90274e-47	1.85495e-50	5.36641e-55	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	5.94559e-36	1.39638e-31	3.33274e-28	1.70837e-24	1.99671e-21	1.84208e-20	3.82268e-19	3.06145e-16	1.04359e-13	1.12292e-12	5.76577e-12	2.74206e-11	8.56944e-11	3.7533e-10	6.67192e-08	3.08189e-05	0.00512028	0.18319	0.629695	0.173233	0.00859705	0.00013199	8.34213e-07	2.57499e-09	4.34861e-12	1.32147e-14	1.55342e-16	8.05461e-17	7.22796e-19	1.98836e-19	9.52534e-22	1.37035e-22	3.33844e-25	2.50402e-26	2.51876e-29	9.87248e-31	2.66433e-34	4.69118e-36	3.7087e-40	1.1896e-42	1.38524e-46	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.3082e-38	1.20475e-32	1.3296e-29	6.58815e-25	3.28496e-21	7.89007e-22	1.08362e-20	1.42157e-16	7.4156e-13	4.18949e-12	1.91544e-12	3.91064e-13	4.34972e-14	5.65526e-14	2.8177e-10	9.78276e-07	0.00105065	0.198166	0.708393	0.090837	0.00154564	6.79331e-06	1.09118e-08	7.87305e-12	2.94623e-15	2.89623e-18	4.26712e-21	9.88101e-23	8.67982e-26	9.83809e-28	4.42027e-31	2.4565e-33	5.77509e-37	1.54383e-39	1.78749e-43	2.19844e-46	9.17733e-51	4.64288e-54	6.46828e-59	7.2966e-63	1.01841e-67	
N7	3.52062e-35	2.10171e-30	1.6124e-27	3.26857e-23	3.00192e-20	4.75694e-20	3.38473e-18	2.25446e-14	4.86335e-11	1.9938e-10	2.06517e-10	1.05469e-10	3.12552e-11	6.49743e-11	6.52809e-08	5.12763e-05	0.0126521	0.547062	0.410712	0.0290447	0.000475708	2.78462e-06	7.36533e-09	1.03002e-11	9.23704e-15	1.02066e-16	4.04179e-19	1.64064e-20	3.54919e-23	7.47441e-25	8.92101e-28	9.75255e-30	6.57043e-33	3.60962e-35	1.34482e-38	3.43723e-41	5.24946e-45	5.45193e-48	3.00542e-52	5.75734e-56	2.78796e-60	
