NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	5.29121e-35	7.69112e-29	2.2798e-25	1.77707e-22	1.1676e-20	2.95381e-19	1.8785e-18	1.96413e-12	4.59057e-10	5.10075e-09	9.44532e-08	5.2929e-07	1.07623e-07	1.1126e-06	0.00106188	0.146192	0.663509	0.185838	0.00338979	7.45682e-06	3.33043e-09	4.24276e-13	7.58183e-19	3.3144e-21	9.9416e-24	2.13798e-26	3.41131e-29	4.1504e-32	3.9371e-35	2.96602e-38	1.80212e-41	8.94706e-45	3.67043e-48	1.25626e-51	3.61739e-55	8.82747e-59	1.83728e-62	3.27989e-66	5.04706e-70	6.72398e-74	8.18359e-78	
N2	1.57744e-36	2.68917e-30	3.91486e-26	2.37877e-22	1.02178e-19	1.83449e-17	2.3607e-15	1.76914e-12	3.09049e-10	1.8299e-09	6.61954e-09	6.09829e-08	5.679e-07	1.08571e-05	0.00123135	0.0709551	0.496367	0.38407	0.0458742	0.00146675	2.19468e-05	1.88943e-06	2.45597e-07	5.97214e-08	1.1677e-09	2.53863e-11	2.07948e-13	6.85236e-16	4.13467e-18	2.99499e-19	1.49614e-21	8.77684e-23	1.13827e-25	2.12874e-27	1.4924e-30	5.93603e-33	2.66215e-36	4.39106e-39	1.40019e-42	1.73829e-45	1.64674e-47	
N3	6.54694e-40	1.19615e-32	3.00676e-28	3.94084e-24	1.18508e-21	3.63954e-19	6.27408e-18	5.2939e-14	7.78688e-11	7.64729e-11	2.62839e-10	2.51032e-08	4.07495e-08	4.14057e-08	1.41958e-05	0.00325315	0.145354	0.699937	0.147048	0.00435885	3.52113e-05	1.40742e-07	7.99136e-10	8.82643e-12	2.80204e-14	6.59738e-17	1.0102e-19	6.63438e-23	3.92483e-26	5.87603e-29	2.71367e-32	4.3891e-35	1.12384e-38	8.44174e-42	1.15893e-45	3.38572e-49	2.76154e-53	4.03417e-57	2.07898e-61	1.97783e-65	2.52853e-69	
N4	7.7429e-42	1.0164e-34	2.85609e-30	8.2472e-26	4.73555e-23	1.30055e-20	1.77087e-18	4.73231e-15	1.27246e-12	3.03689e-12	1.73531e-11	4.73024e-10	1.58656e-09	3.24576e-08	1.39404e-05	0.00291528	0.132424	0.679405	0.178094	0.00707084	7.59001e-05	3.16079e-07	1.03718e-09	7.67189e-11	2.29203e-12	2.59228e-14	4.55005e-16	5.70153e-19	1.61703e-21	2.10269e-24	1.21184e-27	2.60234e-29	1.67105e-32	3.08704e-34	7.41854e-38	6.07306e-40	6.94439e-44	1.20689e-46	9.33974e-51	5.86338e-54	9.66081e-58	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.8688e-39	3.24595e-33	4.52328e-29	2.87146e-25	1.08092e-22	1.73552e-20	2.76095e-18	1.55283e-15	1.82269e-13	1.23788e-12	1.1695e-11	3.6979e-10	5.59596e-09	2.23438e-07	4.23331e-05	0.00459038	0.138456	0.642442	0.202376	0.0118694	0.000221119	1.76593e-06	9.20959e-09	8.43965e-10	6.598e-11	1.95122e-12	1.02564e-13	4.17154e-16	3.42765e-18	1.27617e-20	1.87678e-23	7.98488e-25	2.07282e-27	1.14293e-28	1.17014e-31	3.18164e-33	1.49732e-36	9.50689e-39	3.08637e-42	7.0493e-45	4.74372e-48	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	9.40258e-42	1.98184e-34	9.79041e-30	8.55703e-26	2.25375e-23	1.48792e-20	1.48922e-19	9.29788e-16	1.51606e-12	7.87799e-13	4.20356e-12	8.32174e-10	1.30027e-09	1.34353e-09	7.44651e-07	0.000415385	0.0544179	0.806661	0.136001	0.0024931	1.1677e-05	2.09632e-08	2.29114e-11	1.23902e-13	5.85719e-16	1.64355e-18	4.72582e-21	2.54687e-24	1.56222e-27	7.42457e-31	1.70899e-34	3.09904e-37	8.75632e-41	1.4352e-43	1.97714e-47	1.46092e-50	1.08457e-54	2.65634e-58	1.23298e-62	1.39052e-66	9.85994e-71	
N7	2.99184e-39	1.00713e-32	1.37466e-28	6.44224e-25	1.31789e-22	3.63736e-20	1.5446e-18	3.83877e-15	2.72161e-12	5.72451e-12	3.51962e-11	2.74455e-09	5.65438e-09	1.80643e-08	5.05097e-06	0.001173	0.0778035	0.777114	0.139724	0.0041406	3.89362e-05	1.59879e-07	3.83298e-10	2.57484e-12	3.13911e-14	2.80699e-16	2.5452e-18	4.36603e-21	7.16958e-24	8.71699e-27	5.31658e-30	1.66905e-32	1.7158e-35	8.04339e-38	5.51424e-41	1.34548e-43	4.30857e-47	2.89349e-50	5.52874e-54	1.9288e-57	5.51807e-61	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	7.35072e-49	1.29553e-40	2.83874e-35	1.1209e-30	8.50097e-28	2.20174e-24	2.27192e-23	7.6682e-19	3.82565e-15	1.06532e-15	1.09046e-14	4.04284e-12	8.71021e-12	1.04519e-11	3.50599e-08	7.79881e-05	0.0315298	0.847579	0.119695	0.00111684	1.96727e-06	1.08046e-09	2.81992e-13	9.13273e-16	3.54505e-18	4.34854e-21	1.0046e-23	1.51879e-27	4.80214e-31	2.01653e-32	9.78522e-34	2.81714e-34	4.29802e-36	1.87268e-36	1.2636e-38	3.27489e-39	1.10781e-41	8.05468e-43	2.12969e-45	5.80508e-47	3.0804e-49	
N9	4.67957e-42	4.59488e-36	9.10282e-33	8.76488e-30	1.77383e-28	2.10957e-26	2.26989e-24	3.86523e-20	7.4003e-17	4.84566e-17	5.35808e-16	1.33288e-13	7.70553e-13	1.44987e-11	4.72108e-08	8.69751e-05	0.0316867	0.847483	0.119565	0.00117592	2.32964e-06	1.51193e-09	4.82964e-13	1.41752e-14	5.01137e-16	2.20866e-18	4.33358e-20	1.73684e-23	2.49445e-26	6.2847e-30	3.46141e-34	2.88993e-36	6.59704e-40	1.90054e-41	1.11224e-45	1.80299e-47	2.83388e-52	6.9167e-55	7.52935e-60	3.87996e-63	9.71925e-68	
N10	2.86874e-45	1.58782e-38	4.34645e-34	5.40536e-30	3.48034e-27	2.12682e-24	4.28322e-22	1.9576e-18	2.24678e-15	1.96604e-14	3.23708e-13	3.71685e-11	2.7988e-10	4.01243e-09	1.87045e-06	0.000629697	0.0592407	0.799176	0.137665	0.00326428	2.28489e-05	6.70396e-08	1.16404e-10	2.88954e-12	1.17419e-13	1.79559e-15	5.26359e-17	8.16262e-20	2.14341e-22	2.33658e-25	1.02365e-28	8.05568e-31	1.21299e-33	2.28599e-35	1.79499e-38	1.8327e-40	4.10507e-44	6.31841e-47	9.25773e-51	4.99109e-54	1.28054e-57	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	8.79126e-43	1.07577e-35	4.44675e-31	4.72314e-27	1.94496e-24	1.53498e-21	6.12925e-20	3.40362e-16	5.32183e-13	7.71574e-13	5.15982e-12	8.2268e-10	1.20176e-09	2.09233e-09	9.45854e-07	0.000413642	0.0503915	0.8498	0.0977161	0.00166909	8.74483e-06	1.96829e-08	2.55363e-11	1.09166e-13	9.2596e-16	5.38039e-18	3.33381e-20	3.26619e-23	3.18581e-26	2.1337e-29	6.9472e-33	1.30835e-35	8.15607e-39	2.68143e-41	1.14378e-44	1.94299e-47	3.49879e-51	1.43316e-54	1.53518e-58	3.12214e-62	4.86167e-66	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	2.20682e-42	1.65947e-35	5.006e-31	4.95189e-27	2.05569e-24	1.24538e-21	7.34091e-20	3.18245e-16	3.71391e-13	8.28212e-13	6.22261e-12	7.35188e-10	1.57836e-09	4.78816e-09	1.86477e-06	0.000633043	0.0603755	0.818485	0.117917	0.00257107	1.72558e-05	4.97954e-08	8.3408e-11	5.3811e-13	6.76127e-15	5.50348e-17	4.9926e-19	6.41899e-22	8.55494e-25	7.54714e-28	3.19364e-31	8.77461e-34	7.54997e-37	3.71763e-39	2.14776e-42	5.45363e-45	1.27327e-48	7.29705e-52	1.01911e-55	2.83301e-59	5.88351e-63	
BGA303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	2.27962e-39	3.36726e-31	1.65437e-26	8.71016e-22	3.60331e-19	4.24201e-17	1.04023e-14	1.79467e-11	5.15303e-10	3.00211e-09	1.17427e-06	7.21172e-06	1.34327e-05	0.00152167	0.0666367	0.562586	0.360116	0.00910169	1.57194e-05	6.25743e-09	9.28153e-13	6.87529e-17	7.53909e-21	1.33445e-23	8.05612e-27	2.18607e-30	6.75049e-34	2.48786e-38	1.40562e-42	5.60747e-47	1.50438e-51	1.774e-53	1.30326e-52	1.63836e-53	5.83737e-56	7.99751e-57	2.74918e-58	9.87443e-59	7.00009e-59	4.25101e-58	3.32374e-58	
N14	1.45584e-36	1.29242e-29	1.11958e-24	3.28339e-21	1.81561e-17	1.98304e-15	7.31043e-14	2.17687e-11	1.95398e-08	8.73331e-06	0.000863736	0.0201813	0.142501	0.358232	0.343854	0.121687	0.012543	0.000129278	3.09341e-07	3.18219e-10	1.77278e-13	1.16214e-16	7.45361e-19	2.365e-20	1.44854e-22	3.91301e-25	6.44445e-28	1.73343e-31	1.01103e-34	2.96214e-35	1.14123e-35	4.19137e-35	8.86402e-36	6.40744e-35	5.82634e-36	3.12812e-36	5.06112e-38	2.62221e-39	1.85173e-41	5.47913e-43	4.2913e-44	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	6.40264e-34	4.81233e-28	9.97338e-24	3.03134e-20	7.04748e-17	1.9228e-14	2.75039e-12	7.69978e-10	2.85374e-07	5.18728e-05	0.00272333	0.0405109	0.202715	0.382932	0.284766	0.0795364	0.00668882	7.56375e-05	2.83508e-07	5.30442e-10	3.10149e-12	1.39442e-13	3.65973e-15	2.67418e-16	2.10345e-18	2.92128e-20	1.04468e-22	1.02074e-24	1.59507e-27	2.7356e-28	2.00872e-31	2.51997e-32	9.79837e-36	5.83936e-37	1.34055e-40	1.34611e-42	2.37995e-46	7.78112e-49	1.34559e-52	2.21314e-55	4.35342e-57	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
