NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.30078e-57	6.70599e-54	2.9406e-50	9.88538e-47	2.48821e-43	4.61683e-40	6.3569e-37	6.61837e-34	4.76223e-31	1.29404e-28	9.04705e-26	9.2151e-23	6.17856e-20	2.48408e-17	9.62082e-10	8.84757e-06	0.00914167	0.373136	0.564482	0.0525928	0.000637985	1.68694e-06	1.35155e-09	4.08988e-13	1.26842e-18	1.03043e-20	6.14712e-23	2.78607e-25	1.01869e-27	
N2	5.75757e-59	1.07546e-54	2.17438e-50	3.42025e-46	4.08353e-42	3.63231e-38	2.40332e-34	1.24332e-30	5.67641e-27	2.57518e-23	1.11496e-19	3.36627e-16	6.46287e-13	7.32204e-10	4.42071e-07	0.000122625	0.0123646	0.296	0.577931	0.108778	0.00473017	7.28569e-05	5.05842e-07	1.84439e-09	3.9218e-12	5.24777e-15	5.16835e-18	2.05961e-19	5.2172e-20	
N3	3.43665e-64	2.95814e-59	2.18429e-54	1.15701e-49	4.21326e-45	9.9751e-41	1.42301e-36	1.09283e-32	3.25889e-29	3.81872e-27	8.38694e-24	1.18985e-19	1.05029e-15	5.19757e-12	1.27799e-08	1.30326e-05	0.0041	0.228379	0.642998	0.120602	0.0038726	3.53303e-05	1.23354e-07	1.9953e-10	1.70489e-13	8.4607e-17	2.61994e-20	5.513e-24	2.44249e-27	
N4	5.30597e-68	5.53242e-63	6.03913e-58	5.4284e-53	3.84864e-48	2.03178e-43	7.45796e-39	1.73056e-34	1.88329e-30	5.52922e-27	7.98585e-23	8.97347e-19	6.049e-15	2.23635e-11	4.00613e-08	2.89612e-05	0.00631134	0.247159	0.622124	0.12009	0.00424273	4.4445e-05	1.82905e-07	3.54273e-10	3.65878e-13	2.20618e-16	8.33743e-20	6.31528e-23	5.85172e-24	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	2.92971e-60	3.83845e-56	6.71554e-52	1.14864e-47	1.94955e-43	3.15289e-39	4.49881e-35	5.24398e-31	4.6983e-27	3.08741e-23	1.42364e-19	4.38593e-16	8.51453e-13	9.63955e-10	5.71592e-07	0.000151627	0.0140173	0.2911	0.575863	0.113841	0.00495159	7.4375e-05	4.96808e-07	1.72942e-09	3.49491e-12	4.43226e-15	3.74777e-18	5.38914e-21	8.96491e-22	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	2.37258e-66	2.55151e-61	2.32184e-56	1.50547e-51	6.73913e-47	2.01679e-42	3.96235e-38	5.22944e-34	4.54714e-30	7.43289e-28	3.89023e-25	8.07079e-21	1.09887e-16	8.57497e-13	3.42874e-09	5.92319e-06	0.0033134	0.333189	0.608796	0.0539099	0.000783134	3.31258e-06	5.569e-09	4.50084e-12	1.98451e-15	5.21937e-19	8.74784e-23	1.04343e-26	7.71063e-30	
N7	2.10195e-58	3.3586e-54	5.06165e-50	5.51693e-46	4.1858e-42	2.12226e-38	7.01247e-35	1.61911e-31	3.63704e-28	1.53541e-24	1.12606e-20	5.68239e-17	1.8246e-13	3.44618e-10	3.42679e-07	0.000151588	0.0224151	0.612447	0.343766	0.0208933	0.000325563	1.94073e-06	5.52959e-09	8.66501e-12	8.22135e-15	5.06434e-18	2.13702e-21	6.98024e-25	1.31454e-27	
