NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	6.96497e-60	5.41026e-56	3.95801e-52	2.47066e-48	1.28808e-44	5.51409e-41	1.90426e-37	5.19671e-34	1.09287e-30	1.71679e-27	1.93689e-24	1.49189e-21	7.33791e-19	1.49136e-12	3.2219e-08	0.000124163	0.0450605	0.575791	0.362588	0.0163295	0.000106193	1.60807e-07	7.71307e-11	2.06924e-17	1.90155e-19	1.24e-21	5.98131e-24	2.20503e-26	6.60207e-29	
N2	7.55244e-60	2.33118e-55	7.58281e-51	2.01251e-46	4.29412e-42	7.25832e-38	9.55343e-34	9.59479e-30	7.17705e-26	3.88284e-22	1.46534e-18	3.68574e-15	5.82515e-12	5.34516e-09	2.54809e-06	0.000533629	0.0369544	0.46198	0.444462	0.0543096	0.00173701	2.10148e-05	1.19233e-07	3.64695e-10	6.62655e-13	7.68029e-16	5.99466e-19	3.29389e-22	1.47318e-25	
N3	2.26748e-63	4.77141e-62	1.44409e-60	1.07635e-55	1.3119e-50	1.23508e-45	8.82832e-41	4.69318e-36	1.80935e-31	4.90395e-27	8.98717e-23	1.05954e-18	7.52724e-15	2.94879e-11	5.61671e-08	4.30258e-05	0.009696	0.356677	0.562064	0.0698779	0.00163067	1.14269e-05	3.17814e-08	4.20148e-11	2.98996e-14	1.25359e-17	3.31422e-21	5.82491e-25	7.59191e-29	
N4	5.99969e-70	1.12475e-64	1.93988e-59	2.62702e-54	2.75862e-49	2.21412e-44	1.33485e-39	5.91869e-35	1.88098e-30	4.15046e-26	6.1101e-22	5.70348e-18	3.15831e-14	9.48294e-11	1.36032e-07	7.72275e-05	0.0128185	0.361153	0.550162	0.0737963	0.00197665	1.64843e-05	5.5676e-08	9.03573e-11	7.93541e-14	4.11303e-17	1.34359e-20	2.913e-24	4.73133e-28	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	1.81769e-60	6.09163e-56	2.09643e-51	5.88788e-47	1.33101e-42	2.38571e-38	3.33167e-34	3.55106e-30	2.81862e-26	1.61732e-22	6.46799e-19	1.72195e-15	2.87634e-12	2.78589e-09	1.40188e-06	0.000311755	0.0236641	0.386183	0.511985	0.0751768	0.00264375	3.35705e-05	1.94609e-07	5.98001e-10	1.07947e-12	1.23351e-15	9.44256e-19	5.06547e-22	2.18953e-25	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	3.3971e-70	2.70204e-69	5.81601e-64	1.39934e-58	2.6119e-53	3.74046e-48	4.05256e-43	3.26385e-38	1.9116e-33	7.92119e-29	2.24279e-24	4.14883e-20	4.72629e-16	3.05874e-12	1.00216e-08	1.39378e-05	0.00610325	0.455948	0.50665	0.0309426	0.000341509	1.15903e-06	1.6166e-09	1.10837e-12	4.21152e-16	9.65682e-20	1.42306e-23	1.41436e-27	1.04556e-31	
N7	8.99495e-64	4.94221e-59	2.60682e-54	1.13128e-49	3.98665e-45	1.12393e-40	2.49133e-36	4.2545e-32	5.46357e-28	5.12405e-24	3.38547e-20	1.50586e-16	4.25148e-13	7.0375e-10	6.10302e-07	0.000233558	0.0294368	0.664273	0.29106	0.0147937	0.000200701	1.06572e-06	2.74363e-09	3.92232e-12	3.41866e-15	1.94454e-18	7.60127e-22	2.12694e-25	4.74807e-29	
