#Nodes with GAIN events
B3088: 1
BGA309: 3
N6: 1
N7: 1
B11696: 1
B983: 2
N12: 1
Rhamar: 1
N19: 2
F3015: 1
Furpol: 1
FGA331: 2
FGA489: 1
FurbGB: 1
Calboe: 1
N60: 2
N79: 1
Chanam: 1
N83: 1
Braset: 1
N90: 1
Total number of gain events: 27
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
BGA709: 2
BGA309: 2
N6: 1
B11696: 1
B11609: 1
N8: 1
B11604: 1
PGA445: 2
Rhaspe: 2
Rhamar: 2
Rhatem: 3
N17: 1
N18: 1
FGA379: 3
N35: 1
FGA99: 1
FGA489: 2
FurbGB: 1
CGA312: 1
CGA365: 1
CGA494: 1
Cl11778: 1
N56: 4
C2208: 1
N60: 1
Triowe: 1
Trijoh: 1
N70: 1
N75: 1
Kinxen: 2
Chadil: 1
Chanam: 1
N83: 6
Bradam: 1
Total number of loss events: 54
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	0	0
BGA709	0	2	0	0	0
BGA309	3	2	0	0	0
B11696	3	2	0	0	0
B11609	2	2	0	0	0
B983	3	2	0	0	0
B11604	1	3	0	0	0
BGAA1	1	2	0	0	0
BGA584	1	2	0	0	0
BGA303	2	2	0	0	0
BGAB1	2	2	0	0	0
PGA445	0	2	0	0	0
Rhaspe	0	2	0	0	0
Rhamar	1	2	0	0	0
Rhatem	0	3	0	0	0
FGA379	0	5	0	0	0
F3015	3	2	0	0	0
F1476	2	2	0	0	0
Furcep	2	2	0	0	0
Furpol	3	2	0	0	0
F2241	2	2	0	0	0
Furang	2	2	0	0	0
FGA490	2	2	0	0	0
FGA456	2	2	0	0	0
FGA513	2	2	0	0	0
F12278	2	2	0	0	0
Furant	2	3	0	0	0
FGA331	4	3	0	0	0
FGA465	2	2	0	0	0
FGA99	2	3	0	0	0
FGA15	2	2	0	0	0
FGA581	2	2	0	0	0
FGA104	2	2	0	0	0
FGA489	3	4	0	0	0
FGA174	2	2	0	0	0
FurbGB	3	3	0	0	0
CGA312	0	2	0	0	0
CGA642	0	1	0	0	0
CGA763	0	1	0	0	0
C601	0	1	0	0	0
CGA236	0	1	0	0	0
Calboe	1	1	0	0	0
C3125	0	1	0	0	0
CGA429	0	1	0	0	0
C984	0	1	0	0	0
CGA310	0	1	0	0	0
CGA365	0	2	0	0	0
CGA494	0	2	0	0	0
C12265	0	1	0	0	0
C404	0	1	0	0	0
Cl11778	0	2	0	0	0
CGA48	0	1	0	0	0
C3126	0	1	0	0	0
CGA311	0	5	0	0	0
CGA45	0	5	0	0	0
C3043	0	5	0	0	0
CGA364	0	5	0	0	0
C2208	0	6	0	0	0
CGA453	2	2	0	0	0
CGA501	2	2	0	0	0
C3121	2	2	0	0	0
Calparcri	2	2	0	0	0
C3118	2	2	0	0	0
Triowe	0	1	0	0	0
Trijoh	0	1	0	0	0
Trimel	0	0	0	0	0
Trihoe	0	1	0	0	0
Tribit	0	1	0	0	0
Trijac	0	1	0	0	0
Tricri	0	0	0	0	0
Triwie	0	0	0	0	0
Triqua	0	0	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	1	0	0	0
Kinxen	0	2	0	0	0
Chaafr	1	0	0	0	0
Chacha	1	0	0	0	0
Chacaly	1	0	0	0	0
Chazey	1	0	0	0	0
Chadil	0	1	0	0	0
Chasen	0	0	0	0	0
Chanam	1	1	0	0	0
Braset	2	6	0	0	0
Bramel	1	6	0	0	0
Bratha	1	6	0	0	0
Bradra	1	6	0	0	0
Bratra	1	6	0	0	0
Bragut	1	6	0	0	0
Braven	1	6	0	0	0
Brapum	2	6	0	0	0
Bradam	2	7	0	0	0
