#Nodes with GAIN events
B3088: 1
B11609: 1
B11604: 1
N11: 1
Furpol: 1
FGA174: 1
N39: 1
C3125: 1
CGA310: 1
CGA48: 1
N60: 1
Trihoe: 1
N78: 1
Total number of gain events: 13
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
N5: 1
BGA709: 1
B11696: 1
B11604: 1
N12: 1
BGA303: 1
BGAB1: 1
PGA445: 3
Rhaspe: 1
Rhamar: 3
FGA379: 4
N19: 1
F3015: 1
F1476: 1
Furpol: 1
FGA490: 1
N33: 1
FGA331: 2
FGA99: 1
N37: 1
FGA15: 3
FGA174: 2
FurbGB: 1
CGA642: 1
Calboe: 1
CGA429: 1
N51: 1
CGA494: 1
C3126: 1
N60: 1
N69: 1
N70: 1
Trijac: 1
Triqua: 1
N75: 1
Kinfis: 1
Kinxen: 2
N79: 1
Chacaly: 1
Chazey: 1
N83: 2
N87: 2
Total number of loss events: 57
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	0	0
BGA709	0	2	0	0	0
BGA309	0	1	0	0	0
B11696	0	1	0	0	0
B11609	1	0	0	0	0
B983	0	0	0	0	0
B11604	1	1	0	0	0
BGAA1	1	0	0	0	0
BGA584	1	0	0	0	0
BGA303	0	2	0	0	0
BGAB1	0	2	0	0	0
PGA445	0	3	0	0	0
Rhaspe	0	1	0	0	0
Rhamar	0	3	0	0	0
Rhatem	0	0	0	0	0
FGA379	0	4	0	0	0
F3015	0	2	0	0	0
F1476	0	2	0	0	0
Furcep	0	1	0	0	0
Furpol	1	2	0	0	0
F2241	0	1	0	0	0
Furang	0	1	0	0	0
FGA490	0	2	0	0	0
FGA456	0	2	0	0	0
FGA513	0	2	0	0	0
F12278	0	2	0	0	0
Furant	0	1	0	0	0
FGA331	0	3	0	0	0
FGA465	0	1	0	0	0
FGA99	0	2	0	0	0
FGA15	0	5	0	0	0
FGA581	0	2	0	0	0
FGA104	0	1	0	0	0
FGA489	0	1	0	0	0
FGA174	1	3	0	0	0
FurbGB	0	2	0	0	0
CGA312	1	0	0	0	0
CGA642	1	1	0	0	0
CGA763	1	0	0	0	0
C601	1	0	0	0	0
CGA236	1	0	0	0	0
Calboe	1	1	0	0	0
C3125	2	0	0	0	0
CGA429	1	1	0	0	0
C984	1	0	0	0	0
CGA310	2	0	0	0	0
CGA365	1	1	0	0	0
CGA494	1	2	0	0	0
C12265	1	0	0	0	0
C404	1	0	0	0	0
Cl11778	1	0	0	0	0
CGA48	2	0	0	0	0
C3126	1	1	0	0	0
CGA311	1	0	0	0	0
CGA45	1	0	0	0	0
C3043	1	0	0	0	0
CGA364	1	0	0	0	0
C2208	1	0	0	0	0
CGA453	1	1	0	0	0
CGA501	1	1	0	0	0
C3121	1	1	0	0	0
Calparcri	1	1	0	0	0
C3118	1	1	0	0	0
Triowe	0	0	0	0	0
Trijoh	0	1	0	0	0
Trimel	0	1	0	0	0
Trihoe	1	1	0	0	0
Tribit	0	1	0	0	0
Trijac	0	2	0	0	0
Tricri	0	0	0	0	0
Triwie	0	0	0	0	0
Triqua	0	1	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	2	0	0	0
Kinxen	0	2	0	0	0
Chaafr	1	1	0	0	0
Chacha	1	1	0	0	0
Chacaly	1	2	0	0	0
Chazey	1	2	0	0	0
Chadil	1	0	0	0	0
Chasen	1	0	0	0	0
Chanam	0	0	0	0	0
Braset	0	2	0	0	0
Bramel	0	4	0	0	0
Bratha	0	4	0	0	0
Bradra	0	2	0	0	0
Bratra	0	2	0	0	0
Bragut	0	2	0	0	0
Braven	0	2	0	0	0
Brapum	0	2	0	0	0
Bradam	0	2	0	0	0
