#Nodes with GAIN events
N3: 1
BGA709: 1
N6: 1
PGA445: 1
Rhamar: 2
Rhatem: 1
FGA379: 1
F12278: 1
CGA642: 1
N66: 1
N67: 1
N74: 1
N77: 1
N89: 1
Total number of gain events: 15
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
N11: 1
PGA445: 1
Rhamar: 2
Rhatem: 1
FGA379: 1
FGA513: 1
FGA174: 1
N44: 1
N50: 1
C12265: 1
CGA45: 1
N70: 1
Triwie: 1
Triqua: 1
Kinfis: 1
N78: 1
Chasen: 1
Bradra: 1
Total number of loss events: 20
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Rhatem: 1
FGA104: 1
Trimel: 1
Braset: 1
Total number of demi-dulications events: 4
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	0	0
BGA709	2	0	0	0	0
BGA309	1	0	0	0	0
B11696	2	0	0	0	0
B11609	2	0	0	0	0
B983	2	0	0	0	0
B11604	2	0	0	0	0
BGAA1	2	1	0	0	0
BGA584	2	1	0	0	0
BGA303	2	0	0	0	0
BGAB1	2	0	0	0	0
PGA445	1	1	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	2	2	0	0	0
Rhatem	1	1	0	1	0
FGA379	1	1	0	0	0
F3015	0	0	0	0	0
F1476	0	0	0	0	0
Furcep	0	0	0	0	0
Furpol	0	0	0	0	0
F2241	0	0	0	0	0
Furang	0	0	0	0	0
FGA490	0	0	0	0	0
FGA456	0	0	0	0	0
FGA513	0	1	0	0	0
F12278	1	0	0	0	0
Furant	0	0	0	0	0
FGA331	0	0	0	0	0
FGA465	0	0	0	0	0
FGA99	0	0	0	0	0
FGA15	0	0	0	0	0
FGA581	0	0	0	0	0
FGA104	0	0	0	1	0
FGA489	0	0	0	0	0
FGA174	0	1	0	0	0
FurbGB	0	0	0	0	0
CGA312	0	0	0	0	0
CGA642	1	1	0	0	0
CGA763	0	1	0	0	0
C601	0	1	0	0	0
CGA236	0	0	0	0	0
Calboe	0	0	0	0	0
C3125	0	0	0	0	0
CGA429	0	0	0	0	0
C984	0	0	0	0	0
CGA310	0	1	0	0	0
CGA365	0	1	0	0	0
CGA494	0	1	0	0	0
C12265	0	1	0	0	0
C404	0	0	0	0	0
Cl11778	0	0	0	0	0
CGA48	0	0	0	0	0
C3126	0	0	0	0	0
CGA311	0	0	0	0	0
CGA45	0	1	0	0	0
C3043	0	0	0	0	0
CGA364	0	0	0	0	0
C2208	0	0	0	0	0
CGA453	0	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	0	0	0	0	0
C3118	0	0	0	0	0
Triowe	2	0	0	0	0
Trijoh	2	0	0	0	0
Trimel	2	0	0	1	0
Trihoe	2	1	0	0	0
Tribit	2	1	0	0	0
Trijac	2	1	0	0	0
Tricri	1	0	0	0	0
Triwie	1	1	0	0	0
Triqua	1	1	0	0	0
Kinboe	1	0	0	0	0
Kinfis	1	1	0	0	0
Kinxen	1	0	0	0	0
Chaafr	1	1	0	0	0
Chacha	1	1	0	0	0
Chacaly	1	1	0	0	0
Chazey	1	1	0	0	0
Chadil	1	1	0	0	0
Chasen	1	2	0	0	0
Chanam	1	0	0	0	0
Braset	0	0	0	1	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	1	0	0	0
Bratra	0	0	0	0	0
Bragut	1	0	0	0	0
Braven	1	0	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
