#Nodes with GAIN events
B11604: 1
Rhamar: 2
FGA104: 1
N48: 1
CGA311: 1
CGA453: 1
N75: 1
Chadil: 1
Total number of gain events: 9
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
BGA709: 1
N7: 1
BGA303: 1
Rhaspe: 1
Rhamar: 1
N18: 1
F1476: 1
N28: 1
Furang: 1
N30: 1
FGA456: 1
F12278: 1
Furant: 1
FGA465: 1
FGA99: 1
FGA489: 1
CGA312: 1
CGA365: 1
C404: 1
C2208: 1
C3118: 1
N68: 1
Triowe: 1
Kinxen: 1
N86: 1
Total number of loss events: 26
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N3: 1
N14: 1
N30: 1
CGA45: 1
N65: 1
Total number of demi-dulications events: 5
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	1	0
BGA709	0	2	0	1	0
BGA309	0	1	0	1	0
B11696	0	2	0	1	0
B11609	0	2	0	1	0
B983	0	1	0	1	0
B11604	1	1	0	1	0
BGAA1	0	1	0	1	0
BGA584	0	1	0	1	0
BGA303	0	2	0	1	0
BGAB1	0	1	0	1	0
PGA445	0	0	0	0	0
Rhaspe	0	1	0	1	0
Rhamar	2	1	0	1	0
Rhatem	0	0	0	1	0
FGA379	0	1	0	0	0
F3015	0	1	0	0	0
F1476	0	2	0	0	0
Furcep	0	1	0	0	0
Furpol	0	1	0	0	0
F2241	0	2	0	0	0
Furang	0	3	0	0	0
FGA490	0	2	0	0	0
FGA456	0	3	0	1	0
FGA513	0	2	0	1	0
F12278	0	3	0	1	0
Furant	0	3	0	1	0
FGA331	0	2	0	1	0
FGA465	0	3	0	1	0
FGA99	0	3	0	1	0
FGA15	0	2	0	1	0
FGA581	0	2	0	1	0
FGA104	1	1	0	0	0
FGA489	0	2	0	0	0
FGA174	0	1	0	0	0
FurbGB	0	1	0	0	0
CGA312	0	1	0	0	0
CGA642	0	0	0	0	0
CGA763	0	0	0	0	0
C601	0	0	0	0	0
CGA236	0	0	0	0	0
Calboe	1	0	0	0	0
C3125	1	0	0	0	0
CGA429	0	0	0	0	0
C984	0	0	0	0	0
CGA310	0	0	0	0	0
CGA365	0	1	0	0	0
CGA494	0	0	0	0	0
C12265	0	0	0	0	0
C404	0	1	0	0	0
Cl11778	0	0	0	0	0
CGA48	0	0	0	0	0
C3126	0	0	0	0	0
CGA311	1	0	0	0	0
CGA45	0	0	0	1	0
C3043	0	0	0	0	0
CGA364	0	0	0	0	0
C2208	0	1	0	0	0
CGA453	1	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	0	0	0	0	0
C3118	0	1	0	0	0
Triowe	0	2	0	1	0
Trijoh	0	1	0	1	0
Trimel	0	1	0	1	0
Trihoe	0	0	0	1	0
Tribit	0	0	0	1	0
Trijac	0	0	0	1	0
Tricri	0	0	0	1	0
Triwie	0	0	0	1	0
Triqua	0	0	0	1	0
Kinboe	1	0	0	1	0
Kinfis	1	0	0	1	0
Kinxen	0	1	0	1	0
Chaafr	0	0	0	0	0
Chacha	0	0	0	0	0
Chacaly	0	0	0	0	0
Chazey	0	0	0	0	0
Chadil	1	0	0	0	0
Chasen	0	0	0	0	0
Chanam	0	0	0	0	0
Braset	0	0	0	0	0
Bramel	0	1	0	0	0
Bratha	0	1	0	0	0
Bradra	0	1	0	0	0
Bratra	0	1	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
