#Nodes with GAIN events
B3088: 1
Rhaspe: 1
Rhamar: 1
FGA465: 1
FGA489: 1
N54: 1
N60: 1
Tricri: 1
Kinfis: 1
N83: 1
N84: 1
Bradam: 1
Total number of gain events: 12
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
BGA709: 1
B11696: 1
B11609: 1
BGA584: 1
BGAB1: 1
PGA445: 1
N13: 1
Rhaspe: 1
Rhamar: 1
Rhatem: 1
N28: 1
FGA490: 1
Furant: 1
FGA15: 1
FGA581: 1
FGA104: 1
FurbGB: 1
CGA312: 1
CGA494: 1
C3126: 1
CGA311: 2
N57: 1
CGA453: 1
N66: 1
N71: 1
N72: 1
Triqua: 2
N79: 1
Chadil: 1
Chanam: 2
N83: 1
Total number of loss events: 34
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
B3088: 1
B11609: 1
B11604: 1
N56: 2
Total number of demi-dulications events: 5
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
N56: 1
Total number of transitions to max chromosome: 1
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	0	0	1	0
BGA709	0	1	0	0	0
BGA309	0	0	0	0	0
B11696	0	1	0	0	0
B11609	0	1	0	1	0
B983	0	0	0	0	0
B11604	0	0	0	1	0
BGAA1	0	0	0	0	0
BGA584	0	1	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	1	0	0	0
Rhaspe	1	2	0	0	0
Rhamar	1	2	0	0	0
Rhatem	0	2	0	0	0
FGA379	0	1	0	0	0
F3015	0	1	0	0	0
F1476	0	1	0	0	0
Furcep	0	1	0	0	0
Furpol	0	1	0	0	0
F2241	0	2	0	0	0
Furang	0	2	0	0	0
FGA490	0	3	0	0	0
FGA456	0	1	0	0	0
FGA513	0	1	0	0	0
F12278	0	1	0	0	0
Furant	0	2	0	0	0
FGA331	0	1	0	0	0
FGA465	1	1	0	0	0
FGA99	0	1	0	0	0
FGA15	0	2	0	0	0
FGA581	0	2	0	0	0
FGA104	0	2	0	0	0
FGA489	1	1	0	0	0
FGA174	0	1	0	0	0
FurbGB	0	2	0	0	0
CGA312	0	2	0	0	0
CGA642	0	1	0	0	0
CGA763	0	1	0	0	0
C601	0	1	0	0	0
CGA236	0	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	1	0	0	0
CGA429	0	1	0	0	0
C984	0	1	0	0	0
CGA310	0	1	0	0	0
CGA365	0	1	0	0	0
CGA494	0	2	0	0	0
C12265	0	1	0	0	0
C404	1	1	0	0	0
Cl11778	1	1	0	0	0
CGA48	1	1	0	0	0
C3126	0	2	0	0	0
CGA311	0	3	0	2	0
CGA45	0	2	0	2	0
C3043	0	2	0	2	0
CGA364	0	2	0	2	0
C2208	0	2	0	2	0
CGA453	1	2	0	0	0
CGA501	1	1	0	0	0
C3121	1	1	0	0	0
Calparcri	1	1	0	0	0
C3118	1	1	0	0	0
Triowe	0	2	0	0	0
Trijoh	0	2	0	0	0
Trimel	0	2	0	0	0
Trihoe	0	3	0	0	0
Tribit	0	3	0	0	0
Trijac	0	2	0	0	0
Tricri	1	3	0	0	0
Triwie	0	3	0	0	0
Triqua	0	5	0	0	0
Kinboe	0	1	0	0	0
Kinfis	1	1	0	0	0
Kinxen	0	1	0	0	0
Chaafr	0	2	0	0	0
Chacha	0	2	0	0	0
Chacaly	0	2	0	0	0
Chazey	0	2	0	0	0
Chadil	0	2	0	0	0
Chasen	0	1	0	0	0
Chanam	0	3	0	0	0
Braset	2	2	0	0	0
Bramel	2	2	0	0	0
Bratha	2	2	0	0	0
Bradra	2	2	0	0	0
Bratra	2	2	0	0	0
Bragut	2	2	0	0	0
Braven	2	2	0	0	0
Brapum	1	2	0	0	0
Bradam	2	2	0	0	0
