#Nodes with GAIN events
BGA709: 1
N13: 2
Braven: 1
Total number of gain events: 4
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
B3088: 1
B983: 1
Rhaspe: 1
N20: 1
F3015: 2
Furpol: 1
FGA513: 1
FGA104: 1
CGA312: 1
CGA365: 1
C404: 1
CGA364: 1
C2208: 1
CGA453: 1
N70: 1
Kinboe: 1
Kinxen: 2
Chanam: 2
N83: 3
Brapum: 1
Total number of loss events: 26
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Rhamar: 1
FGA379: 1
N19: 1
N47: 1
Calparcri: 1
Chadil: 1
Total number of transitions to max chromosome: 6
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	2	0	0	0
BGA709	1	1	0	0	0
BGA309	0	1	0	0	0
B11696	0	1	0	0	0
B11609	0	1	0	0	0
B983	0	2	0	0	0
B11604	0	1	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	1	0	0	0
BGA303	0	1	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	0	0	0	0
Rhaspe	2	1	0	0	0
Rhamar	2	0	0	0	0
Rhatem	2	0	0	0	0
FGA379	2	0	0	0	0
F3015	2	3	0	0	0
F1476	2	1	0	0	0
Furcep	2	1	0	0	0
Furpol	2	2	0	0	0
F2241	2	1	0	0	0
Furang	2	1	0	0	0
FGA490	2	1	0	0	0
FGA456	2	1	0	0	0
FGA513	2	2	0	0	0
F12278	2	1	0	0	0
Furant	2	1	0	0	0
FGA331	2	1	0	0	0
FGA465	2	1	0	0	0
FGA99	2	1	0	0	0
FGA15	2	1	0	0	0
FGA581	2	1	0	0	0
FGA104	2	2	0	0	0
FGA489	2	1	0	0	0
FGA174	2	1	0	0	0
FurbGB	2	0	0	0	0
CGA312	2	1	0	0	0
CGA642	2	0	0	0	0
CGA763	2	0	0	0	0
C601	2	0	0	0	0
CGA236	2	0	0	0	0
Calboe	2	0	0	0	0
C3125	2	0	0	0	0
CGA429	2	0	0	0	0
C984	2	0	0	0	0
CGA310	2	0	0	0	0
CGA365	2	1	0	0	0
CGA494	2	0	0	0	0
C12265	2	0	0	0	0
C404	2	1	0	0	0
Cl11778	2	0	0	0	0
CGA48	2	0	0	0	0
C3126	2	0	0	0	0
CGA311	2	0	0	0	0
CGA45	2	0	0	0	0
C3043	2	0	0	0	0
CGA364	2	1	0	0	0
C2208	2	1	0	0	0
CGA453	2	1	0	0	0
CGA501	2	0	0	0	0
C3121	2	0	0	0	0
Calparcri	2	0	0	0	0
C3118	2	0	0	0	0
Triowe	2	0	0	0	0
Trijoh	2	0	0	0	0
Trimel	2	0	0	0	0
Trihoe	2	1	0	0	0
Tribit	2	1	0	0	0
Trijac	2	1	0	0	0
Tricri	2	0	0	0	0
Triwie	2	0	0	0	0
Triqua	2	0	0	0	0
Kinboe	2	1	0	0	0
Kinfis	2	0	0	0	0
Kinxen	2	2	0	0	0
Chaafr	2	0	0	0	0
Chacha	2	0	0	0	0
Chacaly	2	0	0	0	0
Chazey	2	0	0	0	0
Chadil	2	0	0	0	0
Chasen	2	0	0	0	0
Chanam	2	2	0	0	0
Braset	2	3	0	0	0
Bramel	2	3	0	0	0
Bratha	2	3	0	0	0
Bradra	2	3	0	0	0
Bratra	2	3	0	0	0
Bragut	2	3	0	0	0
Braven	3	3	0	0	0
Brapum	2	4	0	0	0
Bradam	2	3	0	0	0
