#Nodes with GAIN events
BGA709: 1
BGA309: 1
N11: 1
Rhamar: 1
Rhatem: 1
N20: 1
F3015: 1
Furcep: 1
N37: 1
FGA489: 2
CGA312: 1
C984: 1
C12265: 1
N72: 1
Kinboe: 1
N78: 1
Total number of gain events: 17
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
BGA309: 1
Rhamar: 1
FGA379: 1
F3015: 1
Furpol: 1
FGA465: 1
FurbGB: 2
CGA429: 2
CGA310: 1
N56: 1
C2208: 1
N68: 2
Trimel: 1
Tribit: 1
N77: 1
N78: 1
Chanam: 1
Total number of loss events: 20
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N7: 1
N30: 1
CGA494: 1
Kinxen: 1
Total number of demi-dulications events: 4
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Kinxen: 1
Total number of transitions to max chromosome: 1
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	0	0	0	0
BGA709	1	0	0	0	0
BGA309	1	1	0	0	0
B11696	0	0	0	1	0
B11609	0	0	0	1	0
B983	0	0	0	0	0
B11604	0	0	0	0	0
BGAA1	1	0	0	0	0
BGA584	1	0	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	0	0	0	0
PGA445	0	0	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	1	1	0	0	0
Rhatem	1	0	0	0	0
FGA379	0	1	0	0	0
F3015	2	1	0	0	0
F1476	1	0	0	0	0
Furcep	2	0	0	0	0
Furpol	1	1	0	0	0
F2241	1	0	0	0	0
Furang	1	0	0	0	0
FGA490	1	0	0	0	0
FGA456	1	0	0	1	0
FGA513	1	0	0	1	0
F12278	1	0	0	1	0
Furant	1	0	0	1	0
FGA331	1	0	0	1	0
FGA465	1	1	0	1	0
FGA99	1	0	0	1	0
FGA15	2	0	0	1	0
FGA581	2	0	0	1	0
FGA104	1	0	0	0	0
FGA489	3	0	0	0	0
FGA174	1	0	0	0	0
FurbGB	0	2	0	0	0
CGA312	1	0	0	0	0
CGA642	0	0	0	0	0
CGA763	0	0	0	0	0
C601	0	0	0	0	0
CGA236	0	0	0	0	0
Calboe	0	0	0	0	0
C3125	0	0	0	0	0
CGA429	0	2	0	0	0
C984	1	0	0	0	0
CGA310	0	1	0	0	0
CGA365	0	0	0	0	0
CGA494	0	0	0	1	0
C12265	1	0	0	0	0
C404	0	0	0	0	0
Cl11778	0	0	0	0	0
CGA48	0	0	0	0	0
C3126	0	0	0	0	0
CGA311	0	1	0	0	0
CGA45	0	1	0	0	0
C3043	0	1	0	0	0
CGA364	0	1	0	0	0
C2208	0	2	0	0	0
CGA453	0	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	0	0	0	0	0
C3118	0	0	0	0	0
Triowe	0	2	0	0	0
Trijoh	0	2	0	0	0
Trimel	0	3	0	0	0
Trihoe	0	0	0	0	0
Tribit	0	1	0	0	0
Trijac	0	0	0	0	0
Tricri	1	0	0	0	0
Triwie	1	0	0	0	0
Triqua	1	0	0	0	0
Kinboe	1	0	0	0	0
Kinfis	0	0	0	0	0
Kinxen	0	0	0	1	0
Chaafr	1	2	0	0	0
Chacha	1	2	0	0	0
Chacaly	1	2	0	0	0
Chazey	1	2	0	0	0
Chadil	1	2	0	0	0
Chasen	1	2	0	0	0
Chanam	0	2	0	0	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	0	0	0	0
Bratra	0	0	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
