#Nodes with GAIN events
N3: 1
B3088: 1
BGA709: 1
N17: 1
N19: 1
N30: 1
N35: 1
FGA465: 1
FGA104: 1
CGA236: 1
N61: 1
N70: 1
Trijac: 1
N72: 1
N83: 1
Total number of gain events: 15
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
BGA309: 1
N7: 1
B11604: 1
PGA445: 1
Rhamar: 1
Furcep: 1
FGA104: 1
FurbGB: 1
CGA236: 1
N60: 1
Triowe: 1
Triwie: 1
N74: 1
Kinfis: 1
N78: 1
Chacaly: 1
Chanam: 2
Bramel: 1
N90: 1
Total number of loss events: 21
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
BGAA1: 1
N31: 1
F12278: 1
C601: 1
CGA310: 1
Total number of demi-dulications events: 5
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	2	1	0	0	0
BGA709	2	0	0	0	0
BGA309	1	1	0	0	0
B11696	1	1	0	0	0
B11609	1	1	0	0	0
B983	1	0	0	0	0
B11604	1	1	0	0	0
BGAA1	1	0	0	1	0
BGA584	1	0	0	0	0
BGA303	1	0	0	0	0
BGAB1	1	0	0	0	0
PGA445	0	1	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	0	1	0	0	0
Rhatem	0	0	0	0	0
FGA379	1	0	0	0	0
F3015	2	0	0	0	0
F1476	2	0	0	0	0
Furcep	2	1	0	0	0
Furpol	2	0	0	0	0
F2241	2	0	0	0	0
Furang	2	0	0	0	0
FGA490	2	0	0	0	0
FGA456	3	0	0	1	0
FGA513	3	0	0	1	0
F12278	3	0	0	2	0
Furant	4	0	0	1	0
FGA331	4	0	0	1	0
FGA465	4	0	0	1	0
FGA99	3	0	0	0	0
FGA15	3	0	0	0	0
FGA581	3	0	0	0	0
FGA104	3	1	0	0	0
FGA489	2	0	0	0	0
FGA174	2	0	0	0	0
FurbGB	2	1	0	0	0
CGA312	1	0	0	0	0
CGA642	1	0	0	0	0
CGA763	1	0	0	0	0
C601	1	0	0	1	0
CGA236	2	1	0	0	0
Calboe	1	0	0	0	0
C3125	1	0	0	0	0
CGA429	1	0	0	0	0
C984	1	0	0	0	0
CGA310	1	0	0	1	0
CGA365	1	0	0	0	0
CGA494	1	0	0	0	0
C12265	1	0	0	0	0
C404	1	0	0	0	0
Cl11778	1	0	0	0	0
CGA48	1	0	0	0	0
C3126	1	0	0	0	0
CGA311	1	0	0	0	0
CGA45	1	0	0	0	0
C3043	1	0	0	0	0
CGA364	1	0	0	0	0
C2208	1	0	0	0	0
CGA453	2	1	0	0	0
CGA501	2	1	0	0	0
C3121	2	1	0	0	0
Calparcri	1	1	0	0	0
C3118	1	1	0	0	0
Triowe	0	1	0	0	0
Trijoh	0	0	0	0	0
Trimel	0	0	0	0	0
Trihoe	1	0	0	0	0
Tribit	1	0	0	0	0
Trijac	2	0	0	0	0
Tricri	1	0	0	0	0
Triwie	1	1	0	0	0
Triqua	1	0	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	2	0	0	0
Kinxen	0	1	0	0	0
Chaafr	0	1	0	0	0
Chacha	0	1	0	0	0
Chacaly	0	2	0	0	0
Chazey	0	1	0	0	0
Chadil	0	1	0	0	0
Chasen	0	1	0	0	0
Chanam	0	2	0	0	0
Braset	1	0	0	0	0
Bramel	1	1	0	0	0
Bratha	1	0	0	0	0
Bradra	1	0	0	0	0
Bratra	1	0	0	0	0
Bragut	1	0	0	0	0
Braven	1	0	0	0	0
Brapum	1	1	0	0	0
Bradam	1	1	0	0	0
