#Nodes with GAIN events
N3: 1
N11: 1
Rhatem: 1
N17: 1
FGA174: 1
CGA236: 1
N65: 1
Trimel: 2
N77: 1
Chacha: 1
N90: 1
Total number of gain events: 12
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
N7: 1
BGA303: 1
PGA445: 2
Rhaspe: 2
Rhatem: 1
FGA465: 1
FGA15: 1
FGA581: 1
FGA489: 1
FGA174: 1
FurbGB: 1
N40: 1
CGA312: 1
C984: 1
CGA365: 1
CGA494: 1
N56: 1
N67: 1
N68: 1
Trimel: 1
Trihoe: 1
N75: 1
Chaafr: 1
Chadil: 1
Chanam: 2
N83: 1
Brapum: 2
Total number of loss events: 32
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
FGA379: 1
N20: 1
Trimel: 1
Total number of demi-dulications events: 3
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	0	0
BGA709	1	0	0	0	0
BGA309	1	0	0	0	0
B11696	1	1	0	0	0
B11609	1	1	0	0	0
B983	1	0	0	0	0
B11604	1	0	0	0	0
BGAA1	2	0	0	0	0
BGA584	2	0	0	0	0
BGA303	1	1	0	0	0
BGAB1	1	0	0	0	0
PGA445	0	2	0	0	0
Rhaspe	0	2	0	0	0
Rhamar	0	0	0	0	0
Rhatem	1	1	0	0	0
FGA379	1	0	0	1	0
F3015	1	0	0	1	0
F1476	1	0	0	1	0
Furcep	1	0	0	1	0
Furpol	1	0	0	1	0
F2241	1	0	0	1	0
Furang	1	0	0	1	0
FGA490	1	0	0	1	0
FGA456	1	0	0	1	0
FGA513	1	0	0	1	0
F12278	1	0	0	1	0
Furant	1	0	0	1	0
FGA331	1	0	0	1	0
FGA465	1	1	0	1	0
FGA99	1	0	0	1	0
FGA15	1	1	0	1	0
FGA581	1	1	0	1	0
FGA104	1	0	0	1	0
FGA489	1	1	0	1	0
FGA174	2	1	0	1	0
FurbGB	1	1	0	0	0
CGA312	1	2	0	0	0
CGA642	1	1	0	0	0
CGA763	1	1	0	0	0
C601	1	1	0	0	0
CGA236	2	1	0	0	0
Calboe	1	1	0	0	0
C3125	1	1	0	0	0
CGA429	1	1	0	0	0
C984	1	2	0	0	0
CGA310	1	1	0	0	0
CGA365	1	2	0	0	0
CGA494	1	2	0	0	0
C12265	1	1	0	0	0
C404	1	1	0	0	0
Cl11778	1	1	0	0	0
CGA48	1	1	0	0	0
C3126	1	1	0	0	0
CGA311	1	1	0	0	0
CGA45	1	1	0	0	0
C3043	1	1	0	0	0
CGA364	1	1	0	0	0
C2208	1	1	0	0	0
CGA453	1	0	0	0	0
CGA501	1	0	0	0	0
C3121	1	0	0	0	0
Calparcri	1	0	0	0	0
C3118	1	0	0	0	0
Triowe	1	2	0	0	0
Trijoh	1	2	0	0	0
Trimel	3	3	0	1	0
Trihoe	1	2	0	0	0
Tribit	1	1	0	0	0
Trijac	1	1	0	0	0
Tricri	1	0	0	0	0
Triwie	1	0	0	0	0
Triqua	1	0	0	0	0
Kinboe	1	1	0	0	0
Kinfis	1	1	0	0	0
Kinxen	1	0	0	0	0
Chaafr	1	1	0	0	0
Chacha	2	0	0	0	0
Chacaly	1	0	0	0	0
Chazey	1	0	0	0	0
Chadil	1	1	0	0	0
Chasen	1	0	0	0	0
Chanam	1	2	0	0	0
Braset	0	1	0	0	0
Bramel	0	1	0	0	0
Bratha	0	1	0	0	0
Bradra	0	1	0	0	0
Bratra	0	1	0	0	0
Bragut	0	1	0	0	0
Braven	0	1	0	0	0
Brapum	1	3	0	0	0
Bradam	1	1	0	0	0
