#Nodes with GAIN events
N13: 1
N19: 1
FGA456: 1
N56: 1
N70: 1
N71: 1
Kinxen: 1
N84: 1
Total number of gain events: 8
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N4: 1
B3088: 1
N6: 1
B983: 1
BGA584: 1
Rhaspe: 1
Rhatem: 1
FGA379: 1
F1476: 1
F2241: 1
FGA489: 1
CGA236: 1
C984: 2
N56: 1
CGA311: 1
N67: 1
Trijoh: 1
N70: 1
Kinboe: 1
Kinxen: 2
Chasen: 1
Chanam: 1
Total number of loss events: 24
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N14: 1
Rhatem: 1
Furang: 1
Trimel: 1
Tricri: 1
Braset: 1
Total number of demi-dulications events: 6
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	2	0	0	0
BGA709	0	1	0	0	0
BGA309	0	1	0	0	0
B11696	0	1	0	0	0
B11609	0	1	0	0	0
B983	0	2	0	0	0
B11604	0	1	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	2	0	0	0
BGA303	0	1	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	0	0	0	0
Rhaspe	1	1	0	1	0
Rhamar	1	0	0	1	0
Rhatem	1	1	0	2	0
FGA379	1	1	0	0	0
F3015	2	0	0	0	0
F1476	2	1	0	0	0
Furcep	2	0	0	0	0
Furpol	2	0	0	0	0
F2241	2	1	0	0	0
Furang	2	0	0	1	0
FGA490	2	0	0	0	0
FGA456	3	0	0	0	0
FGA513	2	0	0	0	0
F12278	2	0	0	0	0
Furant	2	0	0	0	0
FGA331	2	0	0	0	0
FGA465	2	0	0	0	0
FGA99	2	0	0	0	0
FGA15	2	0	0	0	0
FGA581	2	0	0	0	0
FGA104	2	0	0	0	0
FGA489	2	1	0	0	0
FGA174	2	0	0	0	0
FurbGB	2	0	0	0	0
CGA312	1	0	0	0	0
CGA642	1	0	0	0	0
CGA763	1	0	0	0	0
C601	1	0	0	0	0
CGA236	1	1	0	0	0
Calboe	1	0	0	0	0
C3125	1	0	0	0	0
CGA429	1	0	0	0	0
C984	1	2	0	0	0
CGA310	1	0	0	0	0
CGA365	1	0	0	0	0
CGA494	1	0	0	0	0
C12265	1	0	0	0	0
C404	1	0	0	0	0
Cl11778	1	0	0	0	0
CGA48	1	0	0	0	0
C3126	1	0	0	0	0
CGA311	2	2	0	0	0
CGA45	2	1	0	0	0
C3043	2	1	0	0	0
CGA364	2	1	0	0	0
C2208	2	1	0	0	0
CGA453	1	0	0	0	0
CGA501	1	0	0	0	0
C3121	1	0	0	0	0
Calparcri	1	0	0	0	0
C3118	1	0	0	0	0
Triowe	1	1	0	0	0
Trijoh	1	2	0	0	0
Trimel	1	1	0	1	0
Trihoe	3	2	0	0	0
Tribit	3	2	0	0	0
Trijac	2	2	0	0	0
Tricri	1	0	0	1	0
Triwie	1	0	0	0	0
Triqua	1	0	0	0	0
Kinboe	1	1	0	0	0
Kinfis	1	0	0	0	0
Kinxen	2	2	0	0	0
Chaafr	1	0	0	0	0
Chacha	1	0	0	0	0
Chacaly	1	0	0	0	0
Chazey	1	0	0	0	0
Chadil	1	0	0	0	0
Chasen	1	1	0	0	0
Chanam	1	1	0	0	0
Braset	2	0	0	1	0
Bramel	2	0	0	0	0
Bratha	2	0	0	0	0
Bradra	2	0	0	0	0
Bratra	2	0	0	0	0
Bragut	2	0	0	0	0
Braven	2	0	0	0	0
Brapum	1	0	0	0	0
Bradam	1	0	0	0	0
