#Nodes with GAIN events
BGA309: 1
B983: 2
PGA445: 1
N30: 1
FGA456: 1
Furant: 1
FGA174: 1
FurbGB: 1
N56: 1
N65: 1
N70: 1
N74: 1
Kinxen: 2
Total number of gain events: 15
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
B11604: 1
PGA445: 2
Rhaspe: 1
Rhatem: 1
FGA379: 2
N19: 1
Furpol: 1
N34: 1
FGA174: 1
N42: 1
C601: 1
CGA429: 1
N53: 1
C3126: 1
N56: 2
N66: 1
Trijoh: 1
N73: 1
N78: 1
N83: 1
Braset: 1
Bradra: 1
Total number of loss events: 26
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N3: 1
N8: 1
N24: 1
N29: 1
Total number of demi-dulications events: 4
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	1	0
BGA709	0	0	0	1	0
BGA309	1	0	0	1	0
B11696	0	0	0	1	0
B11609	0	0	0	1	0
B983	2	0	0	2	0
B11604	0	1	0	2	0
BGAA1	0	0	0	2	0
BGA584	0	0	0	2	0
BGA303	0	0	0	2	0
BGAB1	0	0	0	2	0
PGA445	1	2	0	0	0
Rhaspe	0	1	0	0	0
Rhamar	0	0	0	0	0
Rhatem	0	1	0	0	0
FGA379	0	2	0	0	0
F3015	0	1	0	0	0
F1476	0	1	0	1	0
Furcep	0	1	0	1	0
Furpol	0	2	0	1	0
F2241	0	1	0	2	0
Furang	0	1	0	2	0
FGA490	0	1	0	1	0
FGA456	2	2	0	1	0
FGA513	1	2	0	1	0
F12278	1	1	0	1	0
Furant	2	1	0	1	0
FGA331	1	1	0	1	0
FGA465	1	1	0	1	0
FGA99	1	1	0	1	0
FGA15	1	1	0	1	0
FGA581	1	1	0	1	0
FGA104	0	1	0	0	0
FGA489	0	1	0	0	0
FGA174	1	2	0	0	0
FurbGB	1	1	0	0	0
CGA312	0	0	0	0	0
CGA642	0	1	0	0	0
CGA763	0	1	0	0	0
C601	0	2	0	0	0
CGA236	0	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	1	0	0	0
CGA429	0	2	0	0	0
C984	0	1	0	0	0
CGA310	0	1	0	0	0
CGA365	0	1	0	0	0
CGA494	0	1	0	0	0
C12265	0	1	0	0	0
C404	0	1	0	0	0
Cl11778	0	1	0	0	0
CGA48	0	1	0	0	0
C3126	0	1	0	0	0
CGA311	1	2	0	0	0
CGA45	1	2	0	0	0
C3043	1	2	0	0	0
CGA364	1	2	0	0	0
C2208	1	2	0	0	0
CGA453	0	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	0	0	0	0	0
C3118	0	0	0	0	0
Triowe	1	1	0	0	0
Trijoh	1	2	0	0	0
Trimel	1	1	0	0	0
Trihoe	2	1	0	0	0
Tribit	2	1	0	0	0
Trijac	2	1	0	0	0
Tricri	1	1	0	0	0
Triwie	1	2	0	0	0
Triqua	1	2	0	0	0
Kinboe	2	0	0	0	0
Kinfis	2	0	0	0	0
Kinxen	4	0	0	0	0
Chaafr	0	1	0	0	0
Chacha	0	1	0	0	0
Chacaly	0	1	0	0	0
Chazey	0	1	0	0	0
Chadil	0	1	0	0	0
Chasen	0	1	0	0	0
Chanam	0	0	0	0	0
Braset	0	2	0	0	0
Bramel	0	1	0	0	0
Bratha	0	1	0	0	0
Bradra	0	2	0	0	0
Bratra	0	1	0	0	0
Bragut	0	1	0	0	0
Braven	0	1	0	0	0
Brapum	0	1	0	0	0
Bradam	0	1	0	0	0
