#Nodes with GAIN events
B3088: 1
Rhamar: 1
FGA379: 1
C404: 1
C3126: 1
Kinfis: 1
Chanam: 1
Total number of gain events: 7
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B983: 1
Rhamar: 1
Rhatem: 1
FGA379: 3
N34: 1
FGA513: 1
N35: 1
FGA99: 1
N40: 1
Calboe: 1
CGA429: 1
N56: 1
CGA364: 1
C2208: 2
CGA453: 1
N63: 1
Triowe: 1
N73: 1
Kinboe: 2
Kinfis: 1
Kinxen: 1
Chacaly: 1
Chadil: 1
Chanam: 1
N83: 2
Bragut: 1
Total number of loss events: 31
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N13: 1
Total number of demi-dulications events: 1
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
N68: 1
Tribit: 1
Chazey: 1
N83: 1
Bragut: 1
Total number of transitions to max chromosome: 5
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	0	0	0	0
BGA709	0	0	0	0	0
BGA309	0	0	0	0	0
B11696	0	0	0	0	0
B11609	0	0	0	0	0
B983	0	1	0	0	0
B11604	0	0	0	0	0
BGAA1	0	0	0	0	0
BGA584	0	0	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	0	0	0	0
PGA445	0	0	0	0	0
Rhaspe	0	0	0	1	0
Rhamar	1	1	0	1	0
Rhatem	0	1	0	1	0
FGA379	1	3	0	1	0
F3015	0	0	0	1	0
F1476	0	0	0	1	0
Furcep	0	0	0	1	0
Furpol	0	0	0	1	0
F2241	0	0	0	1	0
Furang	0	0	0	1	0
FGA490	0	0	0	1	0
FGA456	0	1	0	1	0
FGA513	0	2	0	1	0
F12278	0	0	0	1	0
Furant	0	1	0	1	0
FGA331	0	1	0	1	0
FGA465	0	0	0	1	0
FGA99	0	1	0	1	0
FGA15	0	0	0	1	0
FGA581	0	0	0	1	0
FGA104	0	0	0	1	0
FGA489	0	0	0	1	0
FGA174	0	0	0	1	0
FurbGB	0	0	0	1	0
CGA312	0	1	0	1	0
CGA642	0	1	0	1	0
CGA763	0	1	0	1	0
C601	0	1	0	1	0
CGA236	0	1	0	1	0
Calboe	0	2	0	1	0
C3125	0	1	0	1	0
CGA429	0	2	0	1	0
C984	0	1	0	1	0
CGA310	0	1	0	1	0
CGA365	0	1	0	1	0
CGA494	0	1	0	1	0
C12265	0	1	0	1	0
C404	1	1	0	1	0
Cl11778	0	1	0	1	0
CGA48	0	1	0	1	0
C3126	1	1	0	1	0
CGA311	0	1	0	1	0
CGA45	0	1	0	1	0
C3043	0	1	0	1	0
CGA364	0	2	0	1	0
C2208	0	3	0	1	0
CGA453	0	1	0	1	0
CGA501	0	0	0	1	0
C3121	0	0	0	1	0
Calparcri	0	1	0	1	0
C3118	0	1	0	1	0
Triowe	0	1	0	1	0
Trijoh	0	0	0	1	0
Trimel	0	0	0	1	0
Trihoe	0	0	0	1	0
Tribit	0	0	0	1	0
Trijac	0	0	0	1	0
Tricri	0	0	0	1	0
Triwie	0	1	0	1	0
Triqua	0	1	0	1	0
Kinboe	0	2	0	1	0
Kinfis	1	1	0	1	0
Kinxen	0	1	0	1	0
Chaafr	0	0	0	1	0
Chacha	0	0	0	1	0
Chacaly	0	1	0	1	0
Chazey	0	0	0	1	0
Chadil	0	1	0	1	0
Chasen	0	0	0	1	0
Chanam	1	1	0	1	0
Braset	0	2	0	1	0
Bramel	0	2	0	1	0
Bratha	0	2	0	1	0
Bradra	0	2	0	1	0
Bratra	0	2	0	1	0
Bragut	0	3	0	1	0
Braven	0	2	0	1	0
Brapum	0	2	0	1	0
Bradam	0	2	0	1	0
