#Nodes with GAIN events
BGA709: 1
N7: 1
B983: 1
Rhaspe: 2
FGA489: 1
N41: 1
CGA310: 1
C2208: 1
N60: 1
N66: 1
N72: 1
Kinfis: 2
N78: 1
Chazey: 1
Total number of gain events: 16
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
BGA709: 1
B11609: 1
N11: 1
BGAB1: 1
PGA445: 1
Rhaspe: 1
Rhamar: 1
Rhatem: 2
N23: 1
F1476: 1
Furpol: 1
F12278: 1
FGA581: 1
FGA104: 1
FurbGB: 1
N47: 1
CGA494: 2
CGA311: 1
C3043: 1
CGA364: 1
Triowe: 1
N72: 1
N73: 1
Kinxen: 1
Chanam: 2
Bratra: 1
N90: 1
Total number of loss events: 30
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
BGA309: 1
FGA379: 1
Furpol: 1
N81: 1
Total number of demi-dulications events: 4
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	0	0	0	0
BGA709	1	1	0	0	0
BGA309	0	0	0	1	0
B11696	1	0	0	0	0
B11609	1	1	0	0	0
B983	1	0	0	0	0
B11604	0	0	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	1	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	1	0	0	0
Rhaspe	2	1	0	0	0
Rhamar	0	1	0	0	0
Rhatem	0	2	0	0	0
FGA379	0	0	0	1	0
F3015	0	0	0	0	0
F1476	0	2	0	0	0
Furcep	0	1	0	0	0
Furpol	0	2	0	1	0
F2241	0	1	0	0	0
Furang	0	1	0	0	0
FGA490	0	1	0	0	0
FGA456	0	1	0	0	0
FGA513	0	1	0	0	0
F12278	0	2	0	0	0
Furant	0	1	0	0	0
FGA331	0	1	0	0	0
FGA465	0	1	0	0	0
FGA99	0	1	0	0	0
FGA15	0	1	0	0	0
FGA581	0	2	0	0	0
FGA104	0	2	0	0	0
FGA489	1	0	0	0	0
FGA174	0	0	0	0	0
FurbGB	0	1	0	0	0
CGA312	0	0	0	0	0
CGA642	1	0	0	0	0
CGA763	1	0	0	0	0
C601	1	0	0	0	0
CGA236	1	0	0	0	0
Calboe	1	1	0	0	0
C3125	1	1	0	0	0
CGA429	1	1	0	0	0
C984	1	0	0	0	0
CGA310	2	0	0	0	0
CGA365	1	0	0	0	0
CGA494	1	2	0	0	0
C12265	1	0	0	0	0
C404	1	0	0	0	0
Cl11778	1	0	0	0	0
CGA48	1	0	0	0	0
C3126	1	0	0	0	0
CGA311	0	1	0	0	0
CGA45	0	0	0	0	0
C3043	0	1	0	0	0
CGA364	0	1	0	0	0
C2208	1	0	0	0	0
CGA453	1	0	0	0	0
CGA501	1	0	0	0	0
C3121	1	0	0	0	0
Calparcri	1	0	0	0	0
C3118	1	0	0	0	0
Triowe	1	1	0	0	0
Trijoh	1	0	0	0	0
Trimel	1	0	0	0	0
Trihoe	1	0	0	0	0
Tribit	1	0	0	0	0
Trijac	1	0	0	0	0
Tricri	2	1	0	0	0
Triwie	2	2	0	0	0
Triqua	2	2	0	0	0
Kinboe	0	0	0	0	0
Kinfis	2	0	0	0	0
Kinxen	0	1	0	0	0
Chaafr	1	0	0	0	0
Chacha	1	0	0	0	0
Chacaly	1	0	0	1	0
Chazey	2	0	0	1	0
Chadil	1	0	0	0	0
Chasen	1	0	0	0	0
Chanam	0	2	0	0	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	0	0	0	0
Bratra	0	1	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	1	0	0	0
Bradam	0	1	0	0	0
