#Nodes with GAIN events
PGA445: 1
N13: 2
FGA465: 1
N37: 1
C404: 1
CGA311: 1
C2208: 1
Triqua: 1
N74: 1
Kinboe: 1
Chanam: 1
Total number of gain events: 12
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N2: 1
BGA709: 1
BGA309: 1
N7: 1
B11696: 1
BGAA1: 1
PGA445: 1
Rhatem: 1
Furpol: 1
FGA490: 1
FGA513: 1
F12278: 1
FGA15: 1
FGA174: 1
N40: 1
CGA763: 1
CGA236: 1
C3125: 1
CGA494: 1
C12265: 1
Cl11778: 1
CGA311: 1
CGA45: 1
Trijoh: 1
Trihoe: 1
N75: 2
Kinboe: 1
Chaafr: 1
Chasen: 1
N83: 2
N90: 1
Bradam: 1
Total number of loss events: 34
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
BGAB1: 1
Total number of demi-dulications events: 1
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
BGAB1: 1
N14: 1
FGA174: 1
CGA453: 1
Triowe: 1
Triqua: 1
Total number of transitions to max chromosome: 6
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	0	2	0	0	0
BGA309	0	2	0	0	0
B11696	0	3	0	0	0
B11609	0	2	0	0	0
B983	0	1	0	0	0
B11604	0	1	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	1	0	0	0
BGA303	0	1	0	0	0
BGAB1	0	1	0	1	0
PGA445	1	2	0	0	0
Rhaspe	2	0	0	0	0
Rhamar	2	0	0	0	0
Rhatem	2	1	0	0	0
FGA379	2	0	0	0	0
F3015	2	0	0	0	0
F1476	2	0	0	0	0
Furcep	2	0	0	0	0
Furpol	2	1	0	0	0
F2241	2	0	0	0	0
Furang	2	0	0	0	0
FGA490	2	1	0	0	0
FGA456	2	0	0	0	0
FGA513	2	1	0	0	0
F12278	2	1	0	0	0
Furant	2	0	0	0	0
FGA331	2	0	0	0	0
FGA465	3	0	0	0	0
FGA99	2	0	0	0	0
FGA15	3	1	0	0	0
FGA581	3	0	0	0	0
FGA104	2	0	0	0	0
FGA489	2	0	0	0	0
FGA174	2	1	0	0	0
FurbGB	2	0	0	0	0
CGA312	2	1	0	0	0
CGA642	2	1	0	0	0
CGA763	2	2	0	0	0
C601	2	1	0	0	0
CGA236	2	2	0	0	0
Calboe	2	1	0	0	0
C3125	2	2	0	0	0
CGA429	2	1	0	0	0
C984	2	1	0	0	0
CGA310	2	1	0	0	0
CGA365	2	1	0	0	0
CGA494	2	2	0	0	0
C12265	2	2	0	0	0
C404	3	1	0	0	0
Cl11778	2	2	0	0	0
CGA48	2	1	0	0	0
C3126	2	1	0	0	0
CGA311	3	1	0	0	0
CGA45	2	1	0	0	0
C3043	2	0	0	0	0
CGA364	2	0	0	0	0
C2208	3	0	0	0	0
CGA453	2	0	0	0	0
CGA501	2	0	0	0	0
C3121	2	0	0	0	0
Calparcri	2	0	0	0	0
C3118	2	0	0	0	0
Triowe	2	0	0	0	0
Trijoh	2	1	0	0	0
Trimel	2	0	0	0	0
Trihoe	2	1	0	0	0
Tribit	2	0	0	0	0
Trijac	2	0	0	0	0
Tricri	2	0	0	0	0
Triwie	2	0	0	0	0
Triqua	3	0	0	0	0
Kinboe	4	3	0	0	0
Kinfis	3	2	0	0	0
Kinxen	3	0	0	0	0
Chaafr	2	1	0	0	0
Chacha	2	0	0	0	0
Chacaly	2	0	0	0	0
Chazey	2	0	0	0	0
Chadil	2	0	0	0	0
Chasen	2	1	0	0	0
Chanam	3	0	0	0	0
Braset	2	2	0	0	0
Bramel	2	2	0	0	0
Bratha	2	2	0	0	0
Bradra	2	2	0	0	0
Bratra	2	2	0	0	0
Bragut	2	2	0	0	0
Braven	2	2	0	0	0
Brapum	2	3	0	0	0
Bradam	2	4	0	0	0
