#Nodes with GAIN events
BGA709: 1
N24: 1
FGA456: 1
CGA312: 1
C2208: 1
N63: 1
Trijac: 1
Kinxen: 1
Chadil: 2
Chasen: 1
Chanam: 1
Bragut: 1
Total number of gain events: 13
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N4: 1
B3088: 1
B11609: 1
B983: 1
N12: 1
PGA445: 1
Rhaspe: 1
N15: 1
Rhatem: 1
N25: 1
FGA456: 1
F12278: 1
FGA104: 2
N44: 1
CGA236: 1
C404: 1
Trihoe: 1
N72: 1
Tricri: 1
Kinxen: 1
Chazey: 1
Chanam: 1
N83: 1
Total number of loss events: 24
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
B3088: 1
FGA379: 1
N20: 1
N58: 1
Tricri: 1
N83: 1
Total number of demi-dulications events: 6
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
FGA104: 1
Total number of transitions to max chromosome: 1
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	2	0	1	0
BGA709	1	1	0	0	0
BGA309	0	1	0	0	0
B11696	0	0	0	0	0
B11609	0	1	0	0	0
B983	0	1	0	0	0
B11604	0	0	0	0	0
BGAA1	0	0	0	0	0
BGA584	0	0	0	0	0
BGA303	0	1	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	1	0	0	0
Rhaspe	0	1	0	0	0
Rhamar	0	1	0	0	0
Rhatem	0	2	0	0	0
FGA379	0	0	0	1	0
F3015	0	0	0	1	0
F1476	1	1	0	1	0
Furcep	1	1	0	1	0
Furpol	1	1	0	1	0
F2241	1	1	0	1	0
Furang	1	1	0	1	0
FGA490	1	1	0	1	0
FGA456	2	1	0	1	0
FGA513	1	0	0	1	0
F12278	1	1	0	1	0
Furant	1	0	0	1	0
FGA331	1	0	0	1	0
FGA465	1	0	0	1	0
FGA99	1	0	0	1	0
FGA15	1	0	0	1	0
FGA581	1	0	0	1	0
FGA104	0	2	0	1	0
FGA489	0	0	0	1	0
FGA174	0	0	0	1	0
FurbGB	0	0	0	0	0
CGA312	1	0	0	0	0
CGA642	0	1	0	0	0
CGA763	0	1	0	0	0
C601	0	1	0	0	0
CGA236	0	1	0	0	0
Calboe	0	0	0	0	0
C3125	0	0	0	0	0
CGA429	0	0	0	0	0
C984	0	0	0	0	0
CGA310	0	0	0	0	0
CGA365	0	0	0	0	0
CGA494	0	0	0	0	0
C12265	0	0	0	0	0
C404	0	1	0	0	0
Cl11778	0	0	0	0	0
CGA48	0	0	0	0	0
C3126	0	0	0	0	0
CGA311	0	0	0	0	0
CGA45	0	0	0	1	0
C3043	0	0	0	1	0
CGA364	0	0	0	1	0
C2208	1	0	0	0	0
CGA453	0	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	1	0	0	0	0
C3118	1	0	0	0	0
Triowe	0	0	0	0	0
Trijoh	0	0	0	0	0
Trimel	0	0	0	0	0
Trihoe	0	1	0	0	0
Tribit	0	0	0	0	0
Trijac	1	0	0	0	0
Tricri	0	2	0	1	0
Triwie	0	1	0	0	0
Triqua	0	1	0	0	0
Kinboe	0	0	0	0	0
Kinfis	0	0	0	0	0
Kinxen	1	1	0	0	0
Chaafr	0	0	0	0	0
Chacha	0	0	0	0	0
Chacaly	0	0	0	0	0
Chazey	0	1	0	0	0
Chadil	2	0	0	0	0
Chasen	1	0	0	0	0
Chanam	1	1	0	0	0
Braset	0	1	0	1	0
Bramel	0	1	0	1	0
Bratha	0	1	0	1	0
Bradra	0	1	0	1	0
Bratra	0	1	0	1	0
Bragut	1	1	0	1	0
Braven	0	1	0	1	0
Brapum	0	1	0	1	0
Bradam	0	1	0	1	0
