#Nodes with GAIN events
B11696: 1
Rhamar: 1
Furpol: 1
N40: 1
N41: 1
C984: 1
CGA365: 1
Kinxen: 1
N77: 1
N78: 1
Chasen: 2
Bramel: 1
Total number of gain events: 13
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N5: 1
B11604: 1
N11: 1
BGAA1: 2
PGA445: 1
Rhaspe: 3
N35: 1
FGA104: 1
Calboe: 3
CGA494: 1
Tribit: 2
N75: 1
Kinxen: 1
N81: 1
Chanam: 1
N83: 1
Braset: 1
Bradam: 1
Total number of loss events: 24
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N6: 1
Rhaspe: 1
Rhatem: 1
Trimel: 1
N87: 1
Total number of demi-dulications events: 5
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
B11696: 1
Total number of transitions to max chromosome: 1
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	0	0	0	0
BGA709	0	1	0	0	0
BGA309	0	1	0	0	0
B11696	1	0	0	1	0
B11609	0	0	0	1	0
B983	0	0	0	1	0
B11604	0	1	0	1	0
BGAA1	0	3	0	1	0
BGA584	0	1	0	1	0
BGA303	0	0	0	1	0
BGAB1	0	0	0	1	0
PGA445	0	1	0	0	0
Rhaspe	0	3	0	1	0
Rhamar	1	0	0	0	0
Rhatem	0	0	0	1	0
FGA379	0	0	0	0	0
F3015	0	0	0	0	0
F1476	0	0	0	0	0
Furcep	0	0	0	0	0
Furpol	1	0	0	0	0
F2241	0	0	0	0	0
Furang	0	0	0	0	0
FGA490	0	0	0	0	0
FGA456	0	0	0	0	0
FGA513	0	0	0	0	0
F12278	0	0	0	0	0
Furant	0	1	0	0	0
FGA331	0	1	0	0	0
FGA465	0	0	0	0	0
FGA99	0	0	0	0	0
FGA15	0	0	0	0	0
FGA581	0	0	0	0	0
FGA104	0	1	0	0	0
FGA489	0	0	0	0	0
FGA174	0	0	0	0	0
FurbGB	0	0	0	0	0
CGA312	1	0	0	0	0
CGA642	2	0	0	0	0
CGA763	2	0	0	0	0
C601	2	0	0	0	0
CGA236	2	0	0	0	0
Calboe	2	3	0	0	0
C3125	2	0	0	0	0
CGA429	2	0	0	0	0
C984	3	0	0	0	0
CGA310	2	0	0	0	0
CGA365	3	0	0	0	0
CGA494	2	1	0	0	0
C12265	2	0	0	0	0
C404	2	0	0	0	0
Cl11778	2	0	0	0	0
CGA48	2	0	0	0	0
C3126	2	0	0	0	0
CGA311	0	0	0	0	0
CGA45	0	0	0	0	0
C3043	0	0	0	0	0
CGA364	0	0	0	0	0
C2208	0	0	0	0	0
CGA453	0	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	0	0	0	0	0
C3118	0	0	0	0	0
Triowe	0	0	0	0	0
Trijoh	0	0	0	0	0
Trimel	0	0	0	1	0
Trihoe	0	0	0	0	0
Tribit	0	2	0	0	0
Trijac	0	0	0	0	0
Tricri	0	0	0	0	0
Triwie	0	0	0	0	0
Triqua	0	0	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	1	0	0	0
Kinxen	1	1	0	0	0
Chaafr	2	0	0	0	0
Chacha	2	0	0	0	0
Chacaly	2	1	0	0	0
Chazey	2	1	0	0	0
Chadil	2	0	0	0	0
Chasen	4	0	0	0	0
Chanam	1	1	0	0	0
Braset	0	2	0	0	0
Bramel	1	1	0	1	0
Bratha	0	1	0	1	0
Bradra	0	1	0	0	0
Bratra	0	1	0	0	0
Bragut	0	1	0	0	0
Braven	0	1	0	0	0
Brapum	0	1	0	0	0
Bradam	0	2	0	0	0
