#Nodes with GAIN events
FGA456: 1
N35: 1
FurbGB: 1
N39: 1
N44: 1
C3126: 1
CGA311: 1
N66: 2
Trimel: 1
N72: 1
N77: 1
Chaafr: 1
Chasen: 1
Chanam: 1
Total number of gain events: 15
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N4: 1
B3088: 1
B11604: 1
N11: 1
N12: 1
Rhamar: 1
F3015: 1
N25: 1
CGA312: 1
C3125: 1
C3126: 1
N58: 1
N60: 2
Trihoe: 1
N74: 1
Chasen: 1
Bratra: 1
Total number of loss events: 18
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Rhaspe: 1
Furcep: 1
C3126: 1
C2208: 1
N68: 1
N70: 1
N83: 1
Total number of demi-dulications events: 7
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	2	0	0	0
BGA709	0	1	0	0	0
BGA309	0	1	0	0	0
B11696	0	0	0	0	0
B11609	0	0	0	0	0
B983	0	0	0	0	0
B11604	0	1	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	1	0	0	0
BGA303	0	1	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	0	0	0	0
Rhaspe	0	0	0	1	0
Rhamar	0	1	0	0	0
Rhatem	0	0	0	0	0
FGA379	0	0	0	0	0
F3015	0	1	0	0	0
F1476	0	1	0	0	0
Furcep	0	1	0	1	0
Furpol	0	1	0	0	0
F2241	0	1	0	0	0
Furang	0	1	0	0	0
FGA490	0	1	0	0	0
FGA456	1	0	0	0	0
FGA513	0	0	0	0	0
F12278	0	0	0	0	0
Furant	1	0	0	0	0
FGA331	1	0	0	0	0
FGA465	0	0	0	0	0
FGA99	0	0	0	0	0
FGA15	0	0	0	0	0
FGA581	0	0	0	0	0
FGA104	0	0	0	0	0
FGA489	0	0	0	0	0
FGA174	0	0	0	0	0
FurbGB	1	0	0	0	0
CGA312	1	1	0	0	0
CGA642	2	0	0	0	0
CGA763	2	0	0	0	0
C601	2	0	0	0	0
CGA236	1	0	0	0	0
Calboe	1	0	0	0	0
C3125	1	1	0	0	0
CGA429	1	0	0	0	0
C984	1	0	0	0	0
CGA310	1	0	0	0	0
CGA365	1	0	0	0	0
CGA494	1	0	0	0	0
C12265	1	0	0	0	0
C404	1	0	0	0	0
Cl11778	1	0	0	0	0
CGA48	1	0	0	0	0
C3126	2	1	0	1	0
CGA311	2	0	0	0	0
CGA45	1	1	0	0	0
C3043	1	1	0	0	0
CGA364	1	1	0	0	0
C2208	1	0	0	1	0
CGA453	0	2	0	0	0
CGA501	0	2	0	0	0
C3121	0	2	0	0	0
Calparcri	0	2	0	0	0
C3118	0	2	0	0	0
Triowe	2	0	0	1	0
Trijoh	2	0	0	1	0
Trimel	3	0	0	1	0
Trihoe	2	1	0	1	0
Tribit	2	0	0	1	0
Trijac	2	0	0	1	0
Tricri	3	0	0	0	0
Triwie	3	0	0	0	0
Triqua	3	0	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	1	0	0	0
Kinxen	0	1	0	0	0
Chaafr	2	0	0	0	0
Chacha	1	0	0	0	0
Chacaly	1	0	0	0	0
Chazey	1	0	0	0	0
Chadil	1	0	0	0	0
Chasen	2	1	0	0	0
Chanam	2	0	0	0	0
Braset	0	0	0	1	0
Bramel	0	0	0	1	0
Bratha	0	0	0	1	0
Bradra	0	0	0	1	0
Bratra	0	1	0	1	0
Bragut	0	0	0	1	0
Braven	0	0	0	1	0
Brapum	0	0	0	1	0
Bradam	0	0	0	1	0
