#Nodes with GAIN events
N2: 1
B11696: 1
N11: 1
Furcep: 1
Furpol: 1
CGA429: 1
Tribit: 1
N79: 1
Chanam: 1
Total number of gain events: 9
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
BGA709: 1
N6: 1
FGA379: 1
Furang: 1
FGA174: 1
N40: 1
C984: 1
N52: 1
C404: 1
CGA48: 1
N62: 1
Trijoh: 1
Trimel: 1
Trijac: 1
N78: 1
N83: 1
Total number of loss events: 17
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N10: 1
B983: 1
PGA445: 1
N13: 1
FGA490: 1
Calparcri: 1
Trihoe: 1
N87: 1
N89: 1
Braven: 1
Total number of demi-dulications events: 10
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	0	0
BGA709	1	2	0	0	0
BGA309	1	1	0	0	0
B11696	2	2	0	0	0
B11609	1	2	0	0	0
B983	1	2	0	2	0
B11604	1	2	0	1	0
BGAA1	2	2	0	0	0
BGA584	2	2	0	0	0
BGA303	1	2	0	0	0
BGAB1	1	2	0	0	0
PGA445	1	0	0	1	0
Rhaspe	0	0	0	1	0
Rhamar	0	0	0	1	0
Rhatem	0	0	0	1	0
FGA379	0	1	0	1	0
F3015	0	0	0	1	0
F1476	0	0	0	1	0
Furcep	1	0	0	1	0
Furpol	1	0	0	1	0
F2241	0	0	0	1	0
Furang	0	1	0	1	0
FGA490	0	0	0	2	0
FGA456	0	0	0	1	0
FGA513	0	0	0	1	0
F12278	0	0	0	1	0
Furant	0	0	0	1	0
FGA331	0	0	0	1	0
FGA465	0	0	0	1	0
FGA99	0	0	0	1	0
FGA15	0	0	0	1	0
FGA581	0	0	0	1	0
FGA104	0	0	0	1	0
FGA489	0	0	0	1	0
FGA174	0	1	0	1	0
FurbGB	0	0	0	1	0
CGA312	0	1	0	1	0
CGA642	0	1	0	1	0
CGA763	0	1	0	1	0
C601	0	1	0	1	0
CGA236	0	1	0	1	0
Calboe	0	1	0	1	0
C3125	0	1	0	1	0
CGA429	1	1	0	1	0
C984	0	2	0	1	0
CGA310	0	1	0	1	0
CGA365	0	1	0	1	0
CGA494	0	1	0	1	0
C12265	0	2	0	1	0
C404	0	3	0	1	0
Cl11778	0	2	0	1	0
CGA48	0	3	0	1	0
C3126	0	2	0	1	0
CGA311	0	0	0	1	0
CGA45	0	0	0	1	0
C3043	0	0	0	1	0
CGA364	0	0	0	1	0
C2208	0	0	0	1	0
CGA453	0	0	0	1	0
CGA501	0	1	0	1	0
C3121	0	1	0	1	0
Calparcri	0	0	0	2	0
C3118	0	0	0	1	0
Triowe	0	0	0	1	0
Trijoh	0	1	0	1	0
Trimel	0	1	0	1	0
Trihoe	0	0	0	2	0
Tribit	1	0	0	1	0
Trijac	0	1	0	1	0
Tricri	0	0	0	1	0
Triwie	0	0	0	1	0
Triqua	0	0	0	1	0
Kinboe	0	0	0	1	0
Kinfis	0	0	0	1	0
Kinxen	0	0	0	1	0
Chaafr	1	1	0	1	0
Chacha	1	1	0	1	0
Chacaly	1	1	0	1	0
Chazey	1	1	0	1	0
Chadil	0	1	0	1	0
Chasen	0	1	0	1	0
Chanam	1	0	0	1	0
Braset	0	1	0	1	0
Bramel	0	1	0	2	0
Bratha	0	1	0	2	0
Bradra	0	1	0	1	0
Bratra	0	1	0	1	0
Bragut	0	1	0	2	0
Braven	0	1	0	3	0
Brapum	0	1	0	1	0
Bradam	0	1	0	1	0
