#Nodes with GAIN events
B11609: 1
N8: 1
Rhatem: 1
N19: 1
N83: 1
Total number of gain events: 5
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
B11696: 1
BGA303: 1
Rhaspe: 1
Rhamar: 1
Rhatem: 2
F1476: 1
FGA465: 1
FGA104: 1
FurbGB: 1
N40: 1
N41: 1
CGA236: 1
CGA429: 1
CGA310: 1
C3126: 1
N56: 1
CGA311: 1
CGA453: 1
CGA501: 1
N70: 1
Trihoe: 1
Kinxen: 2
Chacha: 1
N83: 1
N88: 1
Total number of loss events: 28
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N3: 1
N13: 1
C12265: 1
Total number of demi-dulications events: 3
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	1	0
BGA709	0	0	0	1	0
BGA309	0	0	0	1	0
B11696	0	1	0	1	0
B11609	1	0	0	1	0
B983	1	0	0	1	0
B11604	1	0	0	1	0
BGAA1	1	0	0	1	0
BGA584	1	0	0	1	0
BGA303	1	1	0	1	0
BGAB1	1	0	0	1	0
PGA445	0	0	0	0	0
Rhaspe	0	1	0	1	0
Rhamar	0	1	0	1	0
Rhatem	1	2	0	1	0
FGA379	0	0	0	1	0
F3015	1	0	0	1	0
F1476	1	1	0	1	0
Furcep	1	0	0	1	0
Furpol	1	0	0	1	0
F2241	1	0	0	1	0
Furang	1	0	0	1	0
FGA490	1	0	0	1	0
FGA456	1	0	0	1	0
FGA513	1	0	0	1	0
F12278	1	0	0	1	0
Furant	1	0	0	1	0
FGA331	1	0	0	1	0
FGA465	1	1	0	1	0
FGA99	1	0	0	1	0
FGA15	1	0	0	1	0
FGA581	1	0	0	1	0
FGA104	1	1	0	1	0
FGA489	1	0	0	1	0
FGA174	1	0	0	1	0
FurbGB	1	1	0	1	0
CGA312	0	1	0	1	0
CGA642	0	2	0	1	0
CGA763	0	2	0	1	0
C601	0	2	0	1	0
CGA236	0	3	0	1	0
Calboe	0	2	0	1	0
C3125	0	2	0	1	0
CGA429	0	3	0	1	0
C984	0	2	0	1	0
CGA310	0	3	0	1	0
CGA365	0	2	0	1	0
CGA494	0	2	0	1	0
C12265	0	2	0	2	0
C404	0	2	0	1	0
Cl11778	0	2	0	1	0
CGA48	0	2	0	1	0
C3126	0	3	0	1	0
CGA311	0	2	0	1	0
CGA45	0	1	0	1	0
C3043	0	1	0	1	0
CGA364	0	1	0	1	0
C2208	0	1	0	1	0
CGA453	0	1	0	1	0
CGA501	0	1	0	1	0
C3121	0	0	0	1	0
Calparcri	0	0	0	1	0
C3118	0	0	0	1	0
Triowe	0	0	0	1	0
Trijoh	0	0	0	1	0
Trimel	0	0	0	1	0
Trihoe	0	2	0	1	0
Tribit	0	1	0	1	0
Trijac	0	1	0	1	0
Tricri	0	0	0	1	0
Triwie	0	0	0	1	0
Triqua	0	0	0	1	0
Kinboe	0	0	0	1	0
Kinfis	0	0	0	1	0
Kinxen	0	2	0	1	0
Chaafr	0	0	0	1	0
Chacha	0	1	0	1	0
Chacaly	0	0	0	1	0
Chazey	0	0	0	1	0
Chadil	0	0	0	1	0
Chasen	0	0	0	1	0
Chanam	0	0	0	1	0
Braset	1	1	0	1	0
Bramel	1	1	0	1	0
Bratha	1	1	0	1	0
Bradra	1	2	0	1	0
Bratra	1	2	0	1	0
Bragut	1	1	0	1	0
Braven	1	1	0	1	0
Brapum	1	1	0	1	0
Bradam	1	1	0	1	0
