#Nodes with GAIN events
B11696: 1
Rhaspe: 1
Rhatem: 2
N17: 1
N20: 1
F12278: 2
FGA174: 2
Calboe: 1
Chasen: 1
Chanam: 1
Bradra: 1
Bradam: 1
Total number of gain events: 15
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N5: 1
B11609: 1
B11604: 1
N11: 1
BGA584: 1
PGA445: 1
N13: 1
Rhatem: 1
N18: 1
Furcep: 1
Furpol: 1
FGA490: 1
FGA513: 1
F12278: 2
FGA104: 1
CGA642: 1
CGA429: 1
C984: 1
CGA365: 1
C12265: 2
N58: 1
C2208: 1
N63: 1
N65: 1
Trijac: 1
N74: 1
Kinboe: 1
Kinxen: 1
N77: 1
Chadil: 1
Chasen: 1
N90: 1
Total number of loss events: 34
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
B3088: 1
B11696: 1
BGAA1: 1
Rhamar: 1
Rhatem: 1
FurbGB: 1
N65: 1
N66: 1
Total number of transitions to max chromosome: 8
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	0	0	0	0
BGA709	0	1	0	0	0
BGA309	0	1	0	0	0
B11696	1	0	0	0	0
B11609	0	1	0	0	0
B983	0	0	0	0	0
B11604	0	1	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	2	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	0	0	0	0
PGA445	0	1	0	0	0
Rhaspe	1	1	0	0	0
Rhamar	0	1	0	0	0
Rhatem	2	2	0	0	0
FGA379	1	2	0	0	0
F3015	2	2	0	0	0
F1476	2	2	0	0	0
Furcep	2	3	0	0	0
Furpol	2	3	0	0	0
F2241	2	2	0	0	0
Furang	2	2	0	0	0
FGA490	2	3	0	0	0
FGA456	2	2	0	0	0
FGA513	2	3	0	0	0
F12278	4	4	0	0	0
Furant	2	2	0	0	0
FGA331	2	2	0	0	0
FGA465	2	2	0	0	0
FGA99	2	2	0	0	0
FGA15	2	2	0	0	0
FGA581	2	2	0	0	0
FGA104	2	3	0	0	0
FGA489	2	2	0	0	0
FGA174	4	2	0	0	0
FurbGB	1	2	0	0	0
CGA312	1	1	0	0	0
CGA642	1	2	0	0	0
CGA763	1	1	0	0	0
C601	1	1	0	0	0
CGA236	1	1	0	0	0
Calboe	2	1	0	0	0
C3125	1	1	0	0	0
CGA429	1	2	0	0	0
C984	1	2	0	0	0
CGA310	1	1	0	0	0
CGA365	1	2	0	0	0
CGA494	1	1	0	0	0
C12265	1	3	0	0	0
C404	1	1	0	0	0
Cl11778	1	1	0	0	0
CGA48	1	1	0	0	0
C3126	1	1	0	0	0
CGA311	1	1	0	0	0
CGA45	1	2	0	0	0
C3043	1	2	0	0	0
CGA364	1	2	0	0	0
C2208	1	2	0	0	0
CGA453	1	1	0	0	0
CGA501	1	1	0	0	0
C3121	1	1	0	0	0
Calparcri	1	2	0	0	0
C3118	1	2	0	0	0
Triowe	0	2	0	0	0
Trijoh	0	2	0	0	0
Trimel	0	2	0	0	0
Trihoe	0	2	0	0	0
Tribit	0	2	0	0	0
Trijac	0	3	0	0	0
Tricri	0	2	0	0	0
Triwie	0	2	0	0	0
Triqua	0	2	0	0	0
Kinboe	0	4	0	0	0
Kinfis	0	3	0	0	0
Kinxen	0	4	0	0	0
Chaafr	0	2	0	0	0
Chacha	0	2	0	0	0
Chacaly	0	2	0	0	0
Chazey	0	2	0	0	0
Chadil	0	3	0	0	0
Chasen	1	3	0	0	0
Chanam	1	2	0	0	0
Braset	0	1	0	0	0
Bramel	0	1	0	0	0
Bratha	0	1	0	0	0
Bradra	1	1	0	0	0
Bratra	0	1	0	0	0
Bragut	0	1	0	0	0
Braven	0	1	0	0	0
Brapum	0	2	0	0	0
Bradam	1	2	0	0	0
