#Nodes with GAIN events
N3: 1
Rhatem: 1
FurbGB: 2
CGA312: 1
Calboe: 1
CGA45: 1
N72: 1
N77: 1
N79: 1
Chanam: 1
Total number of gain events: 11
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B983: 1
B11604: 2
PGA445: 2
N14: 1
N20: 1
F3015: 1
N34: 1
F12278: 2
FGA174: 1
FurbGB: 1
CGA312: 2
N44: 1
Calboe: 1
N52: 1
C3043: 1
N60: 1
N71: 1
Kinboe: 1
Chasen: 1
N83: 1
Total number of loss events: 24
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
BGA709: 1
Rhaspe: 1
N37: 1
FGA174: 1
N67: 1
Trijoh: 1
Braven: 1
Total number of demi-dulications events: 7
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	0	0	0	0
BGA709	1	0	0	1	0
BGA309	1	0	0	0	0
B11696	1	0	0	0	0
B11609	1	0	0	0	0
B983	1	1	0	0	0
B11604	1	2	0	0	0
BGAA1	1	0	0	0	0
BGA584	1	0	0	0	0
BGA303	1	0	0	0	0
BGAB1	1	0	0	0	0
PGA445	0	2	0	0	0
Rhaspe	0	1	0	1	0
Rhamar	0	1	0	0	0
Rhatem	1	1	0	0	0
FGA379	0	0	0	0	0
F3015	0	2	0	0	0
F1476	0	1	0	0	0
Furcep	0	1	0	0	0
Furpol	0	1	0	0	0
F2241	0	1	0	0	0
Furang	0	1	0	0	0
FGA490	0	1	0	0	0
FGA456	0	2	0	0	0
FGA513	0	2	0	0	0
F12278	0	3	0	0	0
Furant	0	1	0	0	0
FGA331	0	1	0	0	0
FGA465	0	1	0	0	0
FGA99	0	1	0	0	0
FGA15	0	1	0	1	0
FGA581	0	1	0	1	0
FGA104	0	1	0	0	0
FGA489	0	1	0	0	0
FGA174	0	2	0	1	0
FurbGB	2	1	0	0	0
CGA312	1	2	0	0	0
CGA642	0	1	0	0	0
CGA763	0	1	0	0	0
C601	0	1	0	0	0
CGA236	0	0	0	0	0
Calboe	1	1	0	0	0
C3125	0	0	0	0	0
CGA429	0	0	0	0	0
C984	0	0	0	0	0
CGA310	0	0	0	0	0
CGA365	0	0	0	0	0
CGA494	0	0	0	0	0
C12265	0	1	0	0	0
C404	0	1	0	0	0
Cl11778	0	1	0	0	0
CGA48	0	1	0	0	0
C3126	0	1	0	0	0
CGA311	0	0	0	0	0
CGA45	1	0	0	0	0
C3043	0	1	0	0	0
CGA364	0	0	0	0	0
C2208	0	0	0	0	0
CGA453	0	1	0	0	0
CGA501	0	1	0	0	0
C3121	0	1	0	0	0
Calparcri	0	1	0	0	0
C3118	0	1	0	0	0
Triowe	0	0	0	1	0
Trijoh	0	0	0	2	0
Trimel	0	0	0	1	0
Trihoe	0	1	0	1	0
Tribit	0	1	0	1	0
Trijac	0	0	0	1	0
Tricri	1	0	0	0	0
Triwie	1	0	0	0	0
Triqua	1	0	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	0	0	0	0
Kinxen	0	0	0	0	0
Chaafr	2	0	0	0	0
Chacha	2	0	0	0	0
Chacaly	2	0	0	0	0
Chazey	2	0	0	0	0
Chadil	1	0	0	0	0
Chasen	1	1	0	0	0
Chanam	2	0	0	0	0
Braset	0	1	0	0	0
Bramel	0	1	0	0	0
Bratha	0	1	0	0	0
Bradra	0	1	0	0	0
Bratra	0	1	0	0	0
Bragut	0	1	0	0	0
Braven	0	1	0	1	0
Brapum	0	1	0	0	0
Bradam	0	1	0	0	0
