#Nodes with GAIN events
B3088: 1
B11609: 1
B11604: 1
Rhamar: 1
N40: 1
N61: 1
N64: 1
Triowe: 1
Kinxen: 1
Chasen: 1
Chanam: 1
Total number of gain events: 11
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
BGA709: 1
BGA309: 1
B11696: 1
B11609: 1
N11: 1
N12: 1
BGA303: 1
FGA379: 1
F1476: 1
FGA104: 2
FGA489: 1
FGA174: 1
N51: 1
CGA365: 1
CGA311: 2
C3043: 1
N61: 1
N70: 1
Triqua: 2
N78: 1
Chacha: 1
N82: 1
Chanam: 1
N83: 1
Total number of loss events: 28
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N17: 1
FGA489: 1
C404: 1
N83: 1
N85: 1
Total number of demi-dulications events: 5
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
C404: 1
Total number of transitions to max chromosome: 1
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	0	0
BGA709	0	2	0	0	0
BGA309	0	2	0	0	0
B11696	0	2	0	0	0
B11609	1	2	0	0	0
B983	0	1	0	0	0
B11604	1	1	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	2	0	0	0
BGA303	0	3	0	0	0
BGAB1	0	2	0	0	0
PGA445	0	0	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	1	0	0	0	0
Rhatem	0	0	0	0	0
FGA379	0	1	0	1	0
F3015	0	0	0	1	0
F1476	0	1	0	1	0
Furcep	0	0	0	1	0
Furpol	0	0	0	1	0
F2241	0	0	0	1	0
Furang	0	0	0	1	0
FGA490	0	0	0	1	0
FGA456	0	0	0	1	0
FGA513	0	0	0	1	0
F12278	0	0	0	1	0
Furant	0	0	0	1	0
FGA331	0	0	0	1	0
FGA465	0	0	0	1	0
FGA99	0	0	0	1	0
FGA15	0	0	0	1	0
FGA581	0	0	0	1	0
FGA104	0	2	0	1	0
FGA489	0	1	0	2	0
FGA174	0	1	0	1	0
FurbGB	0	0	0	1	0
CGA312	1	0	0	1	0
CGA642	1	0	0	1	0
CGA763	1	0	0	1	0
C601	1	0	0	1	0
CGA236	1	0	0	1	0
Calboe	1	0	0	1	0
C3125	1	0	0	1	0
CGA429	1	0	0	1	0
C984	1	0	0	1	0
CGA310	1	0	0	1	0
CGA365	1	2	0	1	0
CGA494	1	1	0	1	0
C12265	1	0	0	1	0
C404	1	0	0	2	0
Cl11778	1	0	0	1	0
CGA48	1	0	0	1	0
C3126	1	0	0	1	0
CGA311	0	2	0	1	0
CGA45	0	0	0	1	0
C3043	0	1	0	1	0
CGA364	0	0	0	1	0
C2208	0	0	0	1	0
CGA453	1	1	0	1	0
CGA501	1	1	0	1	0
C3121	1	1	0	1	0
Calparcri	0	0	0	1	0
C3118	0	0	0	1	0
Triowe	2	0	0	0	0
Trijoh	1	0	0	0	0
Trimel	1	0	0	0	0
Trihoe	1	1	0	0	0
Tribit	1	1	0	0	0
Trijac	1	1	0	0	0
Tricri	1	0	0	0	0
Triwie	1	0	0	0	0
Triqua	1	2	0	0	0
Kinboe	1	0	0	0	0
Kinfis	1	0	0	0	0
Kinxen	2	0	0	0	0
Chaafr	1	1	0	0	0
Chacha	1	2	0	0	0
Chacaly	1	1	0	0	0
Chazey	1	1	0	0	0
Chadil	1	2	0	0	0
Chasen	2	2	0	0	0
Chanam	2	1	0	0	0
Braset	1	1	0	2	0
Bramel	1	1	0	2	0
Bratha	1	1	0	2	0
Bradra	1	1	0	2	0
Bratra	1	1	0	2	0
Bragut	1	1	0	1	0
Braven	1	1	0	1	0
Brapum	1	1	0	1	0
Bradam	1	1	0	1	0
