#Nodes with GAIN events
N3: 1
N6: 1
B11604: 1
BGAB1: 1
PGA445: 1
Rhamar: 1
Rhatem: 1
N17: 1
FGA331: 1
FGA15: 1
CGA236: 1
CGA429: 1
CGA310: 1
N65: 1
N68: 1
Trimel: 1
N70: 1
Trijac: 1
Chanam: 1
Total number of gain events: 19
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
BGA309: 1
B11696: 1
N11: 1
BGAA1: 1
BGAB1: 1
Rhaspe: 1
Rhamar: 3
FGA379: 1
F3015: 1
FGA513: 1
FGA15: 1
N40: 1
CGA642: 1
CGA311: 1
N58: 1
N68: 1
N75: 1
Kinxen: 1
N79: 1
Chadil: 1
Total number of loss events: 22
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N7: 1
B11696: 1
PGA445: 1
FGA379: 1
CGA312: 1
CGA311: 1
N78: 1
Total number of demi-dulications events: 7
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	0	0	0	0
BGA709	1	0	0	0	0
BGA309	1	1	0	0	0
B11696	2	1	0	2	0
B11609	2	0	0	1	0
B983	2	0	0	0	0
B11604	3	0	0	0	0
BGAA1	2	2	0	0	0
BGA584	2	1	0	0	0
BGA303	2	0	0	0	0
BGAB1	3	1	0	0	0
PGA445	1	0	0	1	0
Rhaspe	0	1	0	0	0
Rhamar	1	3	0	0	0
Rhatem	1	0	0	0	0
FGA379	1	1	0	1	0
F3015	1	1	0	0	0
F1476	1	0	0	0	0
Furcep	1	0	0	0	0
Furpol	1	0	0	0	0
F2241	1	0	0	0	0
Furang	1	0	0	0	0
FGA490	1	0	0	0	0
FGA456	1	0	0	0	0
FGA513	1	1	0	0	0
F12278	1	0	0	0	0
Furant	1	0	0	0	0
FGA331	2	0	0	0	0
FGA465	1	0	0	0	0
FGA99	1	0	0	0	0
FGA15	2	1	0	0	0
FGA581	1	0	0	0	0
FGA104	1	0	0	0	0
FGA489	1	0	0	0	0
FGA174	1	0	0	0	0
FurbGB	1	0	0	0	0
CGA312	1	1	0	1	0
CGA642	1	2	0	0	0
CGA763	1	1	0	0	0
C601	1	1	0	0	0
CGA236	2	1	0	0	0
Calboe	1	1	0	0	0
C3125	1	1	0	0	0
CGA429	2	1	0	0	0
C984	1	1	0	0	0
CGA310	2	1	0	0	0
CGA365	1	1	0	0	0
CGA494	1	1	0	0	0
C12265	1	1	0	0	0
C404	1	1	0	0	0
Cl11778	1	1	0	0	0
CGA48	1	1	0	0	0
C3126	1	1	0	0	0
CGA311	1	1	0	1	0
CGA45	1	1	0	0	0
C3043	1	1	0	0	0
CGA364	1	1	0	0	0
C2208	1	0	0	0	0
CGA453	1	0	0	0	0
CGA501	1	0	0	0	0
C3121	1	0	0	0	0
Calparcri	1	0	0	0	0
C3118	1	0	0	0	0
Triowe	2	1	0	0	0
Trijoh	2	1	0	0	0
Trimel	3	1	0	0	0
Trihoe	2	0	0	0	0
Tribit	2	0	0	0	0
Trijac	3	0	0	0	0
Tricri	1	0	0	0	0
Triwie	1	0	0	0	0
Triqua	1	0	0	0	0
Kinboe	1	1	0	0	0
Kinfis	1	1	0	0	0
Kinxen	1	1	0	0	0
Chaafr	0	1	0	1	0
Chacha	0	1	0	1	0
Chacaly	0	1	0	1	0
Chazey	0	1	0	1	0
Chadil	0	1	0	1	0
Chasen	0	0	0	1	0
Chanam	1	0	0	0	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	0	0	0	0
Bratra	0	0	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
