#Nodes with GAIN events
B3088: 1
B11696: 1
PGA445: 3
Rhamar: 1
N17: 1
FGA379: 3
Furcep: 1
FGA490: 1
FGA15: 1
FGA174: 1
N40: 1
CGA236: 1
CGA365: 1
N63: 1
Tricri: 1
Kinfis: 1
N78: 1
Chacha: 1
Total number of gain events: 22
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
B983: 1
BGA303: 1
N14: 1
Rhaspe: 1
Rhamar: 1
Rhatem: 2
F12278: 1
CGA312: 1
CGA236: 2
N49: 1
C404: 1
CGA48: 1
N56: 1
CGA45: 1
Trihoe: 1
Triqua: 1
N75: 2
Kinfis: 1
Kinxen: 1
N77: 1
Bradra: 2
Total number of loss events: 26
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N3: 1
N4: 1
BGAB1: 1
PGA445: 1
FGA513: 1
N66: 1
Chanam: 1
N90: 1
Total number of demi-dulications events: 8
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	2	0
BGA709	0	0	0	2	0
BGA309	0	0	0	2	0
B11696	1	0	0	1	0
B11609	0	0	0	1	0
B983	0	1	0	1	0
B11604	0	0	0	1	0
BGAA1	0	0	0	1	0
BGA584	0	0	0	1	0
BGA303	0	1	0	1	0
BGAB1	0	0	0	2	0
PGA445	3	0	0	1	0
Rhaspe	0	2	0	0	0
Rhamar	1	2	0	0	0
Rhatem	0	3	0	0	0
FGA379	4	0	0	0	0
F3015	1	0	0	0	0
F1476	1	0	0	0	0
Furcep	2	0	0	0	0
Furpol	1	0	0	0	0
F2241	1	0	0	0	0
Furang	1	0	0	0	0
FGA490	2	0	0	0	0
FGA456	1	0	0	0	0
FGA513	1	0	0	1	0
F12278	1	1	0	0	0
Furant	1	0	0	0	0
FGA331	1	0	0	0	0
FGA465	1	0	0	0	0
FGA99	1	0	0	0	0
FGA15	2	0	0	0	0
FGA581	1	0	0	0	0
FGA104	1	0	0	0	0
FGA489	1	0	0	0	0
FGA174	2	0	0	0	0
FurbGB	1	0	0	0	0
CGA312	2	1	0	0	0
CGA642	2	0	0	0	0
CGA763	2	0	0	0	0
C601	2	0	0	0	0
CGA236	3	2	0	0	0
Calboe	2	0	0	0	0
C3125	2	0	0	0	0
CGA429	2	0	0	0	0
C984	2	1	0	0	0
CGA310	2	1	0	0	0
CGA365	3	1	0	0	0
CGA494	2	1	0	0	0
C12265	2	0	0	0	0
C404	2	1	0	0	0
Cl11778	2	0	0	0	0
CGA48	2	1	0	0	0
C3126	2	0	0	0	0
CGA311	1	1	0	0	0
CGA45	1	2	0	0	0
C3043	1	1	0	0	0
CGA364	1	1	0	0	0
C2208	1	1	0	0	0
CGA453	1	0	0	0	0
CGA501	1	0	0	0	0
C3121	1	0	0	0	0
Calparcri	2	0	0	0	0
C3118	2	0	0	0	0
Triowe	0	0	0	1	0
Trijoh	0	0	0	1	0
Trimel	0	0	0	1	0
Trihoe	0	1	0	1	0
Tribit	0	0	0	1	0
Trijac	0	0	0	1	0
Tricri	1	0	0	1	0
Triwie	0	0	0	1	0
Triqua	0	1	0	1	0
Kinboe	0	2	0	0	0
Kinfis	1	3	0	0	0
Kinxen	0	1	0	0	0
Chaafr	1	1	0	0	0
Chacha	2	1	0	0	0
Chacaly	1	1	0	0	0
Chazey	1	1	0	0	0
Chadil	1	1	0	0	0
Chasen	1	1	0	0	0
Chanam	0	1	0	1	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	2	0	0	0
Bratra	0	0	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	0	0	1	0
Bradam	0	0	0	1	0
