#Nodes with GAIN events
BGA709: 1
N10: 1
PGA445: 1
N15: 1
FGA379: 1
Furcep: 1
FGA490: 1
FurbGB: 2
CGA364: 1
Trimel: 1
N79: 1
Chanam: 2
Total number of gain events: 14
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B11604: 1
Rhaspe: 2
N17: 1
FGA379: 2
N20: 1
Furcep: 1
FGA174: 2
CGA763: 1
CGA429: 1
C984: 1
CGA494: 1
C3126: 1
C3043: 2
CGA453: 1
Trijoh: 1
N72: 1
Triqua: 1
Kinboe: 1
N83: 2
Total number of loss events: 24
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
BGA709: 1
Rhamar: 1
N22: 1
F12278: 1
CGA364: 1
Chanam: 1
Total number of demi-dulications events: 6
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	0	0	0	0
BGA709	1	0	0	1	0
BGA309	0	0	0	0	0
B11696	0	0	0	0	0
B11609	0	0	0	0	0
B983	1	0	0	0	0
B11604	1	1	0	0	0
BGAA1	0	0	0	0	0
BGA584	0	0	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	0	0	0	0
PGA445	1	0	0	0	0
Rhaspe	0	2	0	0	0
Rhamar	1	0	0	1	0
Rhatem	1	0	0	0	0
FGA379	1	3	0	0	0
F3015	0	2	0	0	0
F1476	0	2	0	1	0
Furcep	1	3	0	1	0
Furpol	0	2	0	1	0
F2241	0	2	0	1	0
Furang	0	2	0	1	0
FGA490	1	2	0	1	0
FGA456	0	2	0	1	0
FGA513	0	2	0	1	0
F12278	0	2	0	2	0
Furant	0	2	0	1	0
FGA331	0	2	0	1	0
FGA465	0	2	0	1	0
FGA99	0	2	0	1	0
FGA15	0	2	0	1	0
FGA581	0	2	0	1	0
FGA104	0	2	0	1	0
FGA489	0	2	0	1	0
FGA174	0	4	0	0	0
FurbGB	2	1	0	0	0
CGA312	0	1	0	0	0
CGA642	0	1	0	0	0
CGA763	0	2	0	0	0
C601	0	1	0	0	0
CGA236	0	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	1	0	0	0
CGA429	0	2	0	0	0
C984	0	2	0	0	0
CGA310	0	1	0	0	0
CGA365	0	1	0	0	0
CGA494	0	2	0	0	0
C12265	0	1	0	0	0
C404	0	1	0	0	0
Cl11778	0	1	0	0	0
CGA48	0	1	0	0	0
C3126	0	2	0	0	0
CGA311	0	1	0	0	0
CGA45	0	1	0	0	0
C3043	0	3	0	0	0
CGA364	1	1	0	1	0
C2208	0	1	0	0	0
CGA453	0	2	0	0	0
CGA501	0	1	0	0	0
C3121	0	1	0	0	0
Calparcri	0	1	0	0	0
C3118	0	1	0	0	0
Triowe	0	0	0	0	0
Trijoh	0	1	0	0	0
Trimel	1	0	0	0	0
Trihoe	0	0	0	0	0
Tribit	0	0	0	0	0
Trijac	0	0	0	0	0
Tricri	0	1	0	0	0
Triwie	0	1	0	0	0
Triqua	0	2	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	0	0	0	0
Kinxen	0	0	0	0	0
Chaafr	1	0	0	0	0
Chacha	1	0	0	0	0
Chacaly	1	0	0	0	0
Chazey	1	0	0	0	0
Chadil	0	0	0	0	0
Chasen	0	0	0	0	0
Chanam	2	0	0	1	0
Braset	0	2	0	0	0
Bramel	0	2	0	0	0
Bratha	0	2	0	0	0
Bradra	0	2	0	0	0
Bratra	0	2	0	0	0
Bragut	0	2	0	0	0
Braven	0	2	0	0	0
Brapum	0	2	0	0	0
Bradam	0	2	0	0	0
