#Nodes with GAIN events
BGA709: 3
BGA584: 1
PGA445: 1
Rhamar: 1
F1476: 1
FGA513: 1
CGA642: 1
Calboe: 1
C984: 1
C3043: 1
C2208: 1
Trijac: 1
Kinxen: 1
N83: 1
Total number of gain events: 16
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
BGA709: 1
BGA309: 2
N7: 1
N9: 1
N10: 2
Rhaspe: 2
Rhatem: 1
N18: 1
N19: 1
F1476: 1
FGA99: 1
FGA174: 1
CGA312: 1
Calboe: 1
N52: 1
Cl11778: 1
N67: 1
N77: 1
Braven: 1
Brapum: 1
Bradam: 1
Total number of loss events: 25
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N12: 1
Rhamar: 1
CGA311: 1
CGA45: 1
N60: 1
Triowe: 1
Trijoh: 1
N75: 1
N89: 1
Total number of demi-dulications events: 9
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	3	1	0	0	0
BGA309	0	2	0	0	0
B11696	0	1	0	0	0
B11609	0	1	0	0	0
B983	0	3	0	0	0
B11604	0	3	0	0	0
BGAA1	0	1	0	0	0
BGA584	1	1	0	0	0
BGA303	0	0	0	1	0
BGAB1	0	0	0	1	0
PGA445	1	0	0	0	0
Rhaspe	0	2	0	0	0
Rhamar	1	0	0	1	0
Rhatem	0	1	0	0	0
FGA379	0	1	0	0	0
F3015	0	2	0	0	0
F1476	1	3	0	0	0
Furcep	0	2	0	0	0
Furpol	0	2	0	0	0
F2241	0	2	0	0	0
Furang	0	2	0	0	0
FGA490	0	2	0	0	0
FGA456	0	2	0	0	0
FGA513	1	2	0	0	0
F12278	0	2	0	0	0
Furant	0	2	0	0	0
FGA331	0	2	0	0	0
FGA465	0	2	0	0	0
FGA99	0	3	0	0	0
FGA15	0	2	0	0	0
FGA581	0	2	0	0	0
FGA104	0	2	0	0	0
FGA489	0	2	0	0	0
FGA174	0	3	0	0	0
FurbGB	0	2	0	0	0
CGA312	0	1	0	0	0
CGA642	1	0	0	0	0
CGA763	0	0	0	0	0
C601	0	0	0	0	0
CGA236	0	0	0	0	0
Calboe	1	1	0	0	0
C3125	0	0	0	0	0
CGA429	0	0	0	0	0
C984	1	0	0	0	0
CGA310	0	0	0	0	0
CGA365	0	0	0	0	0
CGA494	0	0	0	0	0
C12265	0	1	0	0	0
C404	0	1	0	0	0
Cl11778	0	2	0	0	0
CGA48	0	1	0	0	0
C3126	0	1	0	0	0
CGA311	0	0	0	1	0
CGA45	0	0	0	1	0
C3043	1	0	0	0	0
CGA364	0	0	0	0	0
C2208	1	0	0	0	0
CGA453	0	0	0	1	0
CGA501	0	0	0	1	0
C3121	0	0	0	1	0
Calparcri	0	0	0	1	0
C3118	0	0	0	1	0
Triowe	0	1	0	1	0
Trijoh	0	1	0	1	0
Trimel	0	1	0	0	0
Trihoe	0	1	0	0	0
Tribit	0	1	0	0	0
Trijac	1	1	0	0	0
Tricri	0	0	0	0	0
Triwie	0	0	0	0	0
Triqua	0	0	0	0	0
Kinboe	0	0	0	1	0
Kinfis	0	0	0	1	0
Kinxen	1	0	0	0	0
Chaafr	0	1	0	0	0
Chacha	0	1	0	0	0
Chacaly	0	1	0	0	0
Chazey	0	1	0	0	0
Chadil	0	1	0	0	0
Chasen	0	1	0	0	0
Chanam	0	1	0	0	0
Braset	1	0	0	0	0
Bramel	1	0	0	0	0
Bratha	1	0	0	0	0
Bradra	1	0	0	0	0
Bratra	1	0	0	0	0
Bragut	1	0	0	1	0
Braven	1	1	0	1	0
Brapum	1	1	0	0	0
Bradam	1	1	0	0	0
