#Nodes with GAIN events
N5: 1
BGA309: 1
N7: 1
BGA303: 1
PGA445: 1
Rhatem: 1
FGA379: 1
N19: 1
F1476: 1
CGA310: 1
C12265: 1
N56: 1
N71: 1
Tricri: 1
Triwie: 2
N76: 1
Chaafr: 1
N83: 1
Total number of gain events: 19
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
BGA709: 2
N6: 1
Rhaspe: 2
N17: 1
FGA379: 1
FGA581: 1
FGA174: 1
FurbGB: 1
CGA494: 1
N56: 1
CGA311: 1
CGA45: 1
CGA453: 1
Triowe: 1
N70: 1
N73: 1
Kinxen: 1
N77: 1
Chanam: 3
Bratra: 1
Total number of loss events: 24
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Rhaspe: 1
N56: 1
N73: 1
Total number of demi-dulications events: 3
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	0	0	0	0
BGA709	1	2	0	0	0
BGA309	2	0	0	0	0
B11696	1	1	0	0	0
B11609	1	1	0	0	0
B983	0	1	0	0	0
B11604	0	1	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	1	0	0	0
BGA303	1	1	0	0	0
BGAB1	0	1	0	0	0
PGA445	1	0	0	0	0
Rhaspe	0	2	0	1	0
Rhamar	0	0	0	0	0
Rhatem	1	0	0	0	0
FGA379	1	2	0	0	0
F3015	1	1	0	0	0
F1476	2	1	0	0	0
Furcep	1	1	0	0	0
Furpol	1	1	0	0	0
F2241	1	1	0	0	0
Furang	1	1	0	0	0
FGA490	1	1	0	0	0
FGA456	1	1	0	0	0
FGA513	1	1	0	0	0
F12278	1	1	0	0	0
Furant	1	1	0	0	0
FGA331	1	1	0	0	0
FGA465	1	1	0	0	0
FGA99	1	1	0	0	0
FGA15	1	1	0	0	0
FGA581	1	2	0	0	0
FGA104	1	1	0	0	0
FGA489	1	1	0	0	0
FGA174	1	2	0	0	0
FurbGB	1	2	0	0	0
CGA312	0	1	0	0	0
CGA642	0	1	0	0	0
CGA763	0	1	0	0	0
C601	0	1	0	0	0
CGA236	0	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	1	0	0	0
CGA429	0	1	0	0	0
C984	0	1	0	0	0
CGA310	1	1	0	0	0
CGA365	0	1	0	0	0
CGA494	0	2	0	0	0
C12265	1	1	0	0	0
C404	0	1	0	0	0
Cl11778	0	1	0	0	0
CGA48	0	1	0	0	0
C3126	0	1	0	0	0
CGA311	1	3	0	1	0
CGA45	1	3	0	1	0
C3043	1	2	0	1	0
CGA364	1	2	0	1	0
C2208	1	2	0	1	0
CGA453	0	2	0	0	0
CGA501	0	1	0	0	0
C3121	0	1	0	0	0
Calparcri	0	1	0	0	0
C3118	0	1	0	0	0
Triowe	0	1	0	0	0
Trijoh	0	0	0	0	0
Trimel	0	0	0	0	0
Trihoe	1	1	0	0	0
Tribit	1	1	0	0	0
Trijac	0	1	0	0	0
Tricri	1	0	0	0	0
Triwie	2	1	0	1	0
Triqua	0	1	0	1	0
Kinboe	0	0	0	0	0
Kinfis	0	0	0	0	0
Kinxen	0	1	0	0	0
Chaafr	2	1	0	0	0
Chacha	1	1	0	0	0
Chacaly	1	1	0	0	0
Chazey	1	1	0	0	0
Chadil	1	1	0	0	0
Chasen	1	1	0	0	0
Chanam	1	4	0	0	0
Braset	2	0	0	0	0
Bramel	2	0	0	0	0
Bratha	2	0	0	0	0
Bradra	2	0	0	0	0
Bratra	2	1	0	0	0
Bragut	2	0	0	0	0
Braven	2	0	0	0	0
Brapum	2	0	0	0	0
Bradam	2	0	0	0	0
