#Nodes with GAIN events
PGA445: 1
Rhaspe: 1
N20: 1
F1476: 1
Furcep: 2
F2241: 1
FGA465: 1
FGA99: 1
CGA236: 1
CGA310: 1
CGA311: 1
Kinxen: 1
Total number of gain events: 13
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
B3088: 2
BGA709: 1
BGA309: 2
N7: 1
B11696: 1
B11609: 1
B983: 1
N11: 1
N12: 1
BGAB1: 1
N13: 1
Rhaspe: 1
Rhamar: 2
Rhatem: 2
FGA379: 2
Furpol: 1
N28: 1
FGA456: 1
F12278: 2
FGA465: 1
FurbGB: 2
N44: 1
C3125: 1
C984: 2
CGA310: 2
C12265: 1
N55: 1
N57: 1
CGA364: 1
N60: 2
N66: 1
N67: 1
N72: 1
Kinboe: 1
Kinfis: 1
N77: 1
Chanam: 1
N83: 1
N89: 1
Total number of loss events: 50
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	3	0	0	0
BGA709	0	2	0	0	0
BGA309	0	3	0	0	0
B11696	0	3	0	0	0
B11609	0	3	0	0	0
B983	0	2	0	0	0
B11604	0	1	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	2	0	0	0
BGA303	0	2	0	0	0
BGAB1	0	3	0	0	0
PGA445	1	0	0	0	0
Rhaspe	1	2	0	0	0
Rhamar	0	3	0	0	0
Rhatem	0	3	0	0	0
FGA379	0	3	0	0	0
F3015	1	1	0	0	0
F1476	2	1	0	0	0
Furcep	3	1	0	0	0
Furpol	1	2	0	0	0
F2241	2	2	0	0	0
Furang	1	2	0	0	0
FGA490	1	2	0	0	0
FGA456	1	2	0	0	0
FGA513	1	1	0	0	0
F12278	1	3	0	0	0
Furant	1	1	0	0	0
FGA331	1	1	0	0	0
FGA465	2	2	0	0	0
FGA99	2	1	0	0	0
FGA15	1	1	0	0	0
FGA581	1	1	0	0	0
FGA104	1	1	0	0	0
FGA489	1	1	0	0	0
FGA174	1	1	0	0	0
FurbGB	0	3	0	0	0
CGA312	0	1	0	0	0
CGA642	0	2	0	0	0
CGA763	0	2	0	0	0
C601	0	2	0	0	0
CGA236	1	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	2	0	0	0
CGA429	0	1	0	0	0
C984	0	3	0	0	0
CGA310	1	3	0	0	0
CGA365	0	1	0	0	0
CGA494	0	1	0	0	0
C12265	0	2	0	0	0
C404	0	1	0	0	0
Cl11778	0	2	0	0	0
CGA48	0	2	0	0	0
C3126	0	1	0	0	0
CGA311	1	1	0	0	0
CGA45	0	2	0	0	0
C3043	0	2	0	0	0
CGA364	0	3	0	0	0
C2208	0	2	0	0	0
CGA453	0	3	0	0	0
CGA501	0	3	0	0	0
C3121	0	3	0	0	0
Calparcri	0	3	0	0	0
C3118	0	3	0	0	0
Triowe	0	3	0	0	0
Trijoh	0	3	0	0	0
Trimel	0	3	0	0	0
Trihoe	0	3	0	0	0
Tribit	0	3	0	0	0
Trijac	0	3	0	0	0
Tricri	0	3	0	0	0
Triwie	0	3	0	0	0
Triqua	0	3	0	0	0
Kinboe	0	2	0	0	0
Kinfis	0	2	0	0	0
Kinxen	1	1	0	0	0
Chaafr	0	2	0	0	0
Chacha	0	2	0	0	0
Chacaly	0	2	0	0	0
Chazey	0	2	0	0	0
Chadil	0	2	0	0	0
Chasen	0	2	0	0	0
Chanam	0	3	0	0	0
Braset	0	2	0	0	0
Bramel	0	2	0	0	0
Bratha	0	2	0	0	0
Bradra	0	2	0	0	0
Bratra	0	2	0	0	0
Bragut	0	3	0	0	0
Braven	0	3	0	0	0
Brapum	0	2	0	0	0
Bradam	0	2	0	0	0
