#Nodes with GAIN events
N5: 1
N13: 2
Rhaspe: 1
Rhatem: 2
N17: 1
Furpol: 2
CGA236: 1
C984: 1
N51: 1
CGA365: 1
N56: 1
Kinfis: 2
Total number of gain events: 16
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 2
BGA709: 2
N6: 1
N11: 1
BGA303: 1
PGA445: 1
N13: 2
Rhaspe: 1
N17: 1
FGA379: 2
N19: 1
N20: 1
FurbGB: 1
CGA312: 2
N44: 1
CGA429: 1
N49: 1
C984: 2
C404: 1
CGA364: 2
CGA501: 1
N65: 1
N67: 1
N72: 1
N73: 1
Kinboe: 1
Kinfis: 1
N77: 2
Chasen: 1
N83: 1
Braset: 1
Bragut: 1
Total number of loss events: 40
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	2	0	0	0
BGA709	1	2	0	0	0
BGA309	1	0	0	0	0
B11696	0	1	0	0	0
B11609	0	1	0	0	0
B983	0	1	0	0	0
B11604	0	1	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	2	0	0	0
BGA303	0	2	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	1	0	0	0
Rhaspe	3	3	0	0	0
Rhamar	2	2	0	0	0
Rhatem	4	2	0	0	0
FGA379	3	5	0	0	0
F3015	3	5	0	0	0
F1476	3	5	0	0	0
Furcep	3	5	0	0	0
Furpol	5	5	0	0	0
F2241	3	5	0	0	0
Furang	3	5	0	0	0
FGA490	3	5	0	0	0
FGA456	3	5	0	0	0
FGA513	3	5	0	0	0
F12278	3	5	0	0	0
Furant	3	5	0	0	0
FGA331	3	5	0	0	0
FGA465	3	5	0	0	0
FGA99	3	5	0	0	0
FGA15	3	5	0	0	0
FGA581	3	5	0	0	0
FGA104	3	5	0	0	0
FGA489	3	5	0	0	0
FGA174	3	5	0	0	0
FurbGB	3	5	0	0	0
CGA312	3	5	0	0	0
CGA642	3	4	0	0	0
CGA763	3	4	0	0	0
C601	3	4	0	0	0
CGA236	4	3	0	0	0
Calboe	3	3	0	0	0
C3125	3	3	0	0	0
CGA429	3	4	0	0	0
C984	4	6	0	0	0
CGA310	3	4	0	0	0
CGA365	5	4	0	0	0
CGA494	4	4	0	0	0
C12265	3	3	0	0	0
C404	3	4	0	0	0
Cl11778	3	3	0	0	0
CGA48	3	3	0	0	0
C3126	3	3	0	0	0
CGA311	4	3	0	0	0
CGA45	4	3	0	0	0
C3043	4	3	0	0	0
CGA364	4	5	0	0	0
C2208	4	3	0	0	0
CGA453	3	3	0	0	0
CGA501	3	4	0	0	0
C3121	3	3	0	0	0
Calparcri	3	3	0	0	0
C3118	3	3	0	0	0
Triowe	2	4	0	0	0
Trijoh	2	4	0	0	0
Trimel	2	4	0	0	0
Trihoe	2	4	0	0	0
Tribit	2	4	0	0	0
Trijac	2	4	0	0	0
Tricri	2	4	0	0	0
Triwie	2	5	0	0	0
Triqua	2	5	0	0	0
Kinboe	2	4	0	0	0
Kinfis	4	4	0	0	0
Kinxen	2	3	0	0	0
Chaafr	2	4	0	0	0
Chacha	2	4	0	0	0
Chacaly	2	4	0	0	0
Chazey	2	4	0	0	0
Chadil	2	4	0	0	0
Chasen	2	5	0	0	0
Chanam	2	4	0	0	0
Braset	2	4	0	0	0
Bramel	2	3	0	0	0
Bratha	2	3	0	0	0
Bradra	2	3	0	0	0
Bratra	2	3	0	0	0
Bragut	2	4	0	0	0
Braven	2	3	0	0	0
Brapum	2	3	0	0	0
Bradam	2	3	0	0	0
