#Nodes with GAIN events
N2: 1
N3: 1
BGA309: 1
N7: 1
B11604: 1
BGA303: 1
N15: 1
Rhatem: 2
FGA456: 1
N75: 1
Kinboe: 1
Chadil: 1
Chasen: 1
Chanam: 2
Total number of gain events: 16
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
B3088: 4
BGA309: 1
N7: 1
B11696: 2
B11609: 1
N10: 1
B11604: 1
N12: 1
BGA303: 1
BGAB1: 1
PGA445: 2
N13: 1
Rhaspe: 2
Rhamar: 2
Rhatem: 2
N17: 2
FGA513: 1
FurbGB: 1
N48: 1
N65: 1
N66: 2
Kinboe: 1
Kinxen: 1
Chacha: 1
Chacaly: 1
N83: 2
Total number of loss events: 38
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	2	5	0	0	0
BGA709	2	1	0	0	0
BGA309	3	2	0	0	0
B11696	3	4	0	0	0
B11609	3	3	0	0	0
B983	2	2	0	0	0
B11604	3	3	0	0	0
BGAA1	2	1	0	0	0
BGA584	2	1	0	0	0
BGA303	3	3	0	0	0
BGAB1	2	3	0	0	0
PGA445	1	2	0	0	0
Rhaspe	0	3	0	0	0
Rhamar	1	3	0	0	0
Rhatem	3	3	0	0	0
FGA379	0	3	0	0	0
F3015	0	3	0	0	0
F1476	0	3	0	0	0
Furcep	0	3	0	0	0
Furpol	0	3	0	0	0
F2241	0	3	0	0	0
Furang	0	3	0	0	0
FGA490	0	3	0	0	0
FGA456	1	3	0	0	0
FGA513	0	4	0	0	0
F12278	0	3	0	0	0
Furant	0	3	0	0	0
FGA331	0	3	0	0	0
FGA465	0	3	0	0	0
FGA99	0	3	0	0	0
FGA15	0	3	0	0	0
FGA581	0	3	0	0	0
FGA104	0	3	0	0	0
FGA489	0	3	0	0	0
FGA174	0	3	0	0	0
FurbGB	0	4	0	0	0
CGA312	0	3	0	0	0
CGA642	0	3	0	0	0
CGA763	0	3	0	0	0
C601	0	3	0	0	0
CGA236	0	3	0	0	0
Calboe	0	4	0	0	0
C3125	0	4	0	0	0
CGA429	0	3	0	0	0
C984	0	3	0	0	0
CGA310	0	3	0	0	0
CGA365	0	3	0	0	0
CGA494	0	3	0	0	0
C12265	0	3	0	0	0
C404	0	3	0	0	0
Cl11778	0	3	0	0	0
CGA48	0	3	0	0	0
C3126	0	3	0	0	0
CGA311	0	3	0	0	0
CGA45	0	3	0	0	0
C3043	0	3	0	0	0
CGA364	0	3	0	0	0
C2208	0	3	0	0	0
CGA453	0	3	0	0	0
CGA501	0	3	0	0	0
C3121	0	3	0	0	0
Calparcri	0	3	0	0	0
C3118	0	3	0	0	0
Triowe	0	4	0	0	0
Trijoh	0	4	0	0	0
Trimel	0	4	0	0	0
Trihoe	0	4	0	0	0
Tribit	0	4	0	0	0
Trijac	0	4	0	0	0
Tricri	0	4	0	0	0
Triwie	0	4	0	0	0
Triqua	0	4	0	0	0
Kinboe	2	3	0	0	0
Kinfis	1	2	0	0	0
Kinxen	0	3	0	0	0
Chaafr	0	1	0	0	0
Chacha	0	2	0	0	0
Chacaly	0	2	0	0	0
Chazey	0	1	0	0	0
Chadil	1	1	0	0	0
Chasen	1	1	0	0	0
Chanam	2	1	0	0	0
Braset	0	3	0	0	0
Bramel	0	3	0	0	0
Bratha	0	3	0	0	0
Bradra	0	3	0	0	0
Bratra	0	3	0	0	0
Bragut	0	3	0	0	0
Braven	0	3	0	0	0
Brapum	0	3	0	0	0
Bradam	0	3	0	0	0
