haploidn,tips,sim
17,BGA706,2
17,BGA584,2
16,BGAA2,2
16,BGAA1,2
14,BGA40,2
14,BGA89,2
17,B11604,2
17,BGA583,2
17,BGAA3,2
17,B199,2
16,B983,2
16,B985,2
18,BGA304,2
18,BGA303,2
18,BGAB1,2
18,BGA7,2
15,B11609,2
14,BGA392,2
16,B11697,2
16,B11696,2
13,B3088,2
16,BGA710,2
16,BGA709,2
15,BGA309,2
18,PGA445,2
18,PGA363,2
20,CGA764,2
20,CGA763,2
20,C602,2
20,C601,2
20,CGA642,2
19,CGA430,2
19,CGA429,2
20,C3125,2
20,Calboe,2
20,CGA236,2
20,CGA382,2
20,CGA365,2
19,CGA495,2
19,CGA494,2
19,CGA314,2
19,CGA310,2
17,C985,2
17,C984,2
19,CGA594,2
19,CGA48,2
19,Cl11779,2
19,Cl11778,2
19,C404,2
19,C12265,2
20,C3126,2
20,C3134,2
19,CGA963,2
19,CGA312,2
18,CGA87,2
18,C3043,2
18,CGA557,2
18,CGA368,2
18,CGA364,2
18,CGA46,2
18,CGA45,2
20,C2208,2
20,CGA311,2
17,C11776,2
17,CGA501,2
17,C3123,2
17,C3121,2
17,CGA453,2
17,CGA383,2
19,C3118,2
20,Calparcri,2
18,FGA516,2
18,FGA513,2
18,FGA456,2
19,FGA465,2
18,F12279,2
18,F12278,2
17,FGA332,2
17,FGA331,2
17,Furant,2
18,FGA582,2
18,FGA581,2
17,FGA440,2
17,FGA15,2
18,F12269,2
18,FGA99,2
17,F12266,2
17,F2241,2
17,Furang,2
16,FGA490,2
17,Furpol,2
16,Furcep,2
16,F1476,2
16,FGA81,2
17,FGA105,2
17,FGA104,2
16,FGA489,2
17,F3016,2
17,F3015,2
18,FGA175,2
18,FGA174,2
16,FurbGB,2
18,F647,2
18,FGA379,2
19,Tribit,2
19,Trihoe,2
19,Trijac,2
18,Trijoh,2
18,Trimel,2
19,Triowe,2
20,Tricri,2
20,Triwie,2
19,Triqua,2
16,Kinboe,2
16,Kinfis,2
16,Kinxen,2
17,Bratra,2
19,Bradra,2
19,Bratha,2
19,Bramel,2
19,Braset,2
18,Braven,2
18,Bragut,2
19,Brapum,2
19,Bradam,2
18,Chazey,2
18,Chacaly,2
17,Chaafr,2
18,Chacha,2
19,Chadil,2
20,Chasen,2
19,Chanam,2
16,Rhamar,2
17,Rhatem,2
18,Rhaspe,2
17,BGA706,3
17,BGA584,3
17,BGAA2,3
17,BGAA1,3
15,BGA40,3
15,BGA89,3
16,B11604,3
16,BGA583,3
17,BGAA3,3
17,B199,3
15,B983,3
15,B985,3
16,BGA304,3
16,BGA303,3
17,BGAB1,3
17,BGA7,3
19,B11609,3
19,BGA392,3
17,B11697,3
17,B11696,3
15,B3088,3
15,BGA710,3
15,BGA709,3
17,BGA309,3
17,PGA445,3
17,PGA363,3
18,CGA764,3
18,CGA763,3
18,C602,3
18,C601,3
18,CGA642,3
16,CGA430,3
16,CGA429,3
17,C3125,3
17,Calboe,3
16,CGA236,3
15,CGA382,3
15,CGA365,3
18,CGA495,3
18,CGA494,3
17,CGA314,3
17,CGA310,3
16,C985,3
16,C984,3
18,CGA594,3
18,CGA48,3
17,Cl11779,3
17,Cl11778,3
17,C404,3
17,C12265,3
16,C3126,3
16,C3134,3
17,CGA963,3
17,CGA312,3
18,CGA87,3
18,C3043,3
17,CGA557,3
17,CGA368,3
17,CGA364,3
17,CGA46,3
17,CGA45,3
19,C2208,3
17,CGA311,3
19,C11776,3
19,CGA501,3
19,C3123,3
19,C3121,3
19,CGA453,3
19,CGA383,3
19,C3118,3
19,Calparcri,3
18,FGA516,3
18,FGA513,3
18,FGA456,3
17,FGA465,3
16,F12279,3
16,F12278,3
17,FGA332,3
17,FGA331,3
18,Furant,3
20,FGA582,3
20,FGA581,3
18,FGA440,3
18,FGA15,3
17,F12269,3
17,FGA99,3
17,F12266,3
17,F2241,3
17,Furang,3
18,FGA490,3
17,Furpol,3
18,Furcep,3
16,F1476,3
16,FGA81,3
17,FGA105,3
17,FGA104,3
18,FGA489,3
18,F3016,3
18,F3015,3
15,FGA175,3
15,FGA174,3
16,FurbGB,3
16,F647,3
16,FGA379,3
18,Tribit,3
18,Trihoe,3
17,Trijac,3
15,Trijoh,3
16,Trimel,3
17,Triowe,3
17,Tricri,3
18,Triwie,3
19,Triqua,3
18,Kinboe,3
16,Kinfis,3
16,Kinxen,3
15,Bratra,3
15,Bradra,3
15,Bratha,3
15,Bramel,3
16,Braset,3
16,Braven,3
16,Bragut,3
16,Brapum,3
16,Bradam,3
17,Chazey,3
17,Chacaly,3
15,Chaafr,3
15,Chacha,3
17,Chadil,3
18,Chasen,3
15,Chanam,3
16,Rhamar,3
18,Rhatem,3
17,Rhaspe,3
16,BGA706,4
16,BGA584,4
14,BGAA2,4
14,BGAA1,4
16,BGA40,4
16,BGA89,4
15,B11604,4
15,BGA583,4
16,BGAA3,4
16,B199,4
14,B983,4
13,B985,4
14,BGA304,4
15,BGA303,4
17,BGAB1,4
17,BGA7,4
14,B11609,4
15,BGA392,4
15,B11697,4
15,B11696,4
16,B3088,4
15,BGA710,4
15,BGA709,4
16,BGA309,4
